Consider yourself in the position of an active learning component to help a human annotator. You have to choose the instances that the annotator has to label. You are given a set of instances of a dataset. You can only choose 100 instances. Please think step by step about what you would do to select the instances to label. After this provide the list of instances that you would label, separated by a comma. For example, if you would label the instances 1, 4, 5 then the output should be: 1, 4, 5 The following instances are given to you (seperated with "\n ##### \n"): 

 ##### 
0. disappointingly generic nature  [ID: 65327]
174. for an eagerness  [ID: 26129]
 ##### 
175. an ultra-loud blast  [ID: 40972]
 ##### 
176. but i had a lot of problems with this movie .  [ID: 24232]
 ##### 
177. fans of critics ' darling band wilco will marvel at the sometimes murky , always brooding look of i am trying to break your heart .  [ID: 51804]
 ##### 
178. endless  [ID: 29382]
 ##### 
179. the storytelling and  [ID: 51529]
 ##### 
180. completely creatively stillborn and  [ID: 32900]
 ##### 
181. totalitarian  [ID: 46962]
 ##### 
182. does a bang-up job of pleasing the crowds  [ID: 54368]
 ##### 
183. turns out to be clever , amusing and unpredictable  [ID: 54939]
 ##### 
184. remarkably original  [ID: 21228]
 ##### 
185. a personal low for everyone involved  [ID: 15984]
 ##### 
186. luridly graphic and  [ID: 2490]
 ##### 
187. charming in comedies like american pie  [ID: 57906]
 ##### 
188. maelstrom is strange and compelling ,  [ID: 57861]
 ##### 
189. is a throwback war movie that fails on so many levels  [ID: 8160]
 ##### 
190. with splendid singing  [ID: 30065]
 ##### 
191. the poor and  [ID: 6000]
 ##### 
192. fun and funny in the middle , though somewhat less hard-hitting  [ID: 43379]
 ##### 
193. who ca n't quite distinguish one sci-fi work from another  [ID: 47245]
 ##### 
194. can enjoy much of jonah simply , and gratefully , as laugh-out-loud lunacy with a pronounced monty pythonesque flavor .  [ID: 3652]
 ##### 
195. dramatic and emotional  [ID: 41514]
 ##### 
196. religion that dares to question an ancient faith , and  [ID: 4100]
 ##### 
197. assume the director has pictures of them cavorting in ladies ' underwear  [ID: 14886]
 ##### 
198. an affectionate  [ID: 63604]
 ##### 
199. eerie thriller  [ID: 43126]
 ##### 
200. most unpleasant things  [ID: 31858]
 ##### 
201. much to absorb and even more to think about after the final frame  [ID: 5477]
 ##### 
202. is wasted in this crass , low-wattage endeavor .  [ID: 18664]
 ##### 
203. off  [ID: 53990]
 ##### 
204. fails in making this character understandable , in getting under her skin , in exploring motivation ...  [ID: 28834]
 ##### 
205. more overtly silly dialogue  [ID: 45651]
 ##### 
206. a ' list cast  [ID: 25132]
 ##### 
207. sturdiest example yet  [ID: 63150]
 ##### 
208. buoyant feeling  [ID: 32680]
 ##### 
209. , virulent and foul-natured  [ID: 17619]
 ##### 
210. say that this vapid vehicle is downright doltish and uneventful  [ID: 43581]
 ##### 
211. otherwise bleak tale  [ID: 49563]
 ##### 
212. a superior crime movie  [ID: 20426]
 ##### 
213. that rare family movie --  [ID: 57330]
 ##### 
214. is hard not to be especially grateful for freedom after a film like this .  [ID: 45164]
 ##### 
215. at 90 minutes this movie is short  [ID: 14433]
 ##### 
216. charming , quirky , original  [ID: 54556]
 ##### 
217. striking character traits  [ID: 64139]
 ##### 
218. some comic sparks  [ID: 49357]
 ##### 
219. ... a solid , unassuming drama .  [ID: 62295]
 ##### 
220. look like a masterpiece  [ID: 43643]
 ##### 
221. such a lousy way  [ID: 44357]
 ##### 
222. peaked about three years ago  [ID: 47813]
 ##### 
223. a surprisingly faithful remake of its chilly predecessor  [ID: 56902]
 ##### 
224. a bad movie ,  [ID: 47289]
 ##### 
225. loves its characters and communicates something rather beautiful  [ID: 15036]
 ##### 
226. this is a sincerely crafted picture that deserves to emerge from the traffic jam of holiday movies .  [ID: 9832]
 ##### 
227. kosminsky ... puts enough salt into the wounds of the tortured and self-conscious material to make it sting .  [ID: 60843]
 ##### 
228. at once visceral and spiritual , wonderfully vulgar  [ID: 51449]
 ##### 
229. this bitter italian comedy  [ID: 23504]
 ##### 
230. odd , rapt spell  [ID: 10021]
 ##### 
231. well-acted , well-directed and , for all its moodiness , not too pretentious .  [ID: 65986]
 ##### 
232. potentially good  [ID: 39023]
 ##### 
233. smart to vary the pitch of his movie , balancing deafening battle scenes with quieter domestic scenes of women back home receiving war department telegrams  [ID: 36994]
 ##### 
234. ( gayton 's script ) telegraphs every discovery and layers on the gloss of convenience .  [ID: 42088]
 ##### 
235. the bottom line is the piece works brilliantly .  [ID: 26019]
 ##### 
236. boys '  [ID: 9870]
 ##### 
237. performance - ahem  [ID: 48631]
 ##### 
238. plays like a series of vignettes -- clips of a film that are still looking for a common through-line .  [ID: 62225]
 ##### 
239. anger  [ID: 19570]
 ##### 
240. about dealing with regret and , ultimately , finding redemption  [ID: 18614]
 ##### 
241. the striking , quietly vulnerable personality of ms. ambrose  [ID: 49879]
 ##### 
242. ( macdowell ) ventures beyond her abilities  [ID: 48532]
 ##### 
243. pathetic as dahmer  [ID: 36417]
 ##### 
244. fun and nimble  [ID: 23271]
 ##### 
245. helps keep the proceedings as funny for grown-ups as for rugrats  [ID: 14355]
 ##### 
246. that fumbles away almost all of its accumulated enjoyment with a crucial third act miscalculation  [ID: 41785]
 ##### 
247. check it out  [ID: 44545]
 ##### 
248. caring for animals and respecting other cultures  [ID: 16912]
 ##### 
249. find a spark of its own  [ID: 18055]
 ##### 
250. the first tunisian film i have ever seen , and it 's also probably the most good-hearted yet sensual entertainment i 'm likely to see all year  [ID: 21358]
 ##### 
251. does n't beat that one , either .  [ID: 49832]
 ##### 
252. want to bang your head on the seat in front of you , at its cluelessness , at its idiocy , at its utterly misplaced earnestness  [ID: 55330]
 ##### 
253. `` die another day '' one of the most entertaining bonds in years  [ID: 13949]
 ##### 
254. in frustration  [ID: 51375]
 ##### 
255. , endearing , masterful  [ID: 31532]
 ##### 
256. his brawny frame and cool , composed delivery  [ID: 15160]
 ##### 
257. creepy atmosphere  [ID: 61486]
 ##### 
258. like schindler 's list  [ID: 43969]
 ##### 
259. a story that is so far-fetched it would be impossible to believe if it were n't true  [ID: 14279]
 ##### 
260. sometimes hilarious )  [ID: 16094]
 ##### 
261. got some good , organic character work , lots of obvious political insights and little room for engaging , imaginative filmmaking in its nearly 2 1/2  [ID: 9895]
 ##### 
262. as earnest as a community-college advertisement  [ID: 14465]
 ##### 
263. ` drumline ' shows a level of young , black manhood that is funny , touching , smart and complicated .  [ID: 33595]
 ##### 
264. charge money for this ? '  [ID: 38879]
 ##### 
265. , unconvincing  [ID: 23574]
 ##### 
266. , the film shows signs that someone other than the director got into the editing room and tried to improve things by making the movie go faster .  [ID: 19107]
 ##### 
267. i 've seen in a while , a meander through worn-out material  [ID: 5378]
 ##### 
268. , has stopped challenging himself  [ID: 57429]
 ##### 
269. as moronic as some campus gross-out films  [ID: 29963]
 ##### 
270. a movie that will thrill you , touch you and make you laugh as well .  [ID: 15764]
 ##### 
271. the dispassionate gantz brothers  [ID: 53728]
 ##### 
272. quirky , original  [ID: 35898]
 ##### 
273. is undone by anachronistic quick edits and occasional jarring glimpses of a modern theater audience watching the events unfold  [ID: 59882]
 ##### 
274. updated dickensian sensibility  [ID: 3411]
 ##### 
275. the enigmatic mika and anna mouglalis is a stunning new young talent in one of chabrol 's most intense psychological mysteries  [ID: 25955]
 ##### 
276. love the opening scenes of a wintry new york city in 1899  [ID: 20645]
 ##### 
277. with added depth and resonance  [ID: 32429]
 ##### 
278. of nature and family warmth  [ID: 38650]
 ##### 
279. parris ' performance is credible and remarkably mature .  [ID: 31599]
 ##### 
280. to sustain a good simmer for most of its running time  [ID: 63371]
 ##### 
281. one of the most original american productions this year , you 'll find yourself remembering this refreshing visit to a sunshine state .  [ID: 26170]
 ##### 
282. 's unlikely to become a household name on the basis of his first starring vehicle .  [ID: 40186]
 ##### 
283. prefabricated  [ID: 12484]
 ##### 
284. that a good video game movie is going to show up soon  [ID: 54526]
 ##### 
285. quiet , confident craftsmanship that tells a sweet , charming tale of intergalactic friendship  [ID: 3707]
 ##### 
286. falls victim to sloppy plotting , an insultingly unbelievable final act and a villainess who is too crazy to be interesting  [ID: 18629]
 ##### 
287. is contrived , unmotivated , and psychologically unpersuasive , with an inconclusive ending  [ID: 41066]
 ##### 
288. the smug self-satisfaction  [ID: 13309]
 ##### 
289. a sheer unbridled delight  [ID: 17903]
 ##### 
290. 've been trying to forget  [ID: 51151]
 ##### 
291. will create enough interest to make up for an unfocused screenplay  [ID: 58500]
 ##### 
292. visually breathtaking , viscerally exciting , and dramatically moving , it 's the very definition of epic adventure .  [ID: 20041]
 ##### 
293. from lynch , jeunet , and von trier while failing to find a spark of its own  [ID: 360]
 ##### 
294. the performances are so overstated , the effect comes off as self-parody .  [ID: 27800]
 ##### 
295. , generous and subversive artworks  [ID: 93]
 ##### 
296. interest onscreen  [ID: 15611]
 ##### 
297. a compelling french psychological drama examining the encounter of an aloof father and his chilly son after 20 years apart .  [ID: 24473]
 ##### 
298. seagal ran out of movies years ago  [ID: 10352]
 ##### 
299. overacted with all the boozy self-indulgence that brings out the worst in otherwise talented actors  [ID: 55164]
 ##### 
300. have developed some taste  [ID: 8986]
 ##### 
301. starts off as a potentially incredibly twisting mystery  [ID: 30869]
 ##### 
302. 's not only dull because we 've seen ( eddie ) murphy do the genial-rogue shtick to death , but because the plot is equally hackneyed  [ID: 53784]
 ##### 
303. dry wit and compassion  [ID: 18162]
 ##### 
304. cho 's timing is priceless .  [ID: 60283]
 ##### 
305. cgi effects  [ID: 27354]
 ##### 
306. have a good shot at a hollywood career ,  [ID: 19406]
 ##### 
307. boring , self-important stories  [ID: 12983]
 ##### 
308. , cliched and clunky  [ID: 60236]
 ##### 
309. you could restage the whole thing in your bathtub .  [ID: 37754]
 ##### 
310. manipulative and contrived  [ID: 45889]
 ##### 
311. not to be dismissed  [ID: 59152]
 ##### 
312. great  [ID: 19385]
 ##### 
313. it emerges as another key contribution to the flowering of the south korean cinema  [ID: 43863]
 ##### 
314. that feels dusty and leatherbound  [ID: 29643]
 ##### 
315. a deceptively casual ode  [ID: 351]
 ##### 
316. attributable to a movie like this  [ID: 22351]
 ##### 
317. through this sloppy , made-for-movie comedy special  [ID: 7237]
 ##### 
318. less than fresh  [ID: 60495]
 ##### 
319. becomes more and more frustrating as the film goes on  [ID: 30240]
 ##### 
320. captures that perverse element of the kafkaesque where identity , overnight , is robbed and replaced with a persecuted `` other  [ID: 35726]
 ##### 
321. caruso sometimes descends into sub-tarantino cuteness ... but for the most part he makes sure the salton sea works the way a good noir should , keeping it tight and nasty .  [ID: 160]
 ##### 
322. dull , somnambulant exercise  [ID: 47824]
 ##### 
323. complex and quirky  [ID: 62891]
 ##### 
324. sweetly conspiratorial  [ID: 52156]
 ##### 
325. , cry and realize , ` it 's never too late to believe in your dreams . '  [ID: 30891]
 ##### 
326. nails sy 's queasy infatuation and overall strangeness  [ID: 21742]
 ##### 
327. can not be revived .  [ID: 61795]
 ##### 
328. the modern remake of dumas 's story is long on narrative and ( too ) short on action .  [ID: 51826]
 ##### 
329. bravery and integrity  [ID: 65011]
 ##### 
330. a sequel you can refuse  [ID: 44317]
 ##### 
331. that is definitely meaningless , vapid and devoid of substance  [ID: 65491]
 ##### 
332. sparkling  [ID: 66080]
 ##### 
333. are funny  [ID: 15730]
 ##### 
334. , reality shows -- reality shows for god 's sake !  [ID: 536]
 ##### 
335. manages to bleed it almost completely dry of humor , verve and fun  [ID: 41053]
 ##### 
336. a smorgasbord of soliloquies about nothing delivered by the former mr. drew barrymore  [ID: 60975]
 ##### 
337. could n't be more timely in its despairing vision of corruption within the catholic establishment  [ID: 37159]
 ##### 
338. you 'll be thinking of 51 ways to leave this loser .  [ID: 47422]
 ##### 
339. of nothing at the core of this slight coming-of-age/coming-out tale  [ID: 26998]
 ##### 
340. falls to the floor with a sickening thud  [ID: 3469]
 ##### 
341. proper respect  [ID: 8514]
 ##### 
342. proves to be sensational  [ID: 6053]
 ##### 
343. from grace that still leaves shockwaves  [ID: 50370]
 ##### 
344. it 's kinda dumb .  [ID: 36860]
 ##### 
345. a bland , surfacey way  [ID: 5228]
 ##### 
346. is better than you might think  [ID: 13288]
 ##### 
347. , delivers the goods and audiences will have a fun , no-frills ride .  [ID: 26297]
 ##### 
348. proper home  [ID: 30087]
 ##### 
349. one splendidly cast pair  [ID: 40235]
 ##### 
350. that never springs to life  [ID: 32683]
 ##### 
351. chomp on jumbo ants , pull an arrow out of his back  [ID: 50297]
 ##### 
352. witless  [ID: 39142]
 ##### 
353. bringing an unforced , rapid-fire delivery  [ID: 65817]
 ##### 
354. with conspicuous success  [ID: 35748]
 ##### 
355. this rich  [ID: 42195]
 ##### 
356. , well-crafted family film  [ID: 44803]
 ##### 
357. add much-needed levity to the otherwise bleak tale  [ID: 65141]
 ##### 
358. the `` soon-to-be-forgettable '' section of the quirky rip-off prison  [ID: 34733]
 ##### 
359. to winger fans who have missed her since 1995 's forget paris  [ID: 24434]
 ##### 
360. limited but enthusiastic  [ID: 40242]
 ##### 
361. none of the crackle of `` fatal attraction '' , `` 9 1/2 weeks '' , or even `` indecent proposal '' ,  [ID: 9682]
 ##### 
362. becomes an overwhelming pleasure  [ID: 30373]
 ##### 
363. coffee  [ID: 53712]
 ##### 
364. would make an excellent companion piece to the similarly themed ` the french lieutenant 's woman .  [ID: 24075]
 ##### 
365. light-hearted way  [ID: 66927]
 ##### 
366. , the heart of the film rests in the relationship between sullivan and his son .  [ID: 27021]
 ##### 
367. a handsome and well-made entertainment  [ID: 42397]
 ##### 
368. is serene , the humor wry and sprightly  [ID: 16710]
 ##### 
369. the most surprising thing  [ID: 8636]
 ##### 
370. sweet , even delectable  [ID: 48932]
 ##### 
371. be pleased to discover that tian 's meticulous talent has not withered during his enforced hiatus  [ID: 39935]
 ##### 
372. almost perpetually wasted characters  [ID: 38602]
 ##### 
373. unless you 're a fanatic , the best advice is : ` scooby ' do n't .  [ID: 39550]
 ##### 
374. a must  [ID: 5729]
 ##### 
375. is one of the outstanding thrillers of recent years  [ID: 12269]
 ##### 
376. most consumers of lo mein and general tso 's chicken barely give a thought to the folks who prepare and deliver it , so , hopefully , this film will attach a human face to all those little steaming cartons .  [ID: 59030]
 ##### 
377. have managed to pack it with enough action to satisfy the boom-bam crowd without a huge sacrifice of character and mood  [ID: 14662]
 ##### 
378. the worst thing  [ID: 65051]
 ##### 
379. a clumsily manufactured exploitation flick , a style-free exercise in manipulation and mayhem  [ID: 44394]
 ##### 
380. while the frequent allusions to gurus and doshas will strike some westerners as verging on mumbo-jumbo ... broad streaks of common sense emerge with unimpeachable clarity .  [ID: 44050]
 ##### 
381. the otherwise good-naturedness of mr. deeds , with its embrace of sheer goofiness and cameos of less  [ID: 15953]
 ##### 
382. notorious c.h.o. still feels like a promising work-in-progress  [ID: 64925]
 ##### 
383. is a lot more bluster than bite  [ID: 53111]
 ##### 
384. unlikely to become a household name on the basis of his first starring vehicle  [ID: 14159]
 ##### 
385. heart-felt  [ID: 23246]
 ##### 
386. approach to the workplace romantic comedy .  [ID: 60592]
 ##### 
387. less the cheap thriller you 'd expect than it is a fairly revealing study of its two main characters -- damaged-goods people whose orbits will inevitably and  [ID: 55412]
 ##### 
