Consider yourself in the position of an active learning component to help a human annotator. You have to choose the instances that the annotator has to label. You are given a set of instances of a dataset. You can only choose 60 instances. Please think step by step about what you would do to select the instances to label. After this provide the list of instances that you would label, separated by a comma. For example, if you would label the instances 1, 4, 5 then the output should be: 1, 4, 5 The following instances are given to you (seperated with "\n ##### \n"): 

 ##### 
0. the abiding impression  [ID: 52942]
 ##### 
190. as well-written as sexy beast , not as gloriously flippant as lock , stock and two smoking barrels ,  [ID: 53782]
 ##### 
191. gussied up with so many distracting special effects and visual party tricks that it 's not clear whether we 're supposed to shriek or laugh .  [ID: 27235]
 ##### 
192. impostor ca n't think of a thing to do with these characters except have them run through dark tunnels , fight off various anonymous attackers , and evade elaborate surveillance technologies .  [ID: 47252]
 ##### 
193. decent performance  [ID: 555]
 ##### 
194. is stiff or just plain bad  [ID: 65043]
 ##### 
195. fast , frenetic , funny , even punny 6  [ID: 8593]
 ##### 
196. unwary  [ID: 9799]
 ##### 
197. as before , from the incongruous but chemically perfect teaming of crystal and de niro  [ID: 42200]
 ##### 
198. juliette binoche 's sand is vivacious ,  [ID: 39380]
 ##### 
199. could n't make a guest appearance to liven things up  [ID: 14080]
 ##### 
200. mcwilliams 's melancholy music , are charged with metaphor ,  [ID: 30048]
 ##### 
201. is lost , leaving the character of critical jim two-dimensional and pointless  [ID: 22987]
 ##### 
202. an inelegant combination of two unrelated shorts that falls far short of the director 's previous work  [ID: 2195]
 ##### 
203. , thirteen conversations about one thing is a small gem .  [ID: 60117]
 ##### 
204. an odd drama set in the world of lingerie models and bar dancers in the midwest that held my interest precisely because it did n't try to .  [ID: 2633]
 ##### 
205. something to behold  [ID: 19541]
 ##### 
206. succeeds mainly on the shoulders of its actors .  [ID: 23199]
 ##### 
207. bear the laughter  [ID: 37737]
 ##### 
208. the possible exception of elizabeth hurley 's breasts  [ID: 63809]
 ##### 
209. the transcendent performance  [ID: 15908]
 ##### 
210. making dog day afternoon with a cause  [ID: 59340]
 ##### 
211. pretty contagious fun  [ID: 24516]
 ##### 
212. to be released in imax format  [ID: 34798]
 ##### 
213. a quiet , disquieting triumph .  [ID: 10015]
 ##### 
214. bad company  [ID: 39192]
 ##### 
215. of moral compromise  [ID: 27715]
 ##### 
216. it 's all arty and jazzy and people sit and stare and turn away from one another instead of talking and it 's all about the silences and if you 're into that , have at it  [ID: 15767]
 ##### 
217. aching  [ID: 34546]
 ##### 
218. feels homogenized and a bit contrived ,  [ID: 46011]
 ##### 
219. godfrey reggio 's career shines like a lonely beacon .  [ID: 2109]
 ##### 
220. it 's supposed to be post-feminist breezy but ends up as tedious as the chatter of parrots raised on oprah .  [ID: 52033]
 ##### 
221. a bold ( and lovely ) experiment that will almost certainly bore most audiences into their own brightly colored dreams .  [ID: 58931]
 ##### 
222. tired one  [ID: 64130]
 ##### 
223. teenage sex comedy  [ID: 7054]
 ##### 
224. , kung pow sets a new benchmark for lameness .  [ID: 66465]
 ##### 
225. you barely realize your mind is being blown .  [ID: 55178]
 ##### 
226. mess .  [ID: 10958]
 ##### 
227. about death  [ID: 3375]
 ##### 
228. a more credible script , though  [ID: 6707]
 ##### 
229. understands how to create and sustain a mood  [ID: 14846]
 ##### 
230. of the most gloriously unsubtle and adrenalized extreme  [ID: 30125]
 ##### 
231. failing to find a spark of its own  [ID: 61171]
 ##### 
232. seen such self-amused trash since freddy got fingered  [ID: 20821]
 ##### 
233. as sexy  [ID: 64486]
 ##### 
234. vague impressions and a nasty aftertaste but little clear memory of its operational mechanics  [ID: 42329]
 ##### 
235. a so-called ` comedy ' and not laugh  [ID: 11788]
 ##### 
236. much more watchable  [ID: 57478]
 ##### 
237. florid but ultimately vapid crime melodrama  [ID: 23002]
 ##### 
238. photographed and staged by mendes with a series of riveting set pieces the likes of which mainstream audiences have rarely seen  [ID: 23515]
 ##### 
239. a genuine love story , full of traditional layers of awakening and ripening and separation and recovery  [ID: 45710]
 ##### 
240. the audience other than to sit back and enjoy a couple of great actors hamming it up  [ID: 29036]
 ##### 
241. find it diverting  [ID: 19694]
 ##### 
242. just honest enough to provide the pleasures of a slightly naughty , just-above-average off - broadway play  [ID: 63923]
 ##### 
243. more silly than scary  [ID: 991]
 ##### 
244. that makes it attractive throughout  [ID: 46689]
 ##### 
245. the immersive powers of the giant screen and its hyper-realistic images are put to perfect use in the breathtakingly beautiful outer-space documentary space station 3d .  [ID: 55975]
 ##### 
246. the mantra behind the project seems to have been ` it 's just a kids ' flick . '  [ID: 21033]
 ##### 
247. mass drug-induced bowel evacuations , and none-too-funny commentary on the cultural distinctions between americans and brits .  [ID: 63036]
 ##### 
248. too violent and sordid to function as comedy  [ID: 65685]
 ##### 
249. trapped wo n't score points for political correctness  [ID: 49365]
 ##### 
250. with unexpected comedy  [ID: 58190]
 ##### 
251. should avoid this like the dreaded king brown snake  [ID: 44141]
 ##### 
252. took three minutes of dialogue , 30 seconds of plot and  [ID: 43891]
 ##### 
253. the quality of neil burger 's impressive fake documentary  [ID: 26133]
 ##### 
254. unmemorable filler .  [ID: 66306]
 ##### 
255. could use a little more humanity , but it never lacks in eye-popping visuals .  [ID: 63039]
 ##### 
256. it 's the kind of under-inspired , overblown enterprise that gives hollywood sequels a bad name .  [ID: 32460]
 ##### 
257. morally bankrupt characters  [ID: 49084]
 ##### 
258. it unexpectedly rewarding  [ID: 4888]
 ##### 
259. keep you at the edge of your seat with its shape-shifting perils , political intrigue and brushes with calamity  [ID: 35770]
 ##### 
260. romp that has something to say .  [ID: 1847]
 ##### 
261. there 's a scientific law to be discerned here that producers would be well to heed : mediocre movies start to drag as soon as the action speeds up ; when the explosions start , they fall to pieces  [ID: 56490]
 ##### 
262. realistically  [ID: 9360]
 ##### 
263. we are undeniably touched .  [ID: 9735]
 ##### 
264. as single-minded as john carpenter 's original  [ID: 21169]
 ##### 
265. 's tv sitcom material at best  [ID: 5029]
 ##### 
266. a cute alien creature  [ID: 57943]
 ##### 
267. the only thing avary seems to care about  [ID: 12917]
 ##### 
268. a performance that is masterly  [ID: 46595]
 ##### 
269. of new york locales and sharp writing  [ID: 61824]
 ##### 
270. paint-by-numbers  [ID: 58434]
 ##### 
271. a loud , ugly , irritating movie without any of its satirical salvos hitting a discernible target .  [ID: 35344]
 ##### 
272. is about a domestic unit finding their way to joy  [ID: 52891]
 ##### 
273. because it has a bigger-name cast  [ID: 18979]
 ##### 
274. funny , touching , dramatically forceful , and beautifully shot  [ID: 31855]
 ##### 
275. drop  [ID: 57667]
 ##### 
276. gives the film its lingering tug  [ID: 33456]
 ##### 
277. the actors ' perfect comic timing and  [ID: 31525]
 ##### 
278. liked  [ID: 53687]
 ##### 
279. an impossible spot  [ID: 39895]
 ##### 
280. tired retread  [ID: 56622]
 ##### 
281. working to develop her own film language with conspicuous success  [ID: 25046]
 ##### 
282. particularly joyless ,  [ID: 12101]
 ##### 
283. a loud , brash and mainly unfunny high school comedy  [ID: 33749]
 ##### 
284. this is the kind of subject matter that could so easily have been fumbled by a lesser filmmaker , but  [ID: 19326]
 ##### 
285. is akin to a reader 's digest condensed version of the source material  [ID: 2210]
 ##### 
286. devoid of objectivity and full of nostalgic comments from the now middle-aged participants  [ID: 23427]
 ##### 
287. but because of the startling intimacy  [ID: 22949]
 ##### 
288. astonishingly skillful and moving  [ID: 25838]
 ##### 
289. loaded with actors you 're most likely to find on the next inevitable incarnation of the love boat  [ID: 51858]
 ##### 
290. out of control  [ID: 36430]
 ##### 
291. crude  [ID: 65598]
 ##### 
292. accurately  [ID: 6410]
 ##### 
293. when all is said and done , she loves them to pieces -- and so , i trust , will you .  [ID: 1880]
 ##### 
294. was worse . ''  [ID: 30170]
 ##### 
295. surrounds herself with a company of strictly a-list players  [ID: 61633]
 ##### 
296. lovely and  [ID: 2565]
 ##### 
297. overrides what little we learn along the way about vicarious redemption  [ID: 15540]
 ##### 
298. a passion for the material  [ID: 4497]
 ##### 
299. a brilliant , absurd collection of vignettes that , in their own idiosyncratic way , sum up the strange horror of life in the new millennium .  [ID: 20944]
 ##### 
300. his reserved but existential poignancy  [ID: 20747]
 ##### 
301. for casting , often resurrecting performers who rarely work in movies now ... and drawing flavorful performances from bland actors  [ID: 3698]
 ##### 
302. ignored it  [ID: 62879]
 ##### 
303. satisfying well-made  [ID: 20538]
 ##### 
304. takes every potential laugh  [ID: 36090]
 ##### 
305. dips key moments  [ID: 64123]
 ##### 
306. the story 's scope and pageantry are mesmerizing , and mr. day-lewis roars with leonine power  [ID: 54207]
 ##### 
307. a terrific screenplay  [ID: 46451]
 ##### 
308. this makes it not only a detailed historical document , but an engaging and moving portrait of a subculture  [ID: 66552]
 ##### 
309. eileen walsh , an engaging , wide-eyed actress whose teeth are a little too big for her mouth , infuses the movie with much of its slender , glinting charm .  [ID: 15305]
 ##### 
310. like as a low-budget series on a uhf channel  [ID: 45350]
 ##### 
311. there 's an admirable rigor to jimmy 's relentless anger , and to the script 's refusal of a happy ending , but as those monologues stretch on and on , you realize there 's no place for this story to go but down  [ID: 38815]
 ##### 
312. carries almost no organic intrigue as a government / marine/legal mystery  [ID: 19336]
 ##### 
313. that we would pay a considerable ransom not to be looking at  [ID: 62959]
 ##### 
314. a creative urge  [ID: 62013]
 ##### 
315. a lot of fun , with an undeniable energy  [ID: 43257]
 ##### 
316. a quasi-documentary by french filmmaker karim dridi that celebrates the hardy spirit of cuban music  [ID: 65413]
 ##### 
317. is not show-stoppingly hilarious , but scathingly witty nonetheless  [ID: 41799]
 ##### 
318. of ace japanimator hayao miyazaki 's spirited away  [ID: 39712]
 ##### 
319. consistent emotional conviction  [ID: 26825]
 ##### 
320. give credit to everyone from robinson down to the key grip that this bold move works .  [ID: 28876]
 ##### 
321. works -  [ID: 23397]
 ##### 
322. to be influenced chiefly by humanity 's greatest shame , reality shows -- reality shows for god 's sake !  [ID: 54619]
 ##### 
323. jaw-dropping action sequences , striking villains , a gorgeous color palette ,  [ID: 48857]
 ##### 
324. crystallize key plot moments  [ID: 38098]
 ##### 
325. it 's as if solondz had two ideas for two movies , could n't really figure out how to flesh either out ,  [ID: 39808]
 ##### 
326. more salacious telenovela than serious drama  [ID: 49437]
 ##### 
327. degrading and  [ID: 43064]
 ##### 
328. the last kiss will probably never achieve the popularity of my big fat greek wedding , but  [ID: 23784]
 ##### 
329. plays out ... like a high-end john hughes comedy , a kind of elder bueller 's time out  [ID: 45216]
 ##### 
330. builds up to its insanely staged ballroom scene , in which 3000 actors appear in full regalia  [ID: 19937]
 ##### 
331. berry 's saucy  [ID: 62122]
 ##### 
332. reprehensible  [ID: 12874]
 ##### 
333. humorless ,  [ID: 47394]
 ##### 
334. a bit too eager to please  [ID: 58706]
 ##### 
335. making kahlo 's art a living , breathing part of the movie , often  [ID: 31568]
 ##### 
336. the minds and hearts  [ID: 58426]
 ##### 
337. it 's horribly depressing and not very well done .  [ID: 24587]
 ##### 
338. to sporting one of the worst titles in recent cinematic history  [ID: 55390]
 ##### 
339. brightly  [ID: 57628]
 ##### 
340. lacking a depth  [ID: 19802]
 ##### 
341. cliche with little new added .  [ID: 25171]
 ##### 
342. watered down  [ID: 4389]
 ##### 
343. may be lovely  [ID: 13016]
 ##### 
344. a fudged opportunity of gigantic proportions -- a lunar mission with no signs of life  [ID: 46466]
 ##### 
345. peter jackson and company once again dazzle and delight us ,  [ID: 30050]
 ##### 
346. fails in making this character understandable , in getting under her skin , in exploring motivation ... well before the end  [ID: 3825]
 ##### 
347. aspires to be more than another `` best man '' clone by weaving a theme throughout this funny film .  [ID: 43140]
 ##### 
348. gets added disdain for the fact  [ID: 58221]
 ##### 
349. , but slow  [ID: 50429]
 ##### 
350. covers this territory with wit and originality , suggesting that with his fourth feature --  [ID: 19840]
 ##### 
351. blade ii merges bits and pieces from fighting games , wire fu , horror movies , mystery , james bond , wrestling , sci-fi and anime into one big bloody stew .  [ID: 10147]
 ##### 
352. is n't as sharp or as fresh  [ID: 27155]
 ##### 
353. in this romantic comedy  [ID: 41599]
 ##### 
354. any working class community  [ID: 47677]
 ##### 
355. for dance completists only .  [ID: 62618]
 ##### 
356. trying to laugh at how bad  [ID: 65422]
 ##### 
357. i 've seen some bad singer-turned actors  [ID: 14692]
 ##### 
358. of martin scorsese 's taxi driver and goodfellas  [ID: 6200]
 ##### 
359. want to check it out  [ID: 60806]
 ##### 
360. it finds no way to entertain or inspire its viewers .  [ID: 45682]
 ##### 
361. ( t ) he film is never sure to make a clear point -- even if it seeks to rely on an ambiguous presentation .  [ID: 15529]
 ##### 
362. constantly pulling the rug from underneath us ,  [ID: 64426]
 ##### 
363. , so who knew charles dickens could be so light-hearted ?  [ID: 8978]
 ##### 
364. it has a genuine dramatic impact  [ID: 22614]
 ##### 
365. did we really need a remake of `` charade ? ''  [ID: 46026]
 ##### 
366. a visionary marvel  [ID: 53447]
 ##### 
367. all in all , a great party  [ID: 51952]
 ##### 
368. the difference is that i truly enjoyed most of mostly martha while i ne  [ID: 40165]
 ##### 
369. of an ignored people  [ID: 61563]
 ##### 
370. engrossing  [ID: 42483]
 ##### 
371. , the film is blazingly alive and admirable on many levels .  [ID: 66893]
 ##### 
372. , e.t. remains the most wondrous of all hollywood fantasies -- and the apex of steven spielberg 's misunderstood career .  [ID: 18030]
 ##### 
373. young everlyn sampi , as the courageous molly craig  [ID: 18581]
 ##### 
374. is holofcener 's deep , uncompromising curtsy to women she knows , and very likely is  [ID: 2586]
 ##### 
375. maintains a surprisingly buoyant tone throughout , notwithstanding some of the writers ' sporadic dips  [ID: 12920]
 ##### 
376. be churlish to begrudge anyone for receiving whatever consolation that can be found in dragonfly  [ID: 10157]
 ##### 
