Consider yourself in the position of an active learning component to help a human annotator. You have to choose the instances that the annotator has to label. You are given a set of instances of a dataset. You can only choose 25 instances. Please think step by step about what you would do to select the instances to label. After this provide the list of instances that you would label, separated by a comma. For example, if you would label the instances 1, 4, 5 then the output should be: 1, 4, 5 The following instances are given to you (seperated with "\n ##### \n"): 

 ##### 
1595. no way original  [ID: 32649]
 ##### 
1625. could have written a more credible script , though with the same number of continuity errors .  [ID: 51097]
 ##### 
1626. 's a dull girl , that 's all .  [ID: 12245]
 ##### 
1627. the filmmakers ' paws , sad to say  [ID: 59540]
 ##### 
1628. sure to make a clear point -- even if it seeks to rely on an ambiguous presentation  [ID: 37332]
 ##### 
1629. goose things up  [ID: 27302]
 ##### 
1630. the discomfort and embarrassment of being a bumbling american in europe  [ID: 67018]
 ##### 
1631. two things drag it down to mediocrity -- director clare peploe 's misunderstanding of marivaux 's rhythms , and mira sorvino 's limitations as a classical actress  [ID: 23970]
 ##### 
1632. , it 's an adventure story and history lesson all in one .  [ID: 28814]
 ##### 
1633. a film with contemporary political resonance  [ID: 45515]
 ##### 
1634. convince almost everyone that it was put on the screen , just for them  [ID: 50543]
 ##### 
1635. adaptation is simply brilliant .  [ID: 13801]
 ##### 
1636. for both the scenic splendor of the mountains and for legendary actor michel serrault , the film  [ID: 29134]
 ##### 
1637. , there is a really cool bit -- the movie 's conception of a future-world holographic librarian ( orlando jones ) who knows everything and answers all questions , is visually smart , cleverly written , and nicely realized .  [ID: 34135]
 ##### 
1638. inertia to arrest development in a dead-end existence  [ID: 17057]
 ##### 
1639. fancy  [ID: 42109]
 ##### 
1640. exceedingly rare films  [ID: 18202]
 ##### 
1641. a tired , unnecessary retread ...  [ID: 18599]
 ##### 
1642. contemptible  [ID: 65220]
 ##### 
1643. unifying  [ID: 29152]
 ##### 
1644. is so insanely dysfunctional  [ID: 58192]
 ##### 
1645. as the synergistic impulse that created it  [ID: 48850]
 ##### 
1646. best possible  [ID: 38204]
 ##### 
1647. real women have curves truly is life affirming  [ID: 24323]
 ##### 
1648. seems interested in kicking around a raison d'etre that 's as fresh-faced as its young-guns cast  [ID: 40756]
 ##### 
1649. to creep the living hell out of you  [ID: 11656]
 ##### 
1650. and game phenomenon  [ID: 42052]
 ##### 
1651. bring fresh good looks and an ease in front of the camera  [ID: 38229]
 ##### 
1652. virtuoso throat-singing  [ID: 3057]
 ##### 
1653. the story 's pathetic  [ID: 13850]
 ##### 
1654. she is a lioness  [ID: 22197]
 ##### 
1655. louiso lets the movie dawdle in classic disaffected-indie-film mode , and  [ID: 28593]
 ##### 
1656. irredeemably awful .  [ID: 31734]
 ##### 
1657. a vile , incoherent mess ... a scummy ripoff of david cronenberg 's brilliant ` videodrome . '  [ID: 33933]
 ##### 
1658. i liked a lot of the smaller scenes .  [ID: 61169]
 ##### 
1659. revigorates  [ID: 59808]
 ##### 
1660. above the level of a telanovela  [ID: 16436]
 ##### 
1661. this is a film that takes a stand in favor of tradition and warmth .  [ID: 47319]
 ##### 
1662. 's fun , splashy and entertainingly nasty .  [ID: 52602]
 ##### 
1663. you doze off thirty minutes into the film  [ID: 62085]
 ##### 
1664. director peter kosminsky gives these women a forum to demonstrate their acting ` chops ' and  [ID: 30340]
 ##### 
1665. is most remarkable not because of its epic scope , but because of the startling intimacy it achieves despite that breadth  [ID: 4136]
 ##### 
1666. lazy but enjoyable  [ID: 7450]
 ##### 
1667. its elegantly colorful look and sound  [ID: 39281]
 ##### 
1668. not into high-tech splatterfests  [ID: 63117]
 ##### 
1669. the somber pacing and lack  [ID: 21858]
 ##### 
1670. blue hilarity  [ID: 1985]
 ##### 
1671. hard , cold effect  [ID: 10107]
 ##### 
1672. make green dragon seem more like medicine than entertainment .  [ID: 56895]
 ##### 
1673. of the more influential works  [ID: 29635]
 ##### 
1674. wonderous accomplishment  [ID: 43847]
 ##### 
1675. donovan ... squanders his main asset , jackie chan ,  [ID: 25179]
 ##### 
1676. teens are looking for something to make them laugh  [ID: 39334]
 ##### 
1677. this enthralling documentary ... is at once playful and haunting , an in-depth portrait of an iconoclastic artist who was fundamentally unknowable even to his closest friends .  [ID: 27544]
 ##### 
1678. pack your knitting needles  [ID: 62868]
 ##### 
1679. a kid who ca n't quite distinguish one sci-fi work from another  [ID: 54429]
 ##### 
1680. if the movie knew what to do with him  [ID: 35584]
 ##### 
1681. those who do  [ID: 24356]
 ##### 
1682. old-fashioned but thoroughly satisfying entertainment .  [ID: 22956]
 ##### 
1683. minority report  [ID: 41916]
 ##### 
1684. strong and convincing performances  [ID: 10687]
 ##### 
1685. does pack some serious suspense  [ID: 9143]
 ##### 
1686. a lot like a well-made pb & j sandwich  [ID: 4802]
 ##### 
1687. this misty-eyed southern nostalgia piece , in treading the line between sappy and sanguine ,  [ID: 31758]
 ##### 
1688. a revealing look at the collaborative process  [ID: 18107]
 ##### 
1689. of purpose and even-handedness  [ID: 49275]
 ##### 
1690. is the kind of film that could only be made by african-americans because of its broad racial insensitivity towards african-americans  [ID: 36388]
 ##### 
1691. authentic christmas spirit  [ID: 47154]
 ##### 
1692. , the acting is robotically italicized ,  [ID: 62625]
 ##### 
1693. a monopoly on mindless action  [ID: 47368]
 ##### 
1694. william james once called ` the gift of tears  [ID: 21158]
 ##### 
1695. has its moments -- and almost as many subplots  [ID: 16416]
 ##### 
1696. like quirky , slightly strange french films  [ID: 45154]
 ##### 
1697. snow white  [ID: 65342]
 ##### 
1698. a first-class , thoroughly involving b movie that effectively combines two surefire , beloved genres -- the prison flick and the fight film .  [ID: 48377]
 ##### 
1699. s1m0ne 's satire is not subtle  [ID: 63984]
 ##### 
1700. 's good to see michael caine whipping out the dirty words and punching people in the stomach again .  [ID: 1064]
 ##### 
1701. without cheesy fun factor  [ID: 22151]
 ##### 
1702. fun cheese puff  [ID: 45415]
 ##### 
1703. that it ca n't help but engage an audience  [ID: 51775]
 ##### 
1704. simple and precise that anything discordant would topple the balance  [ID: 42179]
 ##### 
1705. feel like mopping up ,  [ID: 10356]
 ##### 
1706. glow  [ID: 50000]
 ##### 
1707. hand in hand  [ID: 35880]
 ##### 
1708. ... makes a great impression as the writer-director of this little $ 1.8 million charmer , which may not be cutting-edge indie filmmaking but has a huge heart .  [ID: 6689]
 ##### 
1709. riveting and handsomely  [ID: 51760]
 ##### 
1710. you enough to feel good about  [ID: 62662]
 ##### 
1711. of what 's become one of the movies ' creepiest conventions , in which the developmentally disabled  [ID: 47903]
 ##### 
1712. is the kind of movie that gets a quick release before real contenders arrive in september  [ID: 6186]
 ##### 
1713. too grave for youngsters  [ID: 41949]
 ##### 
1714. faced with the possibility that her life is meaningless , vapid and devoid of substance , in a movie that is definitely meaningless , vapid and devoid of substance  [ID: 67314]
 ##### 
1715. horrible '' and `` terrible  [ID: 11698]
 ##### 
1716. the young stars are too cute ; the story and ensuing complications are too manipulative ; the message is too blatant ; the resolutions are too convenient .  [ID: 49813]
 ##### 
1717. loneliness and is n't afraid to provoke introspection in both its characters and its audience  [ID: 19433]
 ##### 
1718. dared  [ID: 55736]
 ##### 
1719. avoid the ghetto of sentimental chick-flicks by treating female follies with a satirical style  [ID: 2181]
 ##### 
1720. it made me feel unclean , and i 'm the guy who liked there 's something about mary and both american pie movies  [ID: 54967]
 ##### 
1721. tell a story about the vietnam war before the pathology set in  [ID: 668]
 ##### 
1722. a delightful surprise because despite all the backstage drama , this is a movie that tells stories that work -- is charming , is moving , is funny and looks professional .  [ID: 51536]
 ##### 
1723. from the choppy editing to the annoying score to ` special effects ' by way of replacing objects in a character 's hands below the camera line , `` besotted '' is misbegotten  [ID: 35478]
 ##### 
1724. embarrassingly ham-fisted  [ID: 26266]
 ##### 
1725. by a british cast  [ID: 3812]
 ##### 
1726. 's the perfect star vehicle for grant  [ID: 41510]
 ##### 
1727. either 11 times too many or else  [ID: 20813]
 ##### 
1728. a low-budget series  [ID: 22390]
 ##### 
1729. quite a bit of heart  [ID: 39396]
 ##### 
1730. , tasteless and idiotic  [ID: 60768]
 ##### 
1731. have made a remarkable film that explores the monster 's psychology not in order to excuse him but rather to demonstrate that his pathology evolved from human impulses that grew hideously twisted  [ID: 50338]
 ##### 
1732. reminiscent  [ID: 55014]
 ##### 
1733. dim-witted and lazy spin-off  [ID: 11812]
 ##### 
1734. with its many out-sized , out of character and logically porous action set  [ID: 59750]
 ##### 
1735. an engrossing story  [ID: 45212]
 ##### 
1736. an ambitious movie  [ID: 22574]
 ##### 
1737. relatively nothing  [ID: 32080]
 ##### 
1738. carries arnold ( and the viewers ) into the forbidden zone of sympathizing with terrorist motivations by presenting the `` other side of the story . ''  [ID: 26495]
 ##### 
1739. the filmmakers know how to please the eye , but it is not always the prettiest pictures that tell the best story  [ID: 36599]
 ##### 
1740. a fish that 's lived too long  [ID: 15136]
 ##### 
1741. ( n ) o matter how much good will the actors generate , showtime eventually folds under its own thinness .  [ID: 34061]
 ##### 
1742. definitely funny stuff , but it 's more of the ` laughing at ' variety than the ` laughing with  [ID: 34718]
 ##### 
1743. mark ms. bullock 's best work in some time  [ID: 37857]
 ##### 
1744. a remarkable movie with an unsatisfying ending , which is just the point  [ID: 35972]
 ##### 
1745. please not only the fanatical adherents on either side , but also people who know nothing about the subject  [ID: 57711]
 ##### 
1746. , you discover that the answer is as conventional as can be .  [ID: 60523]
 ##### 
1747. a bittersweet contemporary comedy  [ID: 61715]
 ##### 
1748. a lot more  [ID: 9400]
 ##### 
1749. most of the problems with the film do n't derive from the screenplay , but rather the mediocre performances by most of the actors involved  [ID: 57484]
 ##### 
1750. great acting  [ID: 40323]
 ##### 
1751. be able to appreciate the wonderful cinematography and naturalistic acting  [ID: 63848]
 ##### 
1752. the reginald hudlin comedy relies on toilet humor , ethnic slurs .  [ID: 9423]
 ##### 
1753. it dabbles all around , never gaining much momentum .  [ID: 11854]
 ##### 
1754. it 's not the least of afghan tragedies that this noble warlord would be consigned to the dustbin of history .  [ID: 9818]
 ##### 
1755. despite the opulent lushness of every scene , the characters never seem to match the power of their surroundings .  [ID: 64100]
 ##### 
1756. find morrison 's iconoclastic uses of technology to be liberating  [ID: 22147]
 ##### 
1757. wins still  [ID: 48737]
 ##### 
1758. broomfield 's film does n't capture the effect of these tragic deaths on hip-hop culture  [ID: 18785]
 ##### 
1759. mean-spirited  [ID: 18232]
 ##### 
1760. of scorn  [ID: 54318]
 ##### 
1761. invigorating , surreal , and resonant with a rainbow of emotion .  [ID: 46352]
 ##### 
1762. truly , truly bad movie  [ID: 65317]
 ##### 
1763. 's relentlessly folksy , a procession of stagy set pieces stacked with binary oppositions  [ID: 23352]
 ##### 
1764. is all too predictable and far too cliched to really work  [ID: 19908]
 ##### 
1765. no wit , only  [ID: 39785]
 ##### 
1766. an elegantly balanced movie -- every member of the ensemble has something fascinating to do -- that does n't reveal even a hint of artifice  [ID: 56058]
 ##### 
1767. fully developed story  [ID: 62540]
 ##### 
1768. , runteldat is something of a triumph .  [ID: 50776]
 ##### 
1769. hey , happy !  [ID: 18874]
 ##### 
1770. provides a satisfyingly unsettling ride into the dark places of our national psyche .  [ID: 50670]
 ##### 
1771. with the gifted pearce on hand to keep things on semi-stable ground dramatically  [ID: 16639]
 ##### 
1772. will wind up as glum as mr. de niro .  [ID: 6076]
 ##### 
1773. likely to witness in a movie theater for some time  [ID: 33866]
 ##### 
1774. the artist 's work may take on a striking new significance for anyone who sees the film  [ID: 20631]
 ##### 
1775. yes , i suppose it 's lovely that cal works out his issues with his dad and comes to terms with his picture-perfect life -- but world traveler gave me no reason to care , so i did n't  [ID: 56213]
 ##### 
1776. k-19 sinks to a harrison ford low .  [ID: 11258]
 ##### 
1777. fall fast asleep  [ID: 1374]
 ##### 
1778. an oscar-worthy performance  [ID: 36920]
 ##### 
1779. a frustrating ` tweener ' -- too slick ,  [ID: 66806]
 ##### 
1780. aesthetic experience  [ID: 40125]
 ##### 
1781. payami tries to raise some serious issues about iran 's electoral process , but the result is a film that 's about as subtle as a party political broadcast .  [ID: 27414]
 ##### 
1782. is tepid and tedious  [ID: 49552]
 ##### 
1783. that the bulk of the movie centers on the wrong character  [ID: 43355]
 ##### 
1784. , i pledge allegiance to cagney and lacey .  [ID: 11121]
 ##### 
1785. any scorsese  [ID: 7101]
 ##### 
1786. schaeffer 's film never settles into the light-footed enchantment the material needs ,  [ID: 13749]
 ##### 
1787. very well-meaning movie ,  [ID: 10200]
 ##### 
1788. is a masterpiece of elegant wit and artifice  [ID: 55934]
 ##### 
1789. the problem with the film  [ID: 17900]
 ##### 
1790. overflowing  [ID: 66696]
 ##### 
1791. intelligent , caustic take on a great writer and dubious human being .  [ID: 57679]
 ##### 
1792. for an intelligent weepy  [ID: 34395]
 ##### 
1793. the connected stories of breitbart and hanussen are actually fascinating  [ID: 57368]
 ##### 
1794. like rudy yellow lodge , eyre needs to take a good sweat to clarify his cinematic vision before his next creation and remember the lessons of the trickster spider .  [ID: 42555]
 ##### 
1795. , overnight , is robbed and replaced with a persecuted `` other  [ID: 26647]
