Consider yourself in the position of an active learning component to help a human annotator. You have to choose the instances that the annotator has to label. You are given a set of instances of a dataset. You can only choose 25 instances. Please think step by step about what you would do to select the instances to label. After this provide the list of instances that you would label, separated by a comma. For example, if you would label the instances 1, 4, 5 then the output should be: 1, 4, 5 The following instances are given to you (seperated with "\n ##### \n"): 

 ##### 
800. best ensemble casts  [ID: 53994]
858. what ` blade runner ' would  [ID: 7382]
 ##### 
859. rusted-out ruin  [ID: 55335]
 ##### 
860. to watch too many barney videos  [ID: 1264]
 ##### 
861. very capable nailbiter  [ID: 47638]
 ##### 
862. has this sneaky feel to it -- as if the director is trying to dupe the viewer into taking it all as very important simply because the movie is ugly to look at and not a hollywood product  [ID: 57548]
 ##### 
863. the film , which very simply sets out to entertain and ends up delivering in good measure  [ID: 20182]
 ##### 
864. , beautifully produced film  [ID: 64364]
 ##### 
865. its soul 's - eye view of how well-meaning patronizing masked a social injustice , at least as represented by this case  [ID: 58276]
 ##### 
866. too much exploitation and  [ID: 37836]
 ##### 
867. overlong infomercial  [ID: 66873]
 ##### 
868. , the recording sessions are intriguing , and -- on the way to striking a blow for artistic integrity -- this quality band may pick up new admirers .  [ID: 25896]
 ##### 
869. it 's a diverting enough hour-and-a-half for the family audience .  [ID: 51568]
 ##### 
870. maddening  [ID: 29628]
 ##### 
871. labute does manage to make a few points about modern man and his problematic quest for human connection .  [ID: 18098]
 ##### 
872. work as well as a remarkably faithful one  [ID: 2409]
 ##### 
873. a deeper story  [ID: 18451]
 ##### 
874. in the best way  [ID: 43132]
 ##### 
875. 'd bother watching past the second commercial break  [ID: 8540]
 ##### 
876. this movie 's lack of ideas  [ID: 2299]
 ##### 
877. such conviction  [ID: 20414]
 ##### 
878. the troubling thing about clockstoppers  [ID: 43536]
 ##### 
879. what might have emerged as hilarious lunacy in the hands of woody allen or mel brooks ( at least during their '70s heyday ) comes across as lame and sophomoric in this debut indie feature .  [ID: 5193]
 ##### 
880. anyone who suffers through this film deserves , at the very least , a big box of consolation candy .  [ID: 24638]
 ##### 
881. non-exploitive approach  [ID: 25763]
 ##### 
882. i liked it because it was so endlessly , grotesquely , inventive .  [ID: 11282]
 ##### 
883. as comedic spotlights go , notorious c.h.o. hits all the verbal marks it should .  [ID: 9519]
 ##### 
884. prove that movie-star intensity can overcome bad hair design  [ID: 67161]
 ##### 
885. horrific  [ID: 7337]
 ##### 
886. actually exploiting it yourself  [ID: 29161]
 ##### 
887. fails at both endeavors  [ID: 49166]
 ##### 
888. wall  [ID: 3239]
 ##### 
889. bogged down by an overly sillified plot and stop-and-start pacing .  [ID: 24767]
 ##### 
890. the proceedings more bizarre than actually amusing  [ID: 25626]
 ##### 
891. can enjoy much of jonah simply , and gratefully , as laugh-out-loud lunacy with a pronounced monty pythonesque flavor .  [ID: 3652]
 ##### 
892. static set ups , not much camera movement  [ID: 21296]
 ##### 
893. all the substance of a twinkie -- easy to swallow , but scarcely nourishing  [ID: 5996]
 ##### 
894. this slight premise ... works because of the ideal casting of the masterful british actor ian holm as the aged napoleon  [ID: 52929]
 ##### 
895. washed out despite all of that  [ID: 21245]
 ##### 
896. admire the closing scenes of the film , which seem to ask whether our civilization offers a cure for vincent 's complaint  [ID: 57155]
 ##### 
897. the charismatic jackie chan to  [ID: 9499]
 ##### 
898. engrossing and different  [ID: 14618]
 ##### 
899. is as delightful  [ID: 14441]
 ##### 
900. weak and ineffective ghost story  [ID: 43193]
 ##### 
901. aspires to be more than another `` best man '' clone by weaving a theme throughout this funny film  [ID: 584]
 ##### 
902. wo n't be disappointed .  [ID: 27588]
 ##### 
903. , something is rotten in the state of california  [ID: 19815]
 ##### 
904. the screen to attract and sustain an older crowd  [ID: 42447]
 ##### 
905. has hugely imaginative and successful casting to its great credit , as well as one terrific score and attitude to spare  [ID: 21219]
 ##### 
906. often silly -- and gross -- but it 's rarely as moronic as some campus gross-out films .  [ID: 3376]
 ##### 
907. a culture-clash comedy that , in addition to being very funny ,  [ID: 2052]
 ##### 
908. a torn book jacket  [ID: 50425]
 ##### 
909. slightly flawed  [ID: 9436]
 ##### 
910. as vincent became more and more abhorrent  [ID: 55555]
 ##### 
911. the filmmaker would disagree  [ID: 4187]
 ##### 
912. acting -- more accurately , it 's moving  [ID: 6859]
 ##### 
913. this well-meaning , beautifully produced film  [ID: 28394]
 ##### 
914. has already appeared in one forum or another  [ID: 5961]
 ##### 
915. there are some movies that hit you from the first scene  [ID: 44393]
 ##### 
916. bundling the flowers of perversity , comedy and romance into a strangely tempting bouquet of a movie  [ID: 6016]
 ##### 
917. it stars schticky chris rock and stolid anthony hopkins , who seem barely in the same movie .  [ID: 3581]
 ##### 
918. these lives count  [ID: 27058]
 ##### 
919. evaporates like so much crypt mist in the brain  [ID: 4944]
 ##### 
920. the film 's plot may be shallow , but you 've never seen the deep like you see it in these harrowing surf shots  [ID: 22905]
 ##### 
921. even more predictable  [ID: 61406]
 ##### 
922. is surprisingly refreshing .  [ID: 2597]
 ##### 
923. 's also pretty funny  [ID: 26765]
 ##### 
924. honest performances and exceptional detail  [ID: 24710]
 ##### 
925. unforgettable  [ID: 44660]
 ##### 
926. laudable in themselves  [ID: 29322]
 ##### 
927. dramatically satisfying  [ID: 17242]
 ##### 
928. is richly detailed , deftly executed and utterly absorbing .  [ID: 40991]
 ##### 
929. merely pretentious  [ID: 57918]
 ##### 
930. just another generic drama  [ID: 25182]
 ##### 
931. one of the most slyly exquisite anti-adult movies  [ID: 25471]
 ##### 
932. the cold  [ID: 58444]
 ##### 
933. amateurishly  [ID: 16050]
 ##### 
934. marvelous first  [ID: 53466]
 ##### 
935. a highly gifted 12-year-old  [ID: 11993]
 ##### 
936. wish it would have just gone more over-the-top instead of trying to have it both ways .  [ID: 35512]
 ##### 
937. its intriguing subject  [ID: 37732]
 ##### 
938. definitive  [ID: 11471]
 ##### 
939. much ado about something is an amicable endeavor .  [ID: 65362]
 ##### 
940. are simply dazzling  [ID: 62668]
 ##### 
941. are times when the film 's reach exceeds its grasp  [ID: 26280]
 ##### 
942. a bit of a downer and a little over-dramatic at times , but this is a beautiful film for people who like their romances to have that french realism .  [ID: 22169]
 ##### 
943. i was feeling this movie until it veered off too far into the exxon zone , and left me behind at the station looking for a return ticket to realism .  [ID: 39520]
 ##### 
944. acute writing and a host of splendid performances  [ID: 8982]
 ##### 
945. is an ode to unconditional love and compassion garnered from years of seeing it all , a condition only the old are privy to , and ... often misconstrued as weakness .  [ID: 57382]
 ##### 
946. truly annoying  [ID: 17666]
 ##### 
947. burns  [ID: 42187]
 ##### 
948. 's not entirely memorable  [ID: 2960]
 ##### 
949. seeing himself in the other ,  [ID: 15445]
 ##### 
950. ill-considered notion  [ID: 16422]
 ##### 
951. this documentary is a dazzling , remarkably unpretentious reminder of what ( evans ) had , lost , and got back .  [ID: 61454]
 ##### 
952. the sexual politics too smug  [ID: 54432]
 ##### 
953. what 's so striking about jolie 's performance is that she never lets her character become a caricature -- not even with that radioactive hair .  [ID: 11149]
 ##### 
954. should have been the be-all-end-all of the modern-office anomie films .  [ID: 50936]
 ##### 
955. like the best of godard 's movies  [ID: 29641]
 ##### 
956. make a pretty good team  [ID: 883]
 ##### 
957. not only is it a charming , funny and beautifully crafted import , it uses very little dialogue , making it relatively effortless to read and follow the action at the same time .  [ID: 9866]
 ##### 
958. an already thin story  [ID: 42938]
 ##### 
959. very good viewing alternative  [ID: 28]
 ##### 
960. cutesy reliance  [ID: 20846]
 ##### 
961. retitle it the adventures of direct-to-video nash  [ID: 22866]
 ##### 
962. perfectly creepy and believable  [ID: 66675]
 ##### 
963. an intriguing look at the french film industry during the german occupation  [ID: 25829]
 ##### 
964. is n't even halfway  [ID: 16001]
 ##### 
965. appealing enough  [ID: 62568]
 ##### 
966. icily brilliant  [ID: 13375]
 ##### 
967. come full circle to end on a positive ( if tragic ) note  [ID: 30775]
 ##### 
968. capture the terrifying angst of the modern working man without turning the film into a cheap thriller , a dumb comedy or a sappy  [ID: 40195]
 ##### 
969. a meditation on faith and madness  [ID: 34152]
 ##### 
970. neighborhood  [ID: 14829]
 ##### 
971. bolstered by an astonishing voice cast ( excepting love hewitt ) , an interesting racial tension , and a storyline that i have n't encountered since at least pete 's dragon .  [ID: 56743]
 ##### 
972. an inventive ,  [ID: 32653]
 ##### 
973. to use the word `` new '' in its title  [ID: 9927]
 ##### 
974. intricately  [ID: 58450]
 ##### 
975. who willingly walk into the nightmare of war not only to record the events for posterity , but to help us  [ID: 16334]
 ##### 
976. is to ponder how a whole segment of pop-music history has been allowed to get wet , fuzzy and sticky .  [ID: 44240]
 ##### 
977. works its way up  [ID: 26783]
 ##### 
978. gets its greatest play  [ID: 6521]
 ##### 
979. as naturally charming  [ID: 26246]
 ##### 
980. an intelligently made  [ID: 37578]
 ##### 
981. a tear-stained vintage shirley temple script  [ID: 35679]
 ##### 
982. a memorable directorial debut  [ID: 14232]
 ##### 
983. you should be able to find better entertainment .  [ID: 35842]
 ##### 
984. the way the roundelay of partners functions , and the interplay within partnerships and among partnerships and the general air of gator-bashing are consistently delightful .  [ID: 52339]
 ##### 
985. losing its focus , point and purpose in a mess of mixed messages , over-blown drama and bruce willis  [ID: 6051]
 ##### 
986. this disappointed by a movie in a long time  [ID: 28870]
 ##### 
987. i do n't know if frailty will turn bill paxton into an a-list director , but he can rest contentedly with the knowledge that he 's made at least one damn fine horror movie  [ID: 51146]
 ##### 
988. unlikable , uninteresting , unfunny , and completely  [ID: 16215]
 ##### 
989. has one strike against it  [ID: 51126]
 ##### 
990. maintained  [ID: 50737]
 ##### 
991. it definitely gives you something to chew on  [ID: 38415]
 ##### 
992. enhances the excellent performances  [ID: 5413]
 ##### 
993. has little insight into the historical period and its artists , particularly in how sand developed a notorious reputation  [ID: 29398]
 ##### 
994. 's enough cool fun here to warm the hearts of animation enthusiasts of all ages  [ID: 17649]
 ##### 
995. from the script 's bad ideas and awkwardness  [ID: 20742]
 ##### 
996. the performances are strong , though the subject matter demands acting that borders on hammy at times .  [ID: 14498]
 ##### 
997. it appears as if even the filmmakers did n't know what kind of movie they were making .  [ID: 2637]
 ##### 
998. -- she 's pretty and she can act --  [ID: 10012]
 ##### 
999. , maudlin and cliche-ridden  [ID: 16337]
 ##### 
1000. the goo  [ID: 16490]
