Consider yourself in the position of an active learning component to help a human annotator. You have to choose the instances that the annotator has to label. You are given a set of instances of a dataset. You can only choose 20 instances. Please think step by step about what you would do to select the instances to label. After this provide the list of instances that you would label, separated by a comma. For example, if you would label the instances 1, 4, 5 then the output should be: 1, 4, 5 The following instances are given to you (seperated with "\n ##### \n"): 

 ##### 
0. our moviemakers  [ID: 40625]
25. boll uses a lot of quick cutting and blurry step-printing to goose things up , but dopey dialogue and sometimes inadequate performances kill the effect .  [ID: 13601]
 ##### 
26. i spied with my little eye ... a mediocre collection of cookie-cutter action scenes and occasionally inspired dialogue bits  [ID: 8963]
 ##### 
27. as quiet , patient and tenacious as mr. lopez himself , who approaches his difficult , endless work with remarkable serenity and discipline .  [ID: 49093]
 ##### 
28. enough laughs to sustain interest to the end  [ID: 66454]
 ##### 
29. the disadvantage of also looking cheap  [ID: 1005]
 ##### 
30. alienating most  [ID: 54853]
 ##### 
31. a smart , arch and rather cold-blooded comedy  [ID: 43253]
 ##### 
32. too much exploitation and  [ID: 37836]
 ##### 
33. will absolutely crack you up with her crass , then gasp for gas , verbal deportment .  [ID: 52700]
 ##### 
34. an impenetrable and insufferable ball of pseudo-philosophic twaddle .  [ID: 53714]
 ##### 
35. the fluid motion is astounding on any number of levels -- including the physical demands made on büttner -- and it implies in its wake the intractable , irreversible flow of history .  [ID: 47761]
 ##### 
36. out there !  [ID: 11728]
 ##### 
37. experimental enough to alienate the mainstream audience while ringing cliched to hardened indie-heads  [ID: 64602]
 ##### 
38. the biggest disappointments of the year  [ID: 5687]
 ##### 
39. viva le resistance !  [ID: 60052]
 ##### 
40. music and life  [ID: 7371]
 ##### 
41. familiar and predictable ,  [ID: 22551]
 ##### 
42. a time machine , a journey back to your childhood , when cares melted away in the dark theater , and films had the ability to mesmerize , astonish and entertain  [ID: 39756]
 ##### 
43. in its courageousness , and comedic employment  [ID: 14372]
 ##### 
44. a delightful little film  [ID: 19515]
 ##### 
45. lame romantic comedy  [ID: 8479]
 ##### 
46. morality , family  [ID: 54728]
 ##### 
47. a finely written  [ID: 53965]
 ##### 
48. trimmed dickens ' wonderfully sprawling soap opera , the better to focus on the hero 's odyssey from cowering poverty to courage and happiness  [ID: 58457]
 ##### 
49. engaging examination  [ID: 35931]
 ##### 
50. ` juvenile delinquent ' paperbacks  [ID: 19524]
 ##### 
51. routine crime  [ID: 36525]
 ##### 
52. ties it together with efficiency and an affection for the period  [ID: 24990]
 ##### 
53. makes up for in heart what it lacks in outright newness  [ID: 11360]
 ##### 
54. feels like a hazy high that takes too long to shake .  [ID: 10771]
 ##### 
55. even bigger and more ambitious than the first installment , spy kids 2 looks as if it were made by a highly gifted 12-year-old instead of a grown man .  [ID: 33573]
 ##### 
56. bogged down  [ID: 34273]
 ##### 
57. a peculiar malaise that renders its tension  [ID: 5234]
 ##### 
58. cohesive story  [ID: 28188]
 ##### 
59. it 's common knowledge that park and his founding partner , yong kang , lost kozmo in the end  [ID: 13793]
 ##### 
60. 's a frankenstein-monster of a film that does n't know what it wants to be  [ID: 9747]
 ##### 
61. is solid , satisfying fare for adults .  [ID: 64303]
 ##### 
62. imagine , as searching for a quarter in a giant pile of elephant feces ... positively dreadful  [ID: 48604]
 ##### 
63. kept much of the plot but jettisoned the stuff that would make this a moving experience for people who have n't read the book  [ID: 53695]
 ##### 
64. suspense , intriguing characters and bizarre bank robberies , plus a heavy dose of father-and-son dynamics  [ID: 18154]
 ##### 
65. it will be , and in that sense is a movie that deserves recommendation  [ID: 60293]
 ##### 
66. are still unconcerned about what they ingest  [ID: 61917]
 ##### 
67. ugly and destructive  [ID: 30101]
 ##### 
68. , virulently unpleasant excuse  [ID: 30059]
 ##### 
69. 's a satisfying summer blockbuster and worth a look  [ID: 53701]
 ##### 
70. a tasty performance from vincent gallo lifts this tale of cannibal lust above the ordinary  [ID: 23800]
 ##### 
71. old ` juvenile delinquent ' paperbacks with titles  [ID: 59380]
 ##### 
72. has several strong performances  [ID: 61615]
 ##### 
73. compellingly  [ID: 33209]
 ##### 
74. is every bit as fascinating as it is flawed .  [ID: 53501]
 ##### 
75. intelligent  [ID: 15547]
 ##### 
76. sing beautifully  [ID: 39377]
 ##### 
77. to the annoying score to ` special effects ' by way of replacing objects in a character 's hands below the camera line  [ID: 31501]
 ##### 
78. as moronic as some campus  [ID: 26328]
 ##### 
79. as an eloquent memorial  [ID: 22550]
 ##### 
80. 's fun for kids of any age  [ID: 27711]
 ##### 
81. incorporates rotoscope animation for no apparent reason except  [ID: 15945]
 ##### 
82. showtime deserves the hook .  [ID: 56383]
 ##### 
83. a good yarn --  [ID: 43047]
 ##### 
84. standoffish to everyone else  [ID: 58623]
 ##### 
85. soured me on the santa clause 2 was that santa bumps up against 21st century reality so hard  [ID: 64989]
 ##### 
86. does n't have anything really interesting to say  [ID: 41553]
 ##### 
87. and pretentious endeavor  [ID: 64330]
 ##### 
88. succeeds as an emotionally accessible , almost mystical work  [ID: 29323]
 ##### 
89. unsatisfying muddle  [ID: 52954]
 ##### 
90. can disguise the fact that the new film is a lame kiddie flick and that carvey 's considerable talents are wasted in it  [ID: 58944]
 ##### 
91. witty and beneath  [ID: 47514]
 ##### 
92. any summer blockbuster  [ID: 38895]
 ##### 
93. 's a very valuable film  [ID: 8999]
 ##### 
94. suggests a director fighting against the urge to sensationalize his material .  [ID: 66470]
 ##### 
95. an uncomfortable movie , suffocating and sometimes almost senseless ,  [ID: 35533]
 ##### 
96. be talking about the film once you exit the theater  [ID: 26164]
 ##### 
97. brisk hack job .  [ID: 30202]
 ##### 
98. all the heart of a porno flick ( but none of the sheer lust )  [ID: 18229]
 ##### 
99. a genial romance that maintains a surprisingly buoyant tone throughout , notwithstanding some of the writers ' sporadic dips into pop freudianism  [ID: 33341]
 ##### 
100. deliciously nonsensical comedy  [ID: 26041]
 ##### 
101. feral and uncomfortable .  [ID: 26421]
 ##### 
102. 's good , hard-edged stuff , violent and a bit exploitative but also nicely done , morally alert and street-smart .  [ID: 57822]
 ##### 
103. profits  [ID: 60595]
 ##### 
104. most impressive  [ID: 66361]
 ##### 
105. on the premise  [ID: 39239]
 ##### 
106. gorgeousness .  [ID: 3073]
 ##### 
107. familiar -- and not in a good way  [ID: 52557]
 ##### 
108. in praise of love remains a ponderous and pretentious endeavor that 's unfocused and tediously exasperating  [ID: 66619]
 ##### 
109. lacks the visual flair and bouncing bravado that characterizes better hip-hop clips and is content to recycle images and characters that were already tired 10 years ago .  [ID: 59103]
 ##### 
110. a classic fairy tale that perfectly captures the wonders and worries of childhood in a way that few movies have ever approached  [ID: 43068]
 ##### 
111. , the movie contains no wit , only labored gags .  [ID: 67239]
 ##### 
112. go down with a ship as leaky as this  [ID: 23792]
 ##### 
113. got some good , organic character work , lots of obvious political insights and little room for engaging , imaginative filmmaking in its nearly 2 1/2  [ID: 9895]
 ##### 
114. is prime escapist fare  [ID: 7283]
 ##### 
115. seems content to dog-paddle in the mediocre end of the pool , and it 's a sad , sick sight .  [ID: 34997]
 ##### 
116. offbeat thriller  [ID: 14416]
 ##### 
117. the hilarious writer-director himself  [ID: 3953]
 ##### 
118. the idea is more interesting than the screenplay , which lags badly in the middle and lurches between not-very-funny comedy , unconvincing dramatics and some last-minute action strongly reminiscent of run lola run .  [ID: 35747]
 ##### 
119. fathers and sons , and the uneasy bonds between them , rarely have received such a sophisticated and unsentimental treatment on the big screen as they do in this marvelous film .  [ID: 5187]
 ##### 
120. the hand that has finally , to some extent , warmed up to him  [ID: 18866]
 ##### 
121. sharp as a samurai sword  [ID: 54180]
 ##### 
122. seems worth the effort  [ID: 65999]
 ##### 
123. this ready-made midnight movie probably wo n't stand the cold light of day , but  [ID: 17038]
 ##### 
124. cold , gray  [ID: 29615]
 ##### 
125. just enough sweet and traditional romantic comedy to counter the crudity  [ID: 13223]
 ##### 
126. it 's no lie -- big fat liar is a real charmer  [ID: 64004]
 ##### 
127. mayhem and stupidity  [ID: 38189]
 ##### 
128. damned  [ID: 64607]
 ##### 
129. juliette binoche 's sand is vivacious ,  [ID: 39380]
 ##### 
130. most ardent  [ID: 37310]
 ##### 
131. 'm going to give it a marginal thumbs up  [ID: 41887]
 ##### 
132. sordid and  [ID: 38374]
 ##### 
133. two badly interlocked stories drowned by all too clever complexity .  [ID: 19591]
 ##### 
134. infuses the movie with much of its slender , glinting charm .  [ID: 17999]
 ##### 
135. marvelously entertaining and  [ID: 40332]
 ##### 
136. too straight-faced  [ID: 24498]
 ##### 
137. joyous communal festival  [ID: 49262]
 ##### 
138. cuter  [ID: 26506]
 ##### 
139. is n't afraid to try any genre and to do it his own way .  [ID: 39320]
 ##### 
140. the only thing avary seems to care about  [ID: 12917]
 ##### 
141. a sweet , tender sermon about a 12-year-old welsh boy more curious about god than girls , who learns that believing in something does matter .  [ID: 7661]
 ##### 
142. the events of the film are just so weird that i honestly never knew what the hell was coming next .  [ID: 50408]
 ##### 
143. filled with love for the movies of the 1960s .  [ID: 59144]
 ##### 
144. offers an aids subtext , skims over the realities of gay sex , and presents yet another tired old vision of the gay community as an all-inclusive world where uptight , middle class bores like antonia can feel good about themselves  [ID: 41151]
 ##### 
145. fairly uneventful and  [ID: 48296]
 ##### 
146. a stirring visual sequence like a surge through swirling rapids or a leap from pinnacle to pinnacle  [ID: 29928]
 ##### 
147. an evanescent , seamless and sumptuous stream  [ID: 17190]
 ##### 
148. see `` blue crush '' is the phenomenal , water-born cinematography by david hennings  [ID: 57295]
 ##### 
149. by this tired retread  [ID: 46696]
 ##### 
150. derive from the screenplay , but rather the mediocre performances by most of the actors involved  [ID: 25275]
 ##### 
151. directs this intricately structured and well-realized drama that presents a fascinating glimpse of urban life and the class warfare that embroils two young men  [ID: 5738]
 ##### 
152. compromising that complexity  [ID: 30274]
 ##### 
153. the slightly flawed ( and fairly unbelievable ) finale ,  [ID: 11536]
 ##### 
154. first-class , natural acting and a look at `` the real americans ''  [ID: 61959]
 ##### 
155. sad , sick sight  [ID: 5571]
 ##### 
156. rich in shadowy metaphor and as sharp as a samurai sword , jiang wen 's devils on the doorstep is a wartime farce in the alternately comic and gut-wrenching style of joseph heller or kurt vonnegut .  [ID: 60873]
 ##### 
157. a dream image of the west to savor whenever the film 's lamer instincts are in the saddle  [ID: 33225]
 ##### 
158. tough to take as long as you 've paid a matinee price  [ID: 25337]
 ##### 
159. a marginal thumbs  [ID: 22022]
 ##### 
160. a longtime tolkien fan  [ID: 13367]
 ##### 
161. there 's no indication that he 's been responsible for putting together any movies of particular value or merit  [ID: 5331]
 ##### 
162. he wants you to feel something  [ID: 30543]
 ##### 
163. i 'm sure the filmmakers found this a remarkable and novel concept , but anybody who has ever seen an independent film can report that it is instead a cheap cliché .  [ID: 48040]
 ##### 
164. reeked of a been-there , done-that sameness  [ID: 44395]
 ##### 
165. found myself growing more and more frustrated and detached as vincent became more and more abhorrent .  [ID: 28022]
 ##### 
166. a great deal of corny dialogue and preposterous moments  [ID: 6704]
 ##### 
167. to his pulpy thrillers  [ID: 8665]
 ##### 
168. conventional -- lots of boring talking heads , etc. --  [ID: 32208]
 ##### 
169. one of the biggest disappointments of the year  [ID: 18068]
 ##### 
170. a monologue that manages to incorporate both the horror and the absurdity of the situation in a well-balanced fashion  [ID: 66681]
 ##### 
171. this movie makes one thing perfectly clear  [ID: 17674]
 ##### 
172. an uplifting , near-masterpiece .  [ID: 23350]
 ##### 
173. above most of its ilk  [ID: 930]
 ##### 
174. and more than that , it 's an observant , unfussily poetic meditation about identity and alienation .  [ID: 25523]
 ##### 
175. a downward narcotized spiral  [ID: 40335]
 ##### 
176. a lovely trifle  [ID: 66633]
 ##### 
177. if it had been only half-an-hour long or a tv special , the humor would have been fast and furious -- at ninety minutes , it drags  [ID: 2239]
 ##### 
178. the stuff of high romance , brought off with considerable wit  [ID: 13192]
 ##### 
179. has plenty for those ( like me ) who are n't .  [ID: 42756]
 ##### 
180. is at once a tough pill to swallow and a minor miracle of self-expression .  [ID: 28575]
 ##### 
181. just about the surest bet for an all-around good time at the movies this summer  [ID: 56406]
 ##### 
182. the good girl '' a film worth watching  [ID: 34851]
 ##### 
183. 's immensely ambitious , different than anything that 's been done before and amazingly successful in terms of what it 's trying to do  [ID: 27887]
 ##### 
184. of that  [ID: 8297]
 ##### 
185. for once  [ID: 25620]
 ##### 
186. to make an important film about human infidelity and happenstance that he tosses a kitchen sink onto a story already overladen with plot conceits  [ID: 31335]
 ##### 
187. when the screenwriter responsible for one of the worst movies of one year directs an equally miserable film the following year , you 'd have a hard time believing it was just coincidence .  [ID: 63546]
 ##### 
188. serves up with style and empathy  [ID: 55044]
 ##### 
189. logical  [ID: 49529]
 ##### 
190. a thoughtful movie ,  [ID: 41349]
 ##### 
191. at least a decent attempt at meaningful cinema  [ID: 47800]
 ##### 
192. it 's also a -- dare i say it twice -- delightfully charming -- and totally american , i might add -- slice of comedic bliss .  [ID: 31964]
 ##### 
193. favorite  [ID: 62865]
 ##### 
194. truly annoying  [ID: 17666]
 ##### 
195. girlfriends are bad , wives are worse and babies are the kiss of death in this bitter italian comedy .  [ID: 43313]
 ##### 
196. seem odd bedfellows  [ID: 44965]
 ##### 
197. offers an interesting look at the rapidly changing face of beijing .  [ID: 15556]
 ##### 
198. 're in luck .  [ID: 8744]
 ##### 
199. the flat dialogue by vincent r. nebrida  [ID: 18853]
 ##### 
200. darker turns  [ID: 29717]
 ##### 
201. asks the question how much souvlaki can you take before indigestion sets in .  [ID: 48507]
 ##### 
202. is way too muddled to be an effectively chilling guilty pleasure .  [ID: 24812]
 ##### 
203. ends with outtakes in which most of the characters forget their lines and just utter ` uhhh , ' which is better than most of the writing in the movie .  [ID: 24530]
 ##### 
204. beyond redemption  [ID: 1273]
 ##### 
205. the most ravaging , gut-wrenching , frightening war scenes since `` saving private ryan ''  [ID: 12406]
 ##### 
206. to spare wildlife  [ID: 240]
 ##### 
207. , i 'm going to recommend secretary , based on the wonderful acting clinic put on by spader and gyllenhaal  [ID: 27056]
 ##### 
208. someone , stop eric schaeffer before he makes another film .  [ID: 19412]
 ##### 
209. the actors are simply too good , and the story too intriguing ,  [ID: 21529]
 ##### 
210. it 's makes a better travelogue than movie .  [ID: 24213]
 ##### 
211. is almost entirely witless and inane , carrying every gag two or three times beyond its limit to sustain a laugh .  [ID: 38515]
 ##### 
212. standard horror flick formula  [ID: 51984]
 ##### 
213. absurdist wit  [ID: 3625]
 ##### 
214. solid filmmaking  [ID: 2442]
 ##### 
215. is that it 's far too sentimental .  [ID: 37979]
 ##### 
216. the beaten path , not necessarily for the better  [ID: 59707]
 ##### 
217. until you feel fully embraced by this gentle comedy  [ID: 63262]
 ##### 
218. a worthwhile environmental message  [ID: 35514]
 ##### 
219. `` orange county '' is far funnier than it would seem to have any right to be .  [ID: 18505]
 ##### 
220. dreary tale of middle-class angst  [ID: 18381]
 ##### 
221. this is a fascinating film because there is no clear-cut hero and no all-out villain .  [ID: 58767]
 ##### 
222. zero thrills , too many flashbacks and a choppy ending make for a bad film .  [ID: 11309]
 ##### 
223. adams just copies from various sources  [ID: 22306]
 ##### 
224. ponderous and pretentious endeavor  [ID: 51505]
 ##### 
225. retaining an integrity and refusing to compromise his vision  [ID: 57474]
 ##### 
226. , but the uninspired scripts , acting and direction never rise above the level of an after-school tv special .  [ID: 29800]
 ##### 
227. as the long-faced sad sack  [ID: 1912]
 ##### 
228. all bluster  [ID: 9335]
 ##### 
229. from too much norma rae and not enough pretty woman  [ID: 12182]
 ##### 
230. convincing impersonation  [ID: 5783]
 ##### 
231. than an autopsy , the movie  [ID: 2448]
 ##### 
232. little visible talent and no energy  [ID: 62087]
 ##### 
233. 's notably better acted -- and far less crass - than some other recent efforts in the burgeoning genre of films about black urban professionals  [ID: 44036]
 ##### 
234. a deeper story  [ID: 18451]
 ##### 
235. the humor and humanity  [ID: 23038]
 ##### 
236. spanning nearly three decades of bittersweet camaraderie and history , in which we feel that we truly know what makes holly and marina tick  [ID: 1418]
 ##### 
237. the dynamic first act  [ID: 9251]
 ##### 
238. major-league  [ID: 28093]
 ##### 
239. it 's fun  [ID: 17792]
 ##### 
240. is a step down for director gary fleder  [ID: 2788]
 ##### 
241. coming back to the achingly unfunny phonce and his several silly subplots  [ID: 50893]
 ##### 
242. you feel genuinely good  [ID: 45153]
 ##### 
243. britney spears ' phoniness  [ID: 15658]
 ##### 
244. lacks the detail of the book  [ID: 33992]
 ##### 
245. comic chiller  [ID: 32137]
 ##### 
246. grant is n't cary and bullock is n't katherine .  [ID: 10438]
 ##### 
247. with enough action  [ID: 61926]
 ##### 
248. long enough to read the subtitles  [ID: 38901]
 ##### 
249. ca n't seem to get a coherent rhythm going  [ID: 14934]
 ##### 
250. leave the auditorium feeling dizzy , confused , and totally disorientated  [ID: 15479]
 ##### 
251. well-thought stunts or  [ID: 149]
 ##### 
252. the holes in this film  [ID: 24049]
 ##### 
253. drag it down to mediocrity  [ID: 20243]
 ##### 
254. bad '' is the operative word for `` bad company  [ID: 3579]
 ##### 
255. sharp and quick documentary  [ID: 53121]
 ##### 
256. i can imagine this movie as a b & w british comedy , circa 1960 , with peter sellers , kenneth williams , et al. , but at this time , with this cast , this movie is hopeless  [ID: 13075]
 ##### 
257. the year selection  [ID: 55708]
 ##### 
258. very good acting  [ID: 52317]
 ##### 
259. stimulating and demanding  [ID: 63300]
 ##### 
260. it 's funny , as the old saying goes , because it 's true .  [ID: 5360]
 ##### 
261. does n't cut it  [ID: 16368]
 ##### 
262. undermines the possibility for an exploration of the thornier aspects of the nature/nurture argument in regards to homosexuality  [ID: 26670]
 ##### 
263. thought out  [ID: 44277]
 ##### 
264. to a mix of the shining , the thing , and any naked teenagers horror flick  [ID: 61699]
 ##### 
265. of the most politically audacious films of recent decades  [ID: 59550]
 ##### 
266. aside from the fact that the film idiotically uses the website feardotcom.com or the improperly hammy performance from poor stephen rea , the film gets added disdain for the fact that it is nearly impossible to look at or understand .  [ID: 35466]
 ##### 
267. hoping it will be , and in that sense is a movie that deserves recommendation  [ID: 66078]
 ##### 
268. morally bankrupt  [ID: 61695]
 ##### 
269. i think it was plato who said , ' i think , therefore i know better than to rush to the theater for this one . '  [ID: 5762]
 ##### 
270. during which you want to bang your head on the seat in front of you , at its cluelessness , at its idiocy , at its utterly misplaced earnestness  [ID: 12957]
 ##### 
271. oddly detached  [ID: 25524]
 ##### 
272. drama ,  [ID: 58092]
 ##### 
273. is a load of clams left in the broiling sun for a good three days  [ID: 6019]
 ##### 
274. cinematic razzle-dazzle  [ID: 48001]
 ##### 
275. pays off ,  [ID: 17888]
 ##### 
276. in and of himself funny  [ID: 48735]
 ##### 
277. i 've never seen ( a remake ) do anything as stomach-turning as the way adam sandler 's new movie rapes , pillages and incinerates frank capra 's classic ...  [ID: 62424]
 ##### 
278. 's a fine , old-fashioned-movie movie , which is to say it 's unburdened by pretensions to great artistic significance  [ID: 5774]
 ##### 
279. safe as a children 's film  [ID: 47822]
 ##### 
280. humorless , self-conscious art drivel ,  [ID: 45854]
 ##### 
281. worked wonders with the material  [ID: 13243]
 ##### 
282. satisfying niblet  [ID: 52372]
 ##### 
283. breathtakingly assured and stylish  [ID: 22879]
 ##### 
284. served with a hack script  [ID: 6132]
 ##### 
285. savage full-bodied wit  [ID: 44280]
 ##### 
286. and often contradictory  [ID: 67221]
 ##### 
287. , it deserved all the hearts it won -- and wins still , 20 years later .  [ID: 32013]
 ##### 
288. there 's nothing exactly wrong here , but there 's not nearly enough that 's right .  [ID: 16038]
 ##### 
289. its unforced comedy-drama and its relaxed , natural-seeming actors  [ID: 8177]
 ##### 
290. powerful  [ID: 22088]
 ##### 
291. fairly slow paced  [ID: 25522]
 ##### 
292. beauty and  [ID: 22258]
 ##### 
293. is ) the comedy equivalent of saddam hussein ,  [ID: 4759]
 ##### 
294. something of a public service  [ID: 52240]
 ##### 
295. of softheaded metaphysical claptrap  [ID: 13238]
 ##### 
296. the cast is phenomenal , especially the women .  [ID: 46440]
 ##### 
297. a whole lot of nada  [ID: 30493]
 ##### 
298. more than make up for its logical loopholes , which fly by so fast there 's no time to think about them anyway .  [ID: 12934]
 ##### 
299. run out of clever ideas and visual gags  [ID: 12974]
 ##### 
300. ally mcbeal-style fantasy sequences  [ID: 47834]
 ##### 
301. no amount of burning , blasting , stabbing , and shooting can hide a weak script .  [ID: 67090]
 ##### 
302. its intended audience has n't yet had much science  [ID: 45481]
 ##### 
303. drowned me in boredom  [ID: 32780]
 ##### 
304. she may not be real , but the laughs are .  [ID: 6118]
 ##### 
305. vehicle that even he seems embarrassed to be part of .  [ID: 59826]
 ##### 
306. a deft , delightful mix of sulky teen drama and overcoming-obstacles sports-movie triumph .  [ID: 32909]
 ##### 
307. promises is one film that 's truly deserving of its oscar nomination .  [ID: 44667]
 ##### 
308. a muddle splashed with bloody beauty as vivid as any scorsese has ever given us .  [ID: 51]
 ##### 
309. little-known perspective  [ID: 22274]
 ##### 
310. should make it required viewing in university computer science departments for years to come .  [ID: 31523]
 ##### 
311. exploitative and largely devoid of the depth or sophistication that would make watching such a graphic treatment of the crimes bearable  [ID: 66423]
 ##### 
312. lacks aspirations of social upheaval  [ID: 45714]
 ##### 
313. also happens to be good  [ID: 46358]
 ##### 
314. , remote , emotionally distant piece  [ID: 5018]
 ##### 
315. requiring a great deal of thought  [ID: 22639]
 ##### 
316. another arnold vehicle that fails to make adequate use of his particular talents .  [ID: 17205]
 ##### 
317. concentrates far too much  [ID: 42974]
 ##### 
318. a vivid , sometimes surreal  [ID: 51990]
 ##### 
319. one of the funniest motion pictures of the year , but ... also one of the most curiously depressing .  [ID: 20526]
 ##### 
320. with a fresh point of view  [ID: 10451]
 ##### 
321. convincing as this bland blank of a man with unimaginable demons  [ID: 1387]
 ##### 
322. luridly graphic and  [ID: 2490]
 ##### 
323. is brilliant ,  [ID: 60249]
 ##### 
324. especially with the weak payoff  [ID: 26732]
 ##### 
325. to conceive anyone else in their roles  [ID: 32191]
 ##### 
326. a 20-car pileup  [ID: 32396]
 ##### 
327. what a reckless  [ID: 23570]
 ##### 
328. exploitative and largely devoid  [ID: 42273]
 ##### 
329. is : ` scooby ' do n't .  [ID: 13088]
 ##### 
330. despite the efforts of a first-rate cast  [ID: 47656]
 ##### 
331. assaults on america 's knee-jerk moral sanctimony  [ID: 5065]
 ##### 
332. we believe in them  [ID: 21503]
 ##### 
333. through all too painfully  [ID: 11705]
 ##### 
334. the aaa of action  [ID: 50812]
 ##### 
335. in an intriguing bit of storytelling  [ID: 34919]
 ##### 
336. strangely hollow at its emotional core  [ID: 53490]
 ##### 
337. that a subject as monstrous and pathetic as dahmer  [ID: 18461]
 ##### 
338. an actual story  [ID: 36722]
 ##### 
339. , the director 's experiment is a successful one .  [ID: 15676]
 ##### 
340. of you-are-there immediacy  [ID: 15480]
 ##### 
341. when cowering and begging at the feet a scruffy giannini , madonna gives her best performance since abel ferrara had her beaten to a pulp in his dangerous game .  [ID: 37240]
 ##### 
342. oliver stone 's conspiracy thriller jfk  [ID: 3563]
 ##### 
343. ` it 's better to go in knowing full well what 's going to happen , but willing to let the earnestness of its execution and skill of its cast take you down a familiar road with a few twists .  [ID: 56687]
 ##### 
344. a good race ,  [ID: 31145]
 ##### 
345. coherent  [ID: 9082]
 ##### 
346. exploits ( headbanger ) stereotypes in good fun , while adding a bit of heart and unsettling subject matter .  [ID: 66780]
 ##### 
347. this seductive tease of a thriller  [ID: 12149]
 ##### 
348. drawing wrenching performances from his actors ( improvised over many months ) and for conveying the way tiny acts of kindness make ordinary life survivable  [ID: 38577]
 ##### 
349. very well-written and very well-acted .  [ID: 120]
 ##### 
350. right-wing , propriety-obsessed family  [ID: 27713]
 ##### 
351. nature film and a tribute  [ID: 25341]
 ##### 
352. be shaking your head all the way to the credits  [ID: 35918]
 ##### 
353. on shame  [ID: 5262]
 ##### 
354. opposed to the manifesto  [ID: 51895]
 ##### 
355. lack depth or complexity , with the ironic exception of scooter  [ID: 10091]
 ##### 
356. real women have curves truly is life affirming  [ID: 24323]
 ##### 
357. the gifted crudup has the perfect face to play a handsome blank yearning to find himself  [ID: 43259]
 ##### 
358. faithful without being forceful , sad without being shrill  [ID: 15897]
 ##### 
359. are fascinating  [ID: 51337]
 ##### 
360. pacino is the best he 's been in years and keener is marvelous .  [ID: 27644]
 ##### 
361. that stubbornly refused to gel  [ID: 4849]
 ##### 
362. shrewdly  [ID: 10336]
 ##### 
363. for the still-inestimable contribution they have made to our shared history  [ID: 44700]
 ##### 
364. if you saw benigni 's pinocchio at a public park , you 'd grab your kids and run and then probably call the police .  [ID: 9732]
 ##### 
365. is a dud  [ID: 14370]
 ##### 
366. less a story than an inexplicable nightmare , right down to the population 's shrugging acceptance to each new horror .  [ID: 19713]
 ##### 
367. too cliched  [ID: 8888]
 ##### 
368. as quiet , patient and tenacious as mr. lopez himself  [ID: 9788]
 ##### 
369. into the extraordinarily rich landscape  [ID: 23659]
 ##### 
370. assured , vital  [ID: 43514]
 ##### 
371. such a horrible movie could have sprung from such a great one  [ID: 41275]
 ##### 
372. ( gulpilil ) is a commanding screen presence , and his character 's abundant humanism makes him the film 's moral compass .  [ID: 16823]
 ##### 
373. lacks balance ...  [ID: 27268]
 ##### 
374. the film boasts at least a few good ideas and features some decent performances , but  [ID: 66753]
 ##### 
375. are well done and perfectly  [ID: 32148]
 ##### 
376. 's the plot , and a maddeningly insistent and repetitive piano score that made me want to scream .  [ID: 41743]
 ##### 
377. has the twinkling eyes , repressed smile and  [ID: 6528]
 ##### 
378. dumbed-down approach  [ID: 33553]
 ##### 
379. put pillowcases over their heads for 87 minutes  [ID: 26740]
 ##### 
380. porno  [ID: 17427]
 ##### 
381. , soap opera-ish dialogue  [ID: 56050]
