text,label,label_text,index
Buttons are opposite of how they should be according to the package & instructions.,0,not-counterfactual,1084
I have wrote every book Miss Paige has written and love them all!,0,not-counterfactual,3696
"However, I bought it for $10 with free shipping.",0,not-counterfactual,2216
I wanted to jump in this book and watch everything that was happening.,0,not-counterfactual,1846
"Not satisfied at all, did not stick to my car at all and I did wipe it down first.",0,not-counterfactual,1261
"I hate open flame, love tars, but my husband is leery of having them on all the time.",0,not-counterfactual,1397
I had already read that it runs a little small so I ordered one size down and it was perfect.,0,not-counterfactual,4079
I previously had the beats in ear buds and also sol buds.,0,not-counterfactual,312
Just how far would you go and what would you do?,0,not-counterfactual,315
It has enough openings for me to plug in headphones or speakers and still be able to use the buttons.,0,not-counterfactual,2433
I really like this series but this one was to surface and had a lot of repetition.,0,not-counterfactual,2226
"It is exactly what I wanted, and will now be ordering several more from this seller.",0,not-counterfactual,3422
Since I couldn't find what I had before I find this one acceptable.,0,not-counterfactual,2537
"When I opened the Ultra Green Glow in the dark paint can, it dawned on me that 1/2 anounce should be good enough for the entire ceiling (if I wanted to cover the entire ceiling), since the paint is quite thick.",0,not-counterfactual,4496
"The author does a good job documenting what these mnemonics mean, but put the documentation at the end of the chapter instead of placing them as footnotes at the bottom of the page.",0,not-counterfactual,1230
I do drawing as a past time and thiis is filled with all that I could possibly need.,0,not-counterfactual,3891
"Other than that, I'll just let the data speak for itself.",0,not-counterfactual,190
"It was exactly what I wanted - authentic design, high-quality, 100% silk, and just gorgeous!",0,not-counterfactual,3941
"This is a convention that is more common in spontaneous conversational narrative than in written literature but, as I allowed the story to envelop me in a swathe of intrigue, it seemed increasingly appropriate and it actually helped to steer my mind right to the center of the action.",0,not-counterfactual,39
He doesn't mind it being used on him either in fact he loves it.,0,not-counterfactual,2656
I can pick up calls during my run and converse without any issues with the audio.,0,not-counterfactual,779
"The computer couldn't access it, saying the device was malfunctioning.",0,not-counterfactual,2771
This table cover is perfect for people with kids.,0,not-counterfactual,1557
The price i have found reasonable for the content.,0,not-counterfactual,1095
This valance provides the finishing touch to a newly decorated bathroom.,0,not-counterfactual,4975
Did not work with any of my Streamlight chargers or flashlights.,0,not-counterfactual,2345
Instead it was a overview of Mark Owen's service career (I thank him for that service) without a whole lot detail to bring it to life.,0,not-counterfactual,3523
the plastic is thick and the pictures detail isnt too bad.,0,not-counterfactual,1917
The cover was easy to place on the chair; being in multiple pieces means that fitting to a chair design is easier than it would be for a one-piece.,0,not-counterfactual,1801
"I was slightly nervous that I might have made a mistake after I hit the \\\\\Complete Purchase\\\\\"" key on my PC but luckily I had nothing to worry about.""",0,not-counterfactual,114
I was happily surprised that my nutcracker was a signed edition.,0,not-counterfactual,1161
I chose the RCA connection over the speaker level connections.,0,not-counterfactual,1913
"The price is great, and the quality feels like it should be worth a lot more.",0,not-counterfactual,4899
I dumped my Swiffer wet jet and got this and I couldn't be happier!,0,not-counterfactual,4148
He writes with an easy going style that I like.,0,not-counterfactual,250
"While they could be made to sound decent by covering some slots and boosting the treble, they would still be my 3rd choice behind Sony and Beats.",0,not-counterfactual,3493
This was a gift to my daughter...she couldn't wait to do laundry to use it.,0,not-counterfactual,2116
"The only negative issue with this unit is you can't turn the projection display to a custom angle, it's inline with the clock display.",0,not-counterfactual,2282
They stood up just like in the photo and were a HIT with the family!,0,not-counterfactual,66
You also understand why it is so important for Reacher to be logical.,0,not-counterfactual,3585
"Thank you, -----------------------------------------------  PS: the speaker remember the devices that previously connected to it and sync automatically as soon as you turn the Bluetooth on your mobile.",0,not-counterfactual,2071
Haven't had a chance to use these yet.,0,not-counterfactual,1149
"""The author has a good voice in describing certain setting elements, but these descriptions are largely taken from \the world without us\"""", an internationally recognized best seller that thoughtfully describes how the world would adapt to the sudden disappearance of humanity.""""""",0,not-counterfactual,2573
I wore this dress for my Christmas party and it bought out a lot of ooh and aah.,0,not-counterfactual,4853
"This is an amazing device, for it size it packs in some serious punch.",0,not-counterfactual,3689
They may not be as good as better headphones out there but they are very very very durable.,0,not-counterfactual,125
Wow I am really glad I didn't read these reviews BEFORE I read this book because I would have passed on the book and missed a really great start to a series that captured my attention and made me laugh all the while using my imagination and painting a clear picture of the author's world she was building for us.,1,counterfactual,1090
"It's supposed to operate the volume and advance songs, but doesn't work at all.",0,not-counterfactual,3004
No extras-even FM radio would have been a nice touch.,1,counterfactual,2577
"What a fun read, I look forward to reading more.",0,not-counterfactual,3684
"These towels are terrible  After the initial wash, they shed on me for the entire first week of use, leaving fuzzies all over my body.",0,not-counterfactual,318
The fireplace screen is simple and clean in design.,0,not-counterfactual,3690
The product works as it should but have had a hard time finding exactly where to secure it - the suction cups tend to fail here and there and the metal hook does not really support it on any surface.,0,not-counterfactual,3407
I can tell it works because it senses when I'm cleaning or when my son has a dirty diaper.,0,not-counterfactual,3415
Be careful though they're actually 70mm long instead of the standard 65mm that a 18650 cell is supposed to be.,0,not-counterfactual,1979
Since I am bald it could be why it feels a tad large.,0,not-counterfactual,4361
"Always Me by Jo-Anna Walker  For those of you not familiar with this brand new author Jo-Anna Walker you must read the first book in this series \\\\\Break Me\\\\\"" before indulging in this book.""",0,not-counterfactual,3828
I wish we could have found something a little more kick a** girly but these are great.,1,counterfactual,2589
the volume is great cause is waterproof and everything i didn't expected more of it.,0,not-counterfactual,947
His world is shattered by a series of gruesome murders of his friends and so he has to take action aided by some permanent brain modification.,0,not-counterfactual,1439
Was replacing a similar coat for my wife that had just worn out.,0,not-counterfactual,4186
"I was a bit apprehensive about ordering solid wood wands, as I thought they would be too heavy to hang on the inexpensive vinyl blinds that cover our windows.",0,not-counterfactual,1043
"The only complaint is that on warm days you will get kind hot either wearing them on your ears or on neck (They double as a fashion accessory they are that nice) The build quality is unlike anything I have ever seen on a headphone, not one piece of plastic on the whole thing.",0,not-counterfactual,4998
I easily could have ordered a small and been able to wear alone AND over something.,1,counterfactual,981
"I like how this help explain the facts of the conflict between Dominic and Stephan, issues do get resolved and I will let you read and find out the rest, I don't like given out to much, I rather you read it and enjoy it as I did!!",0,not-counterfactual,3378
I could only find glue sticks in all our craft stores.,0,not-counterfactual,1477
I bought these hangers for my husband's pants.,0,not-counterfactual,803
"The 3rd one didn't have the adapter to plug the IPOD station in, so I took the one out of the 2nd one's box (because I hadn't sent it back yet).",0,not-counterfactual,350
"That doesn't mean they're in any way uncomfortable, but they eliminate the need for multiple pillows.",0,not-counterfactual,1920
They somehow made this look much better in the photo.,0,not-counterfactual,4338
"This suit is indeed long enough and it is true to size, I got the xxx-larger (14-16) and I wear a 14.",0,not-counterfactual,525
I wore it for Halloween and it was supposed to be 50 F outside but I was toasty warm with this onesies on!,0,not-counterfactual,4393
The actual product was just as we expected and was just what we wanted and needed.,0,not-counterfactual,2670
"""Inside the comic book, when Shredder's head was revealed without a helmet and a mask on, he looked like Randolph Mantooth a la John Gage in TV's \Emergency\"""".""""""",0,not-counterfactual,576
( they were just wonderful) in every way..Ship't the gown in about 2-3 days..,0,not-counterfactual,4856
This cover is a huge improvement over my old one - I wish I had ordered it sooner.,1,counterfactual,4388
Here are some key points that would have helped me when buying this as the information was not easy to access under specifications.,1,counterfactual,1532
"The only negative I would mention was the fact that the mop didn't really do anything to a spot of dried on tomato sauce on my floor, it softened it up, but the pad didn't have enough scrub power to get it off.",0,not-counterfactual,1831
It's cheaply made and two buttons came off while I was trying it on.,0,not-counterfactual,4949
The zipper part should be longer to fit wider mattresses.,1,counterfactual,365
So if you can drill or punch a hole into you leather belt then this is by far the best deal out there.,0,not-counterfactual,4329
The non-lacey material is a thin cotton/poly blend which feels like it will pill easily - but for the price who cares.,0,not-counterfactual,401
"In the past I had wanted a Yamaha receiver but this was the first one that I have come across that was this affordable.I think the Yamaha has a crisper, clearer sound to it than the old one did.",0,not-counterfactual,2193
"I enjoyed it very much, Just wish the Author allowed it to be shared between Kindles.",0,not-counterfactual,1192
You can really hear a difference with these compared to an earphone that has single chamber bass booster.,0,not-counterfactual,1396
Can't wait to wear it to the game!,0,not-counterfactual,4318
So now I have to throw away this thing.,0,not-counterfactual,2797
This was intriguing on its own considering where she was found and the fact that many people were at that spot many times over.,0,not-counterfactual,4868
"If we can, we won't buy another Apple product.",0,not-counterfactual,2802
"I have yet to clean the dress, partly because I haven't found any care instructions.",0,not-counterfactual,1595
I have used this lightly for 7 months and the speaker now won't work.,0,not-counterfactual,1449
"--------------------------------------------  HERE IS MY ORIGINAL RETURN LETTER  5 May, 2013  Coby Electronics Corporation  Technical Support  150 Knowlton Way  Savannah, GA 31407  912-966-2629  RE: Return of Model# 620-8GBRed MP3 Player for Replacement.",0,not-counterfactual,1618
I think this is a perfect jacket for teens without having to look like they are going to the office to work.,0,not-counterfactual,4630
I think if the author takes a lot of time and work and edits the crap out of this thing it could be a fun book.,1,counterfactual,503
I've had this brand in the past but this one was big and the lace was very itchy and stiff when I tried it on.,0,not-counterfactual,2714
I found another roll of this in my shop after I ordered it.,0,not-counterfactual,4906
It has gone through a Central NY winter without a problem.,0,not-counterfactual,1490
It's also made of entirely plastic and may seem a little flimsy but it seems to stick in our window fine using the gooey disc that came with it.,0,not-counterfactual,239
"The holder things seem pretty comfy too, They don't dig into the back of my ears but then again I never really had anything like that with any set I'd had.",0,not-counterfactual,2068
This only proves that good stories can be written without all the bad words.,0,not-counterfactual,1410
"""I wouldn't care about the \Large\"""" size (actually, nowhere on the tag is \""""L\"""" or \""""Large\"""" noted) hugging my head so tight if the hat was a few bucks (I really only bought it for either painting and housework, or to block the sun outdoors).""""""",0,not-counterfactual,2635
Tried all codes from manual for each device and none worked.,0,not-counterfactual,3057
I bought this to use as a lumbar support in my recliner and it is the perfect size for that.,0,not-counterfactual,1566
These sheets have held up well and remain soft to the touch.,0,not-counterfactual,2936
"This little machine is small but it is very powerful for the size; be aware that, because of ots size, you cannot pick up big chunks with it or it can get clogged, but that is pretty logical to me.",0,not-counterfactual,2189
"""won't play my iTunes can't get it to see my iPhone  impossible to set up all the \oh so see this is so simple is bullXXXX!""""""",0,not-counterfactual,3764
One good thing about this is that it doesn't mask odors.,0,not-counterfactual,2875
I must have looked at the reviews and the plot summary for months and months before I finally bought it.,1,counterfactual,4147
"These headphones are falling apart, the cable is shredded, my son asked me what dog chewed on them (none).",0,not-counterfactual,2498
We have a lab so dog hair is an issue.,0,not-counterfactual,3017
Comfortable (100% cotton) My only complaint is the stripes should be complete around the lower torso (you know like the costume).,0,not-counterfactual,1918
I bought the long style coat which does not have the turtle neck - it's more like a trench coat in style.,0,not-counterfactual,3641
If you think leakage is a problem it really isn't they are as bad as a pair of ear-buds.,1,counterfactual,3302
"""I am 5'10\\\\\, I can not wear this as a dress; it would be much too short!""""""",0,not-counterfactual,4250
the remote makes it convenient and I like the many different levels of brightness on the illuminating face.,0,not-counterfactual,1891
"A magical city has malfunctioned for unknown reasons, and instead of being like demigods, its inhabitants are now undead lepers.",0,not-counterfactual,896
This item had obviously been returned after a few uses.And don't even get me started on the sweat smell.....,0,not-counterfactual,62
"If you think this about bearded red-necks and the women who love them, you obviously don't know Penny!!",0,not-counterfactual,1264
"I hope it lasts, even if it doesn't I'd gladly pay another $100 in 2 years.can move the cold air around.",0,not-counterfactual,3521
Love the T. Look forward to buying more from you all.,0,not-counterfactual,705
"When the radio is on a low night stand, for example, it's almost impossible to read the labels under the buttons unless you bend over until your back breaks.",0,not-counterfactual,1468
My problem with it is that you can spend less and get better quality sound.,0,not-counterfactual,4168
One other really bad thing is it doesn't have auto shut off.,0,not-counterfactual,3917
For some reason I have had a hard time finding black ones that look like the picture.,0,not-counterfactual,1458
"She's 7 and very slim... perhaps she doesn't like the fact that I need to pull in the adjustable, elastic ribbon on the jeans to the point that makes it bunchy on the sides.",0,not-counterfactual,2369
It is a little heavy but you won't have to worry about your tv.,0,not-counterfactual,3923
"so beautiful, the fabric is well made and the color is exactly what I pictured, as in other posts, the rod pocket is on the wrong end, if u need the 3 in rod pocket the curtains will be upside down, a obvious sewing error, but i am ordering another set these are well worth the money.",0,not-counterfactual,310
I can only hope for another story in the same universe.,0,not-counterfactual,4815
It's a look into life on the island and how the culture manifests itself.,0,not-counterfactual,1338
I picked up Grapes of Wrath after reading Children of the Dust Bowl - I wanted to learn more about that period.,0,not-counterfactual,3343
Ideally clamping voltage should be between 330- 500 V for a decent unit.,0,not-counterfactual,81
It has two alarm settings which you can set at the same time.. the setting is on opposite sides of the snooze button so it is not confusing.,0,not-counterfactual,4551
After a day I stopped even noticing it for normal work though.,0,not-counterfactual,6
"Great story line, great consistancy with the character development and plot.",0,not-counterfactual,364
"This flattens the tummy to a degree, but for a shapewear - it doesn't really do as good of a job as what you'd expect.",0,not-counterfactual,3370
I am 5'6 and the length is perfect(I hate short jeans).I also find that they run true to size.I didn't feel they ran small at all.I bought the dark wash with the flap pockets on the back and they are so cute!Plus the pockets are actually on your butt and not halfway down your leg.They are also teh perfect size pockets.,0,not-counterfactual,2028
"it's very suit for my father,we like it very much.",0,not-counterfactual,475
This book is so cute but a little bit sad because Jingle did not have a home and couldn't find his friends.,0,not-counterfactual,4733
"Fortunately, I was home alone when apparently I didn't have a proper tie in the drawstring and while being active the string came undone and my pants fell to my ankles, my first thought was that I was glad I was at home alone and not in public or this would be an embarrassing moment.",0,not-counterfactual,2674
"The do not sound, yet, as good as other IEMs I have tried but at this price you can't go wrong, and I, for one, was very pleasantly surprised.",0,not-counterfactual,2121
I'm not sure how other people gave it more.,0,not-counterfactual,4327
I'm giving it 4 stars because I know if I got the right size they would have fit just fine.,1,counterfactual,3583
"But alas, it doesn't quite reach that far.",0,not-counterfactual,3471
I loved the volume control on the headphones themselves.,0,not-counterfactual,3982
This book is a look into the soul of a grieving wife and how the unfailing love of God is enough to sustain us in the most brokenhearted moments when you don;t know if you can even take another breath..But the breath of God comes like a cool breeze to remind us to continue on..the journey is not over.,0,not-counterfactual,4170
You want to find something such as love so bad you settle despite the warnings that are bright as day.,0,not-counterfactual,4098
"I will recommend this pillow to everyone, it is firmer then my other pillows I was concerned it would work for me.",0,not-counterfactual,2489
"On the flip side, if this component was up higher on the cord the above issues might go away, but due to the slight weight it might pull on the cord (and then the earphones in your ear), so this is more of an observation that a real complaint.",0,not-counterfactual,1795
"First off the good then bad,    Pros: very good theater sound (bass...), wireless technology worked on my ipad and computer so i was able to get good audio, has good range (yes it works through walls), smells like leather and good feeling?",0,not-counterfactual,413
"Adding now that after a few months I still really like this vacuum, especially that the hose is easy to disconnect and connect, I hated the hassle it was doing this on my old vacuum so I never used the attachments.",0,not-counterfactual,3567
"I really like the material the wallet is made of and the color is true to the photo, but I wish it had more spots for cards, (it has 3, and they do not have any stretch to them).",1,counterfactual,3999
This shirt fits great (I'm a XXL so its on spec for that size).,0,not-counterfactual,2506
"I still wish I had my QJays (those things sounded 10x better), but I wasn't willing to shell out another $200 for headphones, so these do just fine.",1,counterfactual,2442
"To be honest, I didn't know what to expect from this book.",0,not-counterfactual,3631
"Anyone that's an old-school fan of the days of the territory's, this is a must-read!",0,not-counterfactual,3220
didn't get the item they sent the wrong item to me i got a refund though also the post office must have mixed up the order,0,not-counterfactual,4291
Just not something I would want on my bed or a child's.,0,not-counterfactual,695
I wish it was longer for my own personal enjoyment and while I wait for the next I'm sure I'll reread it 5 times over!!,1,counterfactual,2835
There's a bit darker depth to this story without the constant insertion of material from the previous book.,0,not-counterfactual,3882
Fits great underneath the hanger clothes in the closet.,0,not-counterfactual,278
I would suggest ordering a size down because it runs pretty big.,0,not-counterfactual,2951
"Now, since I've never worked with clay and had no idea what to buy, this could have been a poor choice on my part.",0,not-counterfactual,2924
"I'd purchased it as a backup for when the original went bad, so I had it in the box so long I couldn't return it and had to throw it away.",0,not-counterfactual,1850
You don't have to have it loud to hear a full range of music.,0,not-counterfactual,1159
A decent read but a little too obvious for me.,0,not-counterfactual,427
this is unlike the one channel version of this remote that allows you to hybrid the entire remote without having to switch back an forth between the channels to control everything.,0,not-counterfactual,3719
I bought this for my husband and he loves it!,0,not-counterfactual,4884
Going with the curly willow in the honey color.,0,not-counterfactual,4326
"While I absolutely love historical novels and read them all the time, right now JUST because of the cover, I am giving it two stars, because I don't care for snakes and since I have not yet started the book, I will come back and give a better review if book is good.",0,not-counterfactual,2280
The MPS player doesn't have a FM receiver but it does say that in the produce description so that wasn't an issue for me as that was a feature I didn't need.,0,not-counterfactual,4990
"The earbuds are comfortable to wear, and the sound quality is quite good.",0,not-counterfactual,331
I must say that when it did work..... it sounded great,0,not-counterfactual,391
"If you dont have to move it around much, the compartments are a great feature, but it just didn't hold up to multiple trips to the laundry room.",0,not-counterfactual,1641
I purchased one of these for myself and they are wonderful.,0,not-counterfactual,1133
"I wish it was longer, but it serves it's intended purpose well.",1,counterfactual,277
I do have a hard time believing that anyone could stop smoking solely based on reading a book and thought that more than a few things would be best going over within a group setting.,0,not-counterfactual,3861
"That is, without calling for my help in operating the system.",0,not-counterfactual,2676
"""The \complimentary gift\"""" that came with it was a second matching scarf that was a little smaller so it really was a two-piece set.""""""",0,not-counterfactual,3519
"My boyfriend loved it, and I did too.",0,not-counterfactual,1188
I HIGHLY RECOMMEND THIS BOOK AND THIS AUTHOR!!,0,not-counterfactual,4230
I wanted a charming bell and got a pedestrian noise maker.,0,not-counterfactual,252
I wish they would have used the dragon sooner but maybe it wouldn't have worked to their advantage.,1,counterfactual,104
"I haven't worn 501s in 40 years, and they've improved.",0,not-counterfactual,3809
"They were a little snug, could have been reason they tore, waist was binding.",0,not-counterfactual,489
Very good sound quality and has a great microphone.,0,not-counterfactual,1739
(The fact that I'm not certain speaks volumes.),0,not-counterfactual,523
I haven't used one with this much suction and battery life ever.,0,not-counterfactual,3478
(To get 5 stars the instructions should have been clearer.),1,counterfactual,2142
"Love it, color is rich a bit bigger than I thought, very pleased!",0,not-counterfactual,3368
"I wanted another animal, but found the price of a new one a bit daunting.",0,not-counterfactual,660
"Anyone who does crystal work, this is a must have.",0,not-counterfactual,4285
"It fit just right, you have to order a bigger size",0,not-counterfactual,1493
"It is sllim, I can plug in all of my equipment and also charge my phone and my kindle at the same time.",0,not-counterfactual,3990
"Also, didn't receive the shipment in time for the babyshower it was for even though the USPS said it would be 2 delivered two days before it actually came.",0,not-counterfactual,2671
I ordered the blue and it's an absolutely stunning color!,0,not-counterfactual,3539
If you don't mind a droopy crotch on you pajama pants go ahead and buy these.,0,not-counterfactual,1783
Wish there were a couple of weeks of menus.,1,counterfactual,4159
"""She writes a great story full of people you want to live next door to and the books are fun and they have something of substance that stays in my thoughts after I finish the book and go looking for another \Wendy Wax\"""" book.........""""""",0,not-counterfactual,3913
"It's a true Viking epic with life values, family values, and a true connection to what's important in life, with that epic fantasy we all expect from a good Nordic tale.",0,not-counterfactual,1166
"I'm going to edit this or post a new review once I've worn it all day and washed it, but I wanted to give a quick review in case anyone is thinking about buying it now.",0,not-counterfactual,539
"There is also a 'lace' type strap on the inside at the front that I clip my keys to, but I suppose you could cinch the pants tighter and tie a knot in if needed.",1,counterfactual,4288
The book could have ended on the last chapter before the epilogue,1,counterfactual,1243
Really don't know what I would do without this.,0,not-counterfactual,4052
Unfortunately the covers are VERY small and did not fit the twin mattresses we have.,0,not-counterfactual,2031
It has a very heavy bass sound but it is adjustable.,0,not-counterfactual,1113
"I was concerned that I would be bothered by the wires or the plastic inside, since silly things like that may bother me, but I do not find it a problem.",0,not-counterfactual,2197
These batteries outlast any alkaline ones I have used.,0,not-counterfactual,4227
Uses a lot of water...It puts out great steam.,0,not-counterfactual,2199
- Amazing sound quality HELPFUL NOTES: - Use a snug knit cap too help minor shifting - it comes with a really nice long audio cable.,0,not-counterfactual,3080
I bought as a gift for someone and she loved it.,0,not-counterfactual,1447
"We love the jersey, however I over estimated the sizes.",0,not-counterfactual,144
The bust area is a little large- I am a C-cup and it's a little loose on me- if you have a small chest- you may want to order in time to try to take that area in a little- or do some last minute adjustments with some safety pins.,0,not-counterfactual,1916
In normal pants the width would be just OK and sometimes a little snug.,0,not-counterfactual,4707
"Amazingly crafted, lots of pockets, and I love that it came with an ID.",0,not-counterfactual,1794
"The pencil was ok not really what i needed and cost way too much to ship for only one pencil and the picture mislead me to believe it was geting more than one, a few would have been better but one isnt.",0,not-counterfactual,3578
Just like the kind my mom used to use.,0,not-counterfactual,745
"Sometimes I get the characters confused, but then I am old.",0,not-counterfactual,2745
Super easy to install once you get the first tile in place.,0,not-counterfactual,4511
They were such a good value that I bought some more of a different color.,0,not-counterfactual,3022
I AM LARGE AND OVERWEIGHT BUT THIS XXX IS NOT XXX FOR ME...,0,not-counterfactual,300
My only complaint is that I would like more colours please!!!,0,not-counterfactual,1419
I read a lot of complaints about the Songbird software that comes with it.,0,not-counterfactual,2906
"""Not a very \bright\"""" way to package lights.""""""",0,not-counterfactual,2744
IT MATCHED PERFECTLY AND I STARTED USING IT RIGHT AWAY.,0,not-counterfactual,3911
"This first part draws us in because little by little we learn about what makes up this hell, its rules, its temporality, its inhabitants; it seems very similar to our plane of existence, and at this stage I couldn't accept that this was hell because it all appeared to be so comfortable!",0,not-counterfactual,0
Why would you show a variety of sizes together when you are only selling one.,0,not-counterfactual,4259
I only have to take care of one remote instead of 6!,0,not-counterfactual,1147
The reader gets all three of them in this book!,0,not-counterfactual,1021
"Since the place where I got my topper does not make pillows, I decided to try a tempur-pedic pillow.",0,not-counterfactual,1238
My problem is that I didn't think through the problem before I proceeded with ordering the solution.,0,not-counterfactual,2857
And the wood wick sounds like a crackling fire!,0,not-counterfactual,4222
"The on-screen navigation, labeling, and web portal are all straight out of 1990.",0,not-counterfactual,3397
"Very nice, but the beads were smaller than I personally like.",0,not-counterfactual,2997
This book was the best yet and of course left me wanting more!,0,not-counterfactual,1049
A new children's books author has come on the scene - Uri Newman - and along with illustrator Yuri Kabischer we have the pleasure of a discovering a new type of children's book - a fine story about concepts made into characters that are merely drawn instead of painted (leaves that fun task for the children reading this fascinating little book!),0,not-counterfactual,2057
"That being said, I like it enough to sew on a snap so it will close and I can wear it alone.",0,not-counterfactual,3312
"I use these for scrapbooking  but I think they could also be used for baseball card collections because you could make notes and put them into the envelope (page protector) next to the card you are describing--how you managed to get it, what you paid for it, etc.",1,counterfactual,3731
"However if you've bought these you should be aware that the cable is held in place within the RCA plug only by a crimped, toothed band attached to a copper connector strip.",0,not-counterfactual,422
"""I'm kind of addicted to the whole \alpha-male/billionaire\"""" genre--but this one takes the cake by adding the whole stepbrother element as well.""""""",0,not-counterfactual,2314
This pillow doesn't seem so special when you first open the packaging but once I slept on it there was a big improvement over my past several pillows.,0,not-counterfactual,4417
Just what I wanted and washed up well; bought napkins too.,0,not-counterfactual,971
It's a tough book to read at times.,0,not-counterfactual,3599
This comforter/sheet set is exactly what my daughter was looking for.,0,not-counterfactual,4862
The book had some interesting twists that I did see coming and I look forward to reading part two of this series.,0,not-counterfactual,1315
I like that you can cut along the long edge without messing it up for smaller casings.,0,not-counterfactual,1020
The only issue I've had is that I am having difficulty geting it the control the bass on my amplifier but that is more my system than the remote.,0,not-counterfactual,4803
I wouldn't say it is disgusting or vulgar or even enough to send back... it's just new.,0,not-counterfactual,1530
"Very sturdy, close to wall, looks a ton better.",0,not-counterfactual,2394
i wished i have purchased three instead on one.,1,counterfactual,2382
I haven't had a chance to check out the sound quality myself yet but they seem perfect for my son.,0,not-counterfactual,3942
"The tilt was a key selling feature, I didn't have to get the holes in the wasll drilled exactly, which came in handy when I learned my stud finder wasn't the most accurate in the world........",0,not-counterfactual,4134
"The product arrived as described, and the roll was easy to deal with.",0,not-counterfactual,552
"I do agree that setting the stations to memory was a little difficult, but I did figure it out without reading the manual.",0,not-counterfactual,2014
The bone folder stores safely right on the front which is convenient.,0,not-counterfactual,1974
"If you are not planning to wear them that long then they should be fine, or maybe I just have funny ears :P",0,not-counterfactual,4642
Eve[[ASIN:B004FSFZ08 Framed 1975 Queen Music Concert Art Poster Print (11 x 14 Inches - 28cm x 36cm) Freddie Mercury Photographer: Bruce Herrick]]n a picture light doesn't show Freddie in his true skin color.,0,not-counterfactual,1752
I loved this story and couldn't get enough of them.,0,not-counterfactual,4368
Husbands were left without their wives and had to learn how to become a single parent and still provide for the family.,0,not-counterfactual,232
You don't have to let your mind wander as he tries to handle some of the more complex physics of the story and yet you get to enjoy the fair maiden as well.,0,not-counterfactual,2730
"Just in case you didn't read the description it only comes with the dress and the headband, I ordered a boa and gloves separately (from Hong Kong for cheap) but they still haven't arrived a month later...but that's what I get for being cheap!",0,not-counterfactual,2451
I ordered larger than I normally would have because of the reviews and I am glad I did.,0,not-counterfactual,3048
Bottom line is I couldn't find a better remote under $50.,0,not-counterfactual,1749
"First, it didn't let me shuffle through playlists or artists - only through lowest level directories and all my music... not so hot.",0,not-counterfactual,3674
"After doing this to three rooms downstairs, I was sure the bag would have been full, but it was not.",1,counterfactual,4011
"I only gave it 4 stars because the spout where you pour the water in is really small, so it's kinda tricky to fill with water without spilling some.",0,not-counterfactual,382
Great buy - very glad I got this one!,0,not-counterfactual,4323
"Very comfortable granny panties or under jeans, but quite baggy for a size 6.",0,not-counterfactual,805
I have to fold them to wear them with flats and the length is great for heels.,0,not-counterfactual,4062
"On a full charge, the battery lasts a little over four hours - that's the only drawback - battery life could be better - however, it's a quick charge.",0,not-counterfactual,594
"This is perfect for warmth and ease under top clothes, without bulk!",0,not-counterfactual,2583
"But none-the-less, it is a very cute, well made shirt.",0,not-counterfactual,3736
"I lost track of how many times I have read it.. Braith raises the bar so high for men that its unreachable..(Braith is my man).. Redemption is Jacks story, after the war, with Braiths (whos now King) approval,Jack and William(Arias twin) take off to check out the towns to see how they are getting on.. Jack meets and instantly falls for Hanna.. what he doesn't know is that Hanna has a secret.",0,not-counterfactual,668
