Consider yourself in the position of an active learning component to help a human annotator. You have to choose the instances that the annotator has to label. You are given a set of instances of a dataset. You can only choose 80 instances. Please think step by step about what you would do to select the instances to label. After this provide the list of instances that you would label, separated by a comma. For example, if you would label the instances 1, 4, 5 then the output should be: 1, 4, 5 The following instances are given to you (seperated with "\n ##### \n"): 

 ##### 
0. obsessive  [ID: 60655]
47. has all the sibling rivalry and general family chaos to which anyone can relate  [ID: 5358]
 ##### 
48. get an ugly , mean-spirited lashing out by an adult who 's apparently been forced by his kids to watch too many barney videos .  [ID: 28507]
 ##### 
49. suitable summer entertainment that offers escapism without requiring a great deal of thought  [ID: 9057]
 ##### 
50. very handsomely produced  [ID: 56191]
 ##### 
51. the characterizations and dialogue lack depth or complexity , with the ironic exception of scooter .  [ID: 61125]
 ##### 
52. appealing leads  [ID: 41222]
 ##### 
53. but mr. polanski creates images even more haunting than those in mr. spielberg 's 1993 classic .  [ID: 40790]
 ##### 
54. the film would have been more enjoyable had the balance shifted in favor of water-bound action over the land-based ` drama , ' but  [ID: 51818]
 ##### 
55. does n't care about cleverness , wit or any other kind of intelligent humor .  [ID: 33353]
 ##### 
56. are very expressive .  [ID: 7080]
 ##### 
57. bawdy  [ID: 42148]
 ##### 
58. has at last decisively broken with her friends image in an independent film of satiric fire and emotional turmoil .  [ID: 27255]
 ##### 
59. typical  [ID: 17423]
 ##### 
60. the art direction is often exquisite , and  [ID: 16558]
 ##### 
61. it 's not nearly as fresh or enjoyable as its predecessor , but  [ID: 48601]
 ##### 
62. is betrayed by the surprisingly shoddy makeup work  [ID: 45918]
 ##### 
63. few good ideas  [ID: 66140]
 ##### 
64. i realized that i just did n't care  [ID: 41540]
 ##### 
65. laugh-out-loud lines  [ID: 53376]
 ##### 
66. riveting set pieces  [ID: 17567]
 ##### 
67. a fascinating curiosity piece -- fascinating , that is , for about ten minutes .  [ID: 49449]
 ##### 
68. unfortunately , a cast of competent performers from movies , television and the theater are cast adrift in various new york city locations with no unifying rhythm or visual style .  [ID: 22421]
 ##### 
69. both maintain and dismantle the facades that his genre and his character construct is a wonderous accomplishment of veracity and narrative grace  [ID: 27729]
 ##### 
70. is throwing up his hands in surrender , is firing his r&d people , and has decided he will just screen the master of disguise 24/7  [ID: 56482]
 ##### 
71. shows its indie tatters and self-conscious seams in places ,  [ID: 2213]
 ##### 
72. astounding on any number of levels  [ID: 39145]
 ##### 
73. over-dramatic  [ID: 18661]
 ##### 
74. 's kinda dumb  [ID: 53869]
 ##### 
75. dramatize life 's messiness from inside out , in all its strange quirks  [ID: 1157]
 ##### 
76. family togetherness takes a back seat to inter-family rivalry and workplace ambition ... whole subplots have no explanation or even plot relevance  [ID: 19456]
 ##### 
77. than sucking you in ... and making you sweat  [ID: 39519]
 ##### 
78. deeply felt fantasy of a director 's travel through 300 years of russian history .  [ID: 65643]
 ##### 
79. almost every single facet of production  [ID: 15089]
 ##### 
80. with an unusual protagonist ( a kilt-wearing jackson ) and subject matter , the improbable `` formula 51 '' is somewhat entertaining , but  [ID: 53136]
 ##### 
81. brutally honest  [ID: 40040]
 ##### 
82. look so bad in a major movie  [ID: 34476]
 ##### 
83. cheapened the artistry of making a film  [ID: 27893]
 ##### 
84. of the most moronic screenplays of the year , full of holes that will be obvious even to those who are n't looking for them  [ID: 14326]
 ##### 
85. be called `` jar-jar binks : the movie  [ID: 36082]
 ##### 
86. living mug shots  [ID: 27841]
 ##### 
87. that a good video game movie is going to show up soon  [ID: 54526]
 ##### 
88. transforms one of ( shakespeare 's ) deepest tragedies into a smart new comedy .  [ID: 44121]
 ##### 
89. bargain-basement european pickup  [ID: 22214]
 ##### 
90. tear-drenched  [ID: 34547]
 ##### 
91. demonstrates that the director of such hollywood blockbusters as patriot games can still turn out a small , personal film with an emotional wallop  [ID: 54137]
 ##### 
92. face arrest 15 years after their crime  [ID: 64333]
 ##### 
93. , it 's awfully entertaining to watch .  [ID: 4552]
 ##### 
94. oft-brilliant safe conduct ( `` laissez-passer '' )  [ID: 7901]
 ##### 
95. niches  [ID: 15217]
 ##### 
96. the movie is so contrived , nonsensical and formulaic that , come to think of it , the day-old shelf would be a more appropriate location to store it .  [ID: 55546]
 ##### 
97. no big whoop , nothing new to see  [ID: 46335]
 ##### 
98. is a big letdown  [ID: 60257]
 ##### 
99. is instead a cheap cliché  [ID: 5075]
 ##### 
100. it 's a brazenly misguided project  [ID: 52652]
 ##### 
101. one of the funniest motion pictures of the year , but ... also one of the most curiously depressing .  [ID: 20526]
 ##### 
102. beautifully detailed performances by all of the actors  [ID: 47661]
 ##### 
103. a lot better  [ID: 35782]
 ##### 
104. are spectacular  [ID: 26268]
 ##### 
105. brings a youthful , out-to-change-the-world aggressiveness to the project ,  [ID: 66414]
 ##### 
106. the experience of staring at a blank screen  [ID: 47600]
 ##### 
107. warm water may well be the year 's best and most unpredictable comedy .  [ID: 10990]
 ##### 
108. an 8-year-old channeling roberto benigni  [ID: 62772]
 ##### 
109. to be said for a studio-produced film that never bothers to hand viewers a suitcase full of easy answers  [ID: 20596]
 ##### 
110. an insultingly inept and artificial examination of grief  [ID: 18258]
 ##### 
111. epic treatment of a nationwide blight that seems to be  [ID: 8088]
 ##### 
112. it 's as good as you remember .  [ID: 19615]
 ##### 
113. compelling yarn  [ID: 34691]
 ##### 
114. but fun  [ID: 27533]
 ##### 
115. 's virtually impossible to like any of these despicable characters  [ID: 56196]
 ##### 
116. a dud --  [ID: 39706]
 ##### 
117. just too bad the film 's story does not live up to its style  [ID: 56271]
 ##### 
118. the film 's ill-considered notion  [ID: 45066]
 ##### 
119. make a splash even greater  [ID: 51196]
 ##### 
120. reign of fire is hardly the most original fantasy film ever made -- beyond road warrior , it owes enormous debts to aliens and every previous dragon drama -- but that barely makes it any less entertaining  [ID: 7533]
 ##### 
121. minor-league  [ID: 35434]
 ##### 
122. romantic , riveting and handsomely  [ID: 21585]
 ##### 
123. unlikable , uninteresting ,  [ID: 57379]
 ##### 
124. , provocative  [ID: 53969]
 ##### 
125. make you feel that you never want to see another car chase , explosion or gunfight again  [ID: 66223]
 ##### 
126. than a movie , which normally is expected to have characters and a storyline  [ID: 44629]
 ##### 
127. be occupied for 72 minutes  [ID: 26620]
 ##### 
128. female population  [ID: 39777]
 ##### 
129. squirming in their seats  [ID: 63640]
 ##### 
130. for genre fans  [ID: 25596]
 ##### 
131. nothing left to work with , sort of like michael jackson 's nose  [ID: 2962]
 ##### 
132. drama , conflict ,  [ID: 6803]
 ##### 
133. it is very difficult to care about the character , and that is the central flaw of the film .  [ID: 18478]
 ##### 
134. , bloody and mean  [ID: 29729]
 ##### 
135. mr. nachtwey has traveled to places in the world devastated by war , famine and poverty and documented the cruelty and suffering he has found with an devastating , eloquent clarity .  [ID: 61095]
 ##### 
136. laborious whine , the bellyaching of a paranoid and unlikable man  [ID: 6150]
 ##### 
137. the urbane sweetness  [ID: 47326]
 ##### 
138. does n't have much to say beyond the news  [ID: 56184]
 ##### 
139. cho 's latest comic set is n't as sharp or as fresh as i 'm the one that i want ... but  [ID: 14470]
 ##### 
140. take place indoors in formal settings with motionless characters .  [ID: 28146]
 ##### 
141. it 's a road-trip drama with too many wrong turns .  [ID: 32383]
 ##### 
142. waste their time  [ID: 65573]
 ##### 
143. so sloppy , so uneven ,  [ID: 28270]
 ##### 
144. absolutely not .  [ID: 38082]
 ##### 
145. if good-hearted  [ID: 4339]
 ##### 
146. move away from his usual bumbling , tongue-tied screen persona  [ID: 38377]
 ##### 
147. `` bowling for columbine '' remains a disquieting and thought-provoking film ...  [ID: 26904]
 ##### 
148. the modern-day royals have nothing on these guys when it comes to scandals .  [ID: 24657]
 ##### 
149. inconsequential road-and-buddy pic .  [ID: 21133]
 ##### 
150. soul-stirring documentary  [ID: 2092]
 ##### 
151. if you like an extreme action-packed film with a hint of humor , then triple x marks the spot .  [ID: 35914]
 ##### 
152. miyazaki 's nonstop images are so stunning , and his imagination so vivid ,  [ID: 64616]
 ##### 
153. as delicately calibrated in tone  [ID: 47012]
 ##### 
154. to soothe and break your heart with a single stroke  [ID: 36213]
 ##### 
155. it 's just too bad the screenwriters eventually shoot themselves in the feet with cop flick cliches like an oily arms dealer , squad car pile-ups and the requisite screaming captain .  [ID: 7493]
 ##### 
156. like a cheap lawn chair  [ID: 18734]
 ##### 
157. about street gangs and turf wars in 1958 brooklyn -- stale cliches , gratuitous violence , or empty machismo  [ID: 16075]
 ##### 
158. to make it worth watching  [ID: 29857]
 ##### 
159. with daring and verve  [ID: 55640]
 ##### 
160. no means a slam-dunk and  [ID: 62161]
 ##### 
161. ( the kid 's ) just too bratty for sympathy ,  [ID: 8711]
 ##### 
162. not because of its epic scope , but because of the startling intimacy  [ID: 64677]
 ##### 
163. distant  [ID: 45151]
 ##### 
164. ( a ) mess  [ID: 30527]
 ##### 
165. interesting concept  [ID: 38505]
 ##### 
166. so compellingly with us is a minor miracle  [ID: 8717]
 ##### 
167. its considerable power  [ID: 22167]
 ##### 
168. , crossroads comes up shorter than britney 's cutoffs .  [ID: 21121]
 ##### 
169. millions of eager fans  [ID: 51184]
 ##### 
170. far more witty  [ID: 52686]
 ##### 
171. sick  [ID: 63969]
 ##### 
172. ought to pick up the durable best seller smart women , foolish choices for advice  [ID: 39697]
 ##### 
173. demented  [ID: 47392]
 ##### 
174. on a squirm-inducing fish-out-of-water formula that goes nowhere and goes there very , very slowly  [ID: 13854]
 ##### 
175. may be relieved that his latest feature , r xmas , marks a modest if encouraging return to form  [ID: 55915]
 ##### 
176. laughably , irredeemably awful .  [ID: 4376]
 ##### 
177. a `` snl '' has-been acting like an 8-year-old channeling roberto benigni  [ID: 64532]
 ##### 
178. is sentimental but feels free to offend , is analytical and then surrenders to the illogic of its characters  [ID: 57184]
 ##### 
179. bowel movements than this long-on-the-shelf , point-and-shoot exercise in gimmicky crime drama  [ID: 35216]
 ##### 
180. 's no point in extracting the bare bones of byatt 's plot for purposes of bland hollywood romance .  [ID: 50171]
 ##### 
181. single-minded as john carpenter 's original  [ID: 62725]
 ##### 
182. all the same problems the majority of action comedies have  [ID: 25540]
 ##### 
183. claude  [ID: 37859]
 ##### 
184. oh , look at that clever angle !  [ID: 38425]
 ##### 
185. appreciate  [ID: 45108]
 ##### 
186. able to give full performances  [ID: 9173]
 ##### 
187. agile performers  [ID: 27617]
 ##### 
188. a charm that 's conspicuously missing from the girls ' big-screen blowout  [ID: 3338]
 ##### 
189. that it 's hard to resist his pleas to spare wildlife and respect their environs  [ID: 40102]
 ##### 
190. , the film is a good one  [ID: 65885]
 ##### 
191. stunning new young talent  [ID: 21233]
 ##### 
192. animation master  [ID: 28792]
 ##### 
193. satisfyingly scarifying , fresh and old-fashioned at the same time  [ID: 45739]
 ##### 
194. it will do so in a way that does n't make you feel like a sucker  [ID: 30342]
 ##### 
195. actors in bad bear suits enact a sort of inter-species parody of a vh1 behind the music episode  [ID: 4154]
 ##### 
196. the amateurish  [ID: 32030]
 ##### 
197. getting torn away from the compelling historical tale to a less-compelling soap opera  [ID: 16599]
 ##### 
198. gets old  [ID: 49216]
 ##### 
199. improved  [ID: 29708]
 ##### 
200. the boobs are fantasti  [ID: 40647]
 ##### 
201. best spent elsewhere  [ID: 45150]
 ##### 
202. mostly repetitive  [ID: 36909]
 ##### 
203. even before it builds up to its insanely staged ballroom scene , in which 3000 actors appear in full regalia , it 's waltzed itself into the art film pantheon .  [ID: 17982]
 ##### 
204. biologically  [ID: 40589]
 ##### 
205. does not translate well to the screen  [ID: 41720]
 ##### 
206. claim to express warmth and longing  [ID: 20056]
 ##### 
207. swipe 90 minutes of your time  [ID: 13372]
 ##### 
208. engrossing portrait  [ID: 50523]
 ##### 
209. bolstered by exceptional performances and a clear-eyed take on the economics of dealing and the pathology of ghetto fabulousness  [ID: 23039]
 ##### 
210. to shout insults at the screen  [ID: 45101]
 ##### 
211. 's a day at the beach -- with air conditioning and popcorn  [ID: 24850]
 ##### 
212. on the promise of excitement  [ID: 56304]
 ##### 
213. to create a very compelling , sensitive , intelligent and almost cohesive piece of film entertainment  [ID: 55029]
 ##### 
214. are simply dazzling , particularly balk , who 's finally been given a part worthy of her considerable talents .  [ID: 52252]
 ##### 
215. , despite downplaying her good looks , carries a little too much ai n't - she-cute baggage into her lead role as a troubled and determined homicide cop to quite pull off the heavy stuff .  [ID: 6875]
 ##### 
216. chases for an hour and then  [ID: 10946]
 ##### 
217. , my mind kept returning to one anecdote for comparison : the cartoon in japan that gave people seizures .  [ID: 20422]
 ##### 
218. , it collapses like an overcooked soufflé .  [ID: 21322]
 ##### 
219. unflinching and objective look  [ID: 38117]
 ##### 
220. a rustic retreat and pee against a tree  [ID: 30336]
 ##### 
221. uplifting as only a document of the worst possibilities of mankind can be , and among the best films of the year .  [ID: 34011]
 ##### 
222. the right choice  [ID: 66728]
 ##### 
223. is that it goes nowhere  [ID: 4500]
 ##### 
224. a masterpiece -- and a challenging one  [ID: 53241]
 ##### 
225. every individual will see the movie through the prism of his or her own beliefs and prejudices , but the one thing most will take away is the sense that peace is possible .  [ID: 21374]
 ##### 
226. comical  [ID: 14034]
 ##### 
227. too sappy  [ID: 50704]
 ##### 
228. run through its otherwise comic narrative .  [ID: 2829]
 ##### 
229. weighs no more than a glass of flat champagne .  [ID: 49911]
 ##### 
230. really , really stupid  [ID: 2816]
 ##### 
231. while the story goes nowhere  [ID: 58496]
 ##### 
232. sadistic bike flick  [ID: 63734]
 ##### 
233. it also treats the subject with fondness and respect  [ID: 35959]
 ##### 
234. given this movie a rating of zero  [ID: 35581]
 ##### 
235. had no trouble sitting for blade ii .  [ID: 25900]
 ##### 
236. recommend this film  [ID: 39272]
 ##### 
237. arguably the best script that besson has written in years .  [ID: 1837]
 ##### 
238. keenly observed and refreshingly natural , swimming gets the details right , from its promenade of barely clad bodies in myrtle beach , s.c. , to the adrenaline jolt of a sudden lunch rush at the diner .  [ID: 27689]
 ##### 
239. whiny , pathetic , starving and untalented artistes  [ID: 56332]
 ##### 
240. with grace and humor and gradually  [ID: 62142]
 ##### 
241. amazing finesse  [ID: 10024]
 ##### 
242. it 's not entirely memorable  [ID: 42451]
 ##### 
243. as bad at it is cruel  [ID: 9411]
 ##### 
244. dramatize life 's messiness  [ID: 56424]
 ##### 
245. a smile on your face  [ID: 22]
 ##### 
246. it 's great cinematic polemic  [ID: 61888]
 ##### 
247. wonderfully vulgar  [ID: 52796]
 ##### 
248. captures the raw comic energy of one  [ID: 47123]
 ##### 
249. a wild ride  [ID: 11011]
 ##### 
250. true to his principles  [ID: 5723]
 ##### 
251. a classic theater piece  [ID: 25464]
 ##### 
252. an above-average thriller  [ID: 47951]
 ##### 
253. suffers from a simplistic narrative and a pat , fairy-tale conclusion  [ID: 19690]
 ##### 
254. fifth beer-soaked film  [ID: 5748]
 ##### 
255. a seriocomic debut of extravagant promise by georgian-israeli director dover kosashvili .  [ID: 60504]
 ##### 
256. one of the best , most  [ID: 17466]
 ##### 
257. the hard-to-predict and absolutely essential chemistry  [ID: 22431]
 ##### 
258. a film with contemporary political resonance illustrated by a winning family story .  [ID: 51829]
 ##### 
259. care about its protagonist and celebrate his victories  [ID: 7788]
 ##### 
260. a superfluous sequel ... plagued by that old familiar feeling of ` let 's get this thing over with '  [ID: 8863]
 ##### 
261. i thoroughly enjoyed the love story  [ID: 16652]
 ##### 
262. our reality tv obsession , and even  [ID: 52964]
 ##### 
263. transcendent performance  [ID: 14261]
 ##### 
264. leaves little doubt that kidman has become one of our best actors .  [ID: 20263]
 ##### 
265. collapses  [ID: 67185]
 ##### 
266. herzog simply runs out of ideas  [ID: 28360]
 ##### 
267. can get past the taboo subject matter  [ID: 5757]
 ##### 
268. the unique way shainberg  [ID: 17863]
 ##### 
269. its script and execution  [ID: 52134]
 ##### 
270. a subtlety that makes the silly , over-the-top coda especially disappointing  [ID: 21327]
 ##### 
271. degenerates into hogwash .  [ID: 28768]
 ##### 
272. a knack for casting , often resurrecting performers who rarely work in movies now ... and drawing flavorful performances from bland actors  [ID: 61541]
 ##### 
273. mediocre movie  [ID: 22441]
 ##### 
274. about this traditional thriller , moderately successful but not completely satisfying , is exactly how genteel and unsurprising the execution turns out to be .  [ID: 37991]
 ##### 
275. an ambitious movie  [ID: 22574]
 ##### 
276. you 've got to admire ... the intensity with which he 's willing to express his convictions  [ID: 30312]
 ##### 
277. 's nowhere near  [ID: 12993]
 ##### 
278. gut-wrenching , frightening war scenes since `` saving private ryan ''  [ID: 10698]
 ##### 
279. is moody , oozing , chilling and heart-warming all at once ... a twisting , unpredictable , cat-and-mouse thriller  [ID: 27045]
 ##### 
280. gratuitous cinematic distractions  [ID: 19526]
 ##### 
281. fresh point  [ID: 27861]
 ##### 
282. cracked lunacy  [ID: 20922]
 ##### 
283. tanks .  [ID: 60551]
 ##### 
284. of saucy  [ID: 7]
 ##### 
285. delights  [ID: 18255]
 ##### 
286. the verdict : two bodies and hardly a laugh between them  [ID: 31558]
 ##### 
287. seems like something american and european gay movies were doing 20 years ago .  [ID: 28651]
 ##### 
288. humorless , self-conscious art drivel ,  [ID: 45854]
 ##### 
289. makes her nomination as best actress even more of a an a  [ID: 64732]
 ##### 
290. stupid americans will get a kick out of goofy brits with cute accents performing ages-old slapstick and unfunny tricks  [ID: 2737]
 ##### 
291. , mostly martha will leave you with a smile on your face and a grumble in your stomach .  [ID: 10848]
 ##### 
292. so insatiable it absorbs all manner of lame entertainment ,  [ID: 61663]
 ##### 
293. big stars and high production values  [ID: 34004]
 ##### 
294. of the rarest kinds of films  [ID: 55161]
 ##### 
295. makes you feel genuinely good  [ID: 52040]
 ##### 
296. approaches his difficult , endless work with remarkable serenity and discipline .  [ID: 5841]
 ##### 
297. in the rush of slapstick thoroughfare  [ID: 17255]
 ##### 
298. by an energy that puts the dutiful efforts of more disciplined grade-grubbers  [ID: 39324]
 ##### 
299. adds enough quirky and satirical touches  [ID: 54311]
 ##### 
300. we 're drawn in by the dark luster .  [ID: 12952]
 ##### 
301. bears out as your typical junkie opera  [ID: 34666]
 ##### 
302. ( the cockettes ) provides a window into a subculture hell-bent on expressing itself in every way imaginable . '  [ID: 9730]
 ##### 
303. rich , shadowy black-and-white  [ID: 4575]
 ##### 
304. all-night  [ID: 15129]
 ##### 
305. would have saved this film a world of hurt .  [ID: 55182]
 ##### 
306. played game of absurd plot twists , idiotic court maneuvers and stupid characters that even freeman ca n't save it .  [ID: 1744]
 ##### 
307. enough said , except : film overboard !  [ID: 59061]
 ##### 
308. deemed important enough to make a film in which someone has to be hired to portray richard dawson  [ID: 1165]
 ##### 
309. to its great credit  [ID: 31061]
 ##### 
310. the komediant is a tale worth catching .  [ID: 56837]
 ##### 
311. 's a bargain-basement european pickup  [ID: 18140]
 ##### 
312. is n't much fun .  [ID: 53733]
 ##### 
313. pleasurable  [ID: 39223]
 ##### 
314. the story relevant in the first place  [ID: 57288]
 ##### 
315. no lika da accents so good  [ID: 35730]
 ##### 
316. drama , romance , tragedy , bravery , political intrigue , partisans and sabotage  [ID: 18329]
 ##### 
317. strange occurrences build in the mind of the viewer and take on extreme urgency .  [ID: 14887]
 ##### 
318. young romantics  [ID: 63484]
 ##### 
319. 're wearing the somewhat cumbersome 3d goggles  [ID: 26558]
 ##### 
320. never really busts out of its comfy little cell  [ID: 1961]
 ##### 
321. beautifully sung holiday carol  [ID: 4881]
 ##### 
322. a graceful , moving tribute  [ID: 67111]
 ##### 
323. of a frustrating misfire  [ID: 41867]
 ##### 
324. eclipses  [ID: 52414]
 ##### 
325. 's something there  [ID: 26700]
 ##### 
326. full , irritating display  [ID: 65665]
 ##### 
327. disgusting .  [ID: 60206]
 ##### 
328. it even uses a totally unnecessary prologue , just because it seems obligatory  [ID: 56396]
 ##### 
329. the french-produced `` read my lips '' is a movie that understands characters must come first .  [ID: 40888]
 ##### 
330. draws you  [ID: 16699]
 ##### 
331. savagely  [ID: 22505]
 ##### 
332. show this movie to reviewers before its opening , afraid of the bad reviews they thought they 'd earn  [ID: 40183]
 ##### 
333. this is an ungainly movie , ill-fitting , with its elbows sticking out where the knees should be .  [ID: 36452]
 ##### 
334. with a bouncy score  [ID: 45105]
 ##### 
335. moodiness  [ID: 45253]
 ##### 
336. have that kind of impact on me these days  [ID: 21151]
 ##### 
337. weighty and ponderous but every bit as filling as the treat of the title .  [ID: 16417]
 ##### 
338. self-inflicted retaliation  [ID: 28529]
 ##### 
339. that anyone in his right mind would want to see the it  [ID: 38369]
 ##### 
340. wild  [ID: 61472]
 ##### 
341. from stark desert  [ID: 33999]
 ##### 
342. , roiling black-and-white inspires trembling and gratitude .  [ID: 45412]
 ##### 
343. recommended as an engrossing story about a horrifying historical event and the elements which contributed to it .  [ID: 16408]
 ##### 
344. understanding a unique culture that is presented with universal appeal  [ID: 53950]
 ##### 
345. whose legacy had begun to bronze  [ID: 7206]
 ##### 
346. admire this film for its harsh objectivity and refusal to seek our tears , our sympathies  [ID: 56923]
 ##### 
347. a coming-of-age story and cautionary parable , but also a perfectly rendered period piece  [ID: 55420]
 ##### 
348. before swooping down on a string of exotic locales , scooping the whole world up in a joyous communal festival of rhythm  [ID: 60826]
 ##### 
349. victim to sloppy plotting  [ID: 15093]
 ##### 
350. that has bucked the odds to emerge as an exquisite motion picture in its own right  [ID: 58509]
 ##### 
351. where the only belly laughs come from the selection of outtakes tacked onto the end credits  [ID: 29051]
 ##### 
352. the best thing about the movie is its personable , amusing cast .  [ID: 26887]
 ##### 
353. strange and beautiful film .  [ID: 3242]
 ##### 
354. a stand in favor of tradition and warmth  [ID: 15203]
 ##### 
355. leigh is one of the rare directors who feels acting is the heart and soul of cinema .  [ID: 64184]
 ##### 
356. 're going to subjugate truth to the tear-jerking demands of soap opera  [ID: 36373]
 ##### 
357. a low-budget affair , tadpole was shot on digital video , and the images often look smeary and blurry , to the point of distraction  [ID: 48323]
 ##### 
358. neglects to add the magic that made it all work  [ID: 65541]
 ##### 
359. keeps coming back to the achingly unfunny phonce and his several silly subplots .  [ID: 26359]
 ##### 
360. whether you think kissinger was a calculating fiend or just a slippery self-promoter  [ID: 51409]
 ##### 
361. makes this film special  [ID: 33796]
 ##### 
362. plays like the old disease-of-the-week small-screen melodramas .  [ID: 56882]
 ##### 
363. - hour , dissipated length .  [ID: 56962]
 ##### 
364. each story is built on a potentially interesting idea , but the first two are ruined by amateurish writing and acting , while the third feels limited by its short running time  [ID: 28961]
 ##### 
365. takes a really long , slow and dreary time  [ID: 785]
 ##### 
366. form a remarkably cohesive whole , both visually and thematically , through their consistently sensitive and often exciting treatment of an ignored people .  [ID: 40641]
 ##### 
367. falls to the floor with a sickening thud  [ID: 3469]
 ##### 
368. the audience award for documentaries at the sundance film festival  [ID: 41667]
 ##### 
369. are in place for a great film noir  [ID: 14873]
 ##### 
370. proficient , dull sorvino  [ID: 58464]
 ##### 
371. the bad sound ,  [ID: 22084]
 ##### 
372. wanted to leave  [ID: 10177]
 ##### 
373. exploit the familiar  [ID: 57608]
 ##### 
374. to duck the very issues it raises  [ID: 41378]
 ##### 
375. , whimsical feature  [ID: 24701]
 ##### 
376. a dysfunctional parent-child relationship  [ID: 64682]
 ##### 
377. , colin hanks is in bad need of major acting lessons and maybe a little coffee .  [ID: 51056]
 ##### 
378. to both people 's capacity for evil and their heroic capacity for good  [ID: 53153]
 ##### 
379. takes a walking-dead , cop-flick subgenre and beats new life into it  [ID: 52145]
 ##### 
380. is worth your time , especially  [ID: 43760]
 ##### 
381. this is lightweight filmmaking , to be sure  [ID: 55679]
 ##### 
382. for those in search of something different , wendigo is a genuinely bone-chilling tale .  [ID: 34832]
 ##### 
383. bit of piffle .  [ID: 6992]
 ##### 
384. to be moved by this drama  [ID: 55145]
 ##### 
385. passionate , tumultuous affair  [ID: 844]
 ##### 
386. ... stale and uninspired .  [ID: 37838]
 ##### 
387. to big box office bucks all but guaranteed  [ID: 43626]
 ##### 
388. most irresponsible  [ID: 17010]
