Consider yourself in the position of an active learning component to help a human annotator. You have to choose the instances that the annotator has to label. You are given a set of instances of a dataset. You can only choose 32 instances. Please think step by step about what you would do to select the instances to label. After this provide the list of instances that you would label, separated by a comma. For example, if you would label the instances 1, 4, 5 then the output should be: 1, 4, 5 The following instances are given to you (seperated with "\n ##### \n"): 

 ##### 
0. robust  [ID: 60608]
126. still to believe that anyone in his right mind would want to see the it  [ID: 25019]
 ##### 
127. to emerge from the traffic jam of holiday movies  [ID: 8749]
 ##### 
128. i 'm not sure which is worse : the poor acting by the ensemble cast , the flat dialogue by vincent r. nebrida or the gutless direction by laurice guillen .  [ID: 29612]
 ##### 
129. find an escape clause  [ID: 22515]
 ##### 
130. brooding and slow  [ID: 32863]
 ##### 
131. , unimaginative  [ID: 35185]
 ##### 
132. crisp and purposeful without overdoing it  [ID: 50612]
 ##### 
133. follows its standard formula in this animated adventure  [ID: 18106]
 ##### 
134. family togetherness  [ID: 62141]
 ##### 
135. intellectual lector in contemplation of the auteur 's professional injuries  [ID: 61938]
 ##### 
136. for a film -- rowdy , brawny and lyrical in the best irish sense  [ID: 64733]
 ##### 
137. been there , done that ... a thousand times already , and better  [ID: 48527]
 ##### 
138. it 's rare to find a film to which the adjective ` gentle ' applies , but the word perfectly describes pauline & paulette .  [ID: 16944]
 ##### 
139. alternately hilarious and sad , aggravating and soulful , scathing and joyous .  [ID: 40872]
 ##### 
140. make a pretty good team  [ID: 883]
 ##### 
141. is a gorgeous and deceptively minimalist cinematic tone poem  [ID: 21597]
 ##### 
142. absurd plot twists , idiotic court maneuvers and stupid characters  [ID: 55047]
 ##### 
143. fresh view  [ID: 63709]
 ##### 
144. escape the heart of the boy when the right movie comes along , especially if it begins with the name of star wars  [ID: 62019]
 ##### 
145. it 's something of the ultimate scorsese film , with all the stomach-turning violence , colorful new york gang lore and other hallmarks of his personal cinema painted on their largest-ever historical canvas .  [ID: 12432]
 ##### 
146. secondhand ,  [ID: 57232]
 ##### 
147. dark , intelligent warning cry  [ID: 43470]
 ##### 
148. need a stronger stomach than us  [ID: 9641]
 ##### 
149. these characters are so well established that the gang feels comfortable with taking insane liberties and doing the goofiest stuff out of left field  [ID: 48468]
 ##### 
150. is intriguing but quickly becomes distasteful and downright creepy .  [ID: 17149]
 ##### 
151. simple pleasures usurp the preaching message so that , by the time the credits roll across the pat ending , a warm , fuzzy feeling prevails  [ID: 48869]
 ##### 
152. is handsome  [ID: 32068]
 ##### 
153. a touching drama about old age and grief with a tour de  [ID: 44680]
 ##### 
154. that not only would subtlety be lost on the target audience ,  [ID: 4104]
 ##### 
155. particularly joyless , and  [ID: 5737]
 ##### 
156. delight your senses and crash this wedding !  [ID: 46204]
 ##### 
157. sexual relationship  [ID: 36829]
 ##### 
158. wannabe film  [ID: 65723]
 ##### 
159. ` comedy ' scenes  [ID: 43786]
 ##### 
160. predict there will be plenty of female audience members drooling over michael idemoto as michael  [ID: 19340]
 ##### 
161. are kinetic enough to engross even the most antsy youngsters  [ID: 26718]
 ##### 
162. powerful look  [ID: 54975]
 ##### 
163. so aggressively anti-erotic  [ID: 55012]
 ##### 
164. spectacle and pacing  [ID: 10551]
 ##### 
165. is flawed  [ID: 7646]
 ##### 
166. after decades  [ID: 27767]
 ##### 
167. armageddon  [ID: 39188]
 ##### 
168. change watching such a character , especially when rendered in as flat and impassive a manner as phoenix 's  [ID: 30975]
 ##### 
169. between being wickedly funny and just plain wicked  [ID: 10328]
 ##### 
170. hard-driving  [ID: 28738]
 ##### 
171. gentle , endearing 1975 children 's novel  [ID: 41656]
 ##### 
172. historically significant work  [ID: 4313]
 ##### 
173. of the film 's shooting schedule waiting to scream  [ID: 53891]
 ##### 
174. the worst elements of all of them  [ID: 26946]
 ##### 
175. brisk hack  [ID: 52545]
 ##### 
176. more enjoyable than its predecessor .  [ID: 46491]
 ##### 
177. no lika da  [ID: 151]
 ##### 
178. an act of spiritual faith -- an eloquent , deeply felt meditation on the nature of compassion  [ID: 12759]
 ##### 
179. but it 's worth the concentration .  [ID: 50017]
 ##### 
180. is a film -- full of life and small delights -- that has all the wiggling energy of young kitten .  [ID: 33732]
 ##### 
181. contains the humor , characterization , poignancy , and intelligence of a bad sitcom .  [ID: 58185]
 ##### 
182. acting like puppets  [ID: 64943]
 ##### 
183. like a well-made pb & j sandwich  [ID: 25293]
 ##### 
184. wears thin  [ID: 57365]
 ##### 
185. seeks to transcend its genre with a curiously stylized , quasi-shakespearean portrait of pure misogynist evil .  [ID: 20142]
 ##### 
186. have to admit that i am baffled by jason x.  [ID: 34344]
 ##### 
187. want to crawl up your own *** in embarrassment  [ID: 66957]
 ##### 
188. exposé , the film ( at 80 minutes ) is actually quite entertaining .  [ID: 32344]
 ##### 
189. endearing and well-lensed  [ID: 64976]
 ##### 
190. wildcard  [ID: 47785]
 ##### 
191. is one big excuse to play one lewd scene after another  [ID: 65218]
 ##### 
192. in any way demeaning its subjects  [ID: 7015]
 ##### 
193. two guys who desperately want to be quentin tarantino when they grow up  [ID: 270]
 ##### 
194. broomfield reminds us that beneath the hype , the celebrity , the high life , the conspiracies and the mystery there were once a couple of bright young men -- promising , talented , charismatic and tragically doomed .  [ID: 9877]
 ##### 
195. is so convinced of its own brilliance that , if it were a person , you 'd want to smash its face in . '  [ID: 30201]
 ##### 
196. wretched  [ID: 64457]
 ##### 
197. there is a mediocre movie trying to get out .  [ID: 44203]
 ##### 
198. incredibly captivating and insanely funny  [ID: 4918]
 ##### 
199. be the year 's best and most unpredictable comedy  [ID: 24912]
 ##### 
200. can not disguise the slack complacency of ( godard 's ) vision , any more than the gorgeous piano and strings on the soundtrack can drown out the tinny self-righteousness of his voice  [ID: 44978]
 ##### 
201. map thematically and stylistically , and  [ID: 58699]
 ##### 
202. a riveting profile of law enforcement , and a visceral , nasty journey  [ID: 16940]
 ##### 
203. get out  [ID: 59136]
 ##### 
204. oddly fascinating  [ID: 60099]
 ##### 
205. a baffling subplot involving smuggling drugs inside danish cows falls flat , and  [ID: 14202]
 ##### 
206. , i 'd recommend waiting for dvd and just skipping straight to her scenes .  [ID: 31798]
 ##### 
207. story to suit the sensibilities of a young american , a decision that plucks `` the four feathers ''  [ID: 31427]
 ##### 
208. is a pretty good job ,  [ID: 44848]
 ##### 
209. to guilt-trip parents  [ID: 36494]
 ##### 
210. poking their genitals into fruit pies  [ID: 25753]
 ##### 
211. suspect that you 'll be as bored watching morvern callar as the characters are in it .  [ID: 696]
 ##### 
212. that 's been given the drive of a narrative and  [ID: 51436]
 ##### 
213. by the sick sense of humor  [ID: 67031]
 ##### 
214. successfully recreates both the physical setting and emotional tensions of the papin sisters  [ID: 8993]
 ##### 
215. sillier , cuter ,  [ID: 62218]
 ##### 
216. a sad , soggy potboiler  [ID: 20391]
 ##### 
217. his self-inflicted retaliation  [ID: 36997]
 ##### 
218. 're - doing-it-for - the-cash  [ID: 34058]
 ##### 
219. it 's the perfect cure for insomnia .  [ID: 16719]
 ##### 
220. what ensues are much blood-splattering , mass drug-induced bowel evacuations , and none-too-funny commentary on the cultural distinctions between americans and brits .  [ID: 16628]
 ##### 
221. swept away by the sheer beauty of his images  [ID: 40755]
 ##### 
222. a miraculous movie  [ID: 30497]
 ##### 
223. this movie has the usual impossible stunts ... but it has just as many scenes that are lean and tough enough to fit in any modern action movie  [ID: 37931]
 ##### 
224. out of reach  [ID: 52503]
 ##### 
225. crossing-over  [ID: 33001]
 ##### 
226. lasker 's canny , meditative script distances sex and love , as byron and luther  [ID: 43725]
 ##### 
227. by a gritty style and an excellent cast  [ID: 25047]
 ##### 
228. what a reckless  [ID: 23570]
 ##### 
229. bright on this frozen tundra soap opera that breathes extraordinary life into the private existence of the inuit people  [ID: 24989]
 ##### 
230. a sour attempt  [ID: 46900]
 ##### 
231. giving the movie a mournful undercurrent that places the good-time shenanigans in welcome perspective  [ID: 22047]
 ##### 
232. a cinematic fluidity and sense of intelligence  [ID: 21548]
 ##### 
233. a look  [ID: 45674]
 ##### 
234. that made the original men in black such a pleasure  [ID: 38527]
 ##### 
235. it were any more of a turkey  [ID: 55979]
 ##### 
236. sinuously plotted  [ID: 65313]
 ##### 
237. wears out  [ID: 8617]
 ##### 
238. a lovely , eerie film  [ID: 39727]
 ##### 
239. a comic fan  [ID: 51141]
 ##### 
240. fascinating , ludicrous , provocative and vainglorious  [ID: 6481]
 ##### 
241. , prepackaged julia roberts wannabe  [ID: 63964]
 ##### 
242. it 's not nearly as fresh or enjoyable as its predecessor ,  [ID: 23874]
 ##### 
243. influential  [ID: 21200]
 ##### 
244. a very entertaining , thought-provoking film with a simple message  [ID: 35989]
 ##### 
245. tavernier is more concerned with the entire period of history  [ID: 61613]
 ##### 
246. about the best thing you could say about narc  [ID: 64160]
 ##### 
247. open yourself up to mr. reggio 's theory of this imagery as the movie 's set  [ID: 3229]
 ##### 
248. find little new  [ID: 65201]
 ##### 
249. the acting is fine but  [ID: 52845]
 ##### 
250. , it offers much to absorb and even more to think about after the final frame .  [ID: 3706]
 ##### 
251. cross swords with the best of them and helm a more traditionally plotted popcorn thriller while surrendering little of his intellectual rigor or creative composure  [ID: 4695]
 ##### 
252. birot 's  [ID: 10413]
 ##### 
253. ( rises ) above its oh-so-hollywood rejiggering and its conventional direction to give the film a soul and an unabashed sense of good old-fashioned escapism .  [ID: 62812]
 ##### 
254. contrived sequels  [ID: 50476]
 ##### 
255. , barbershop is tuned in to its community .  [ID: 3126]
 ##### 
256. emotionally strong and  [ID: 14256]
 ##### 
257. , vapid and devoid  [ID: 67186]
 ##### 
258. shows how deeply felt emotions can draw people together across the walls that might otherwise separate them .  [ID: 13913]
 ##### 
259. the sensational true-crime hell-jaunt purists might like and more experimental in its storytelling  [ID: 35879]
 ##### 
260. by taking your expectations and twisting them just a bit  [ID: 8291]
 ##### 
261. dark to be decipherable  [ID: 3725]
 ##### 
262. a fairly weak retooling  [ID: 18007]
 ##### 
263. as delicately calibrated in tone  [ID: 47012]
 ##### 
264. how funny they could have been in a more ambitious movie  [ID: 17868]
 ##### 
265. exciting  [ID: 17545]
 ##### 
266. a dream  [ID: 26799]
 ##### 
267. pulled from a tear-stained vintage shirley temple script  [ID: 61342]
 ##### 
268. bad seeds  [ID: 28976]
 ##### 
269. hoping for a stiff wind  [ID: 38880]
 ##### 
270. sympathetic without being gullible  [ID: 39173]
 ##### 
271. a fast paced and suspenseful argentinian thriller about the shadow side of play .  [ID: 29706]
 ##### 
272. will probably find it familiar and insufficiently cathartic  [ID: 59117]
 ##### 
273. into this somewhat tired premise  [ID: 59526]
 ##### 
274. the characters are complex and quirky , but entirely believable as the remarkable ensemble cast brings them to life .  [ID: 20935]
 ##### 
275. cutesy romantic tale  [ID: 5118]
 ##### 
276. the intelligence level of the characters must be low , very low , very very low , for the masquerade to work  [ID: 42728]
 ##### 
277. , eventually the content is n't nearly as captivating as the rowdy participants think it is .  [ID: 56866]
 ##### 
278. well-mounted  [ID: 20933]
 ##### 
279. lower i.q.  [ID: 52748]
 ##### 
280. seems altogether too slight to be called any kind of masterpiece  [ID: 40110]
 ##### 
281. come away with a sense of his reserved but existential poignancy  [ID: 28100]
 ##### 
282. trying figure out whether or not some cocky pseudo-intellectual kid has intentionally left college or was killed  [ID: 66371]
 ##### 
283. of a summer-camp talent show : hastily written  [ID: 28654]
 ##### 
284. of watching sad but endearing characters do extremely unconventional things  [ID: 6649]
 ##### 
285. seventy-minute running time  [ID: 11903]
 ##### 
286. `` ( hopkins ) does n't so much phone in his performance as fax it .  [ID: 20854]
 ##### 
287. successfully blended satire ,  [ID: 10549]
 ##### 
288. pretentious ,  [ID: 18942]
 ##### 
289. well done  [ID: 63641]
 ##### 
290. no .  [ID: 38493]
 ##### 
291. assured , vital and well wrought  [ID: 21936]
 ##### 
292. go back to sleep .  [ID: 13994]
 ##### 
293. sickeningly savage  [ID: 8150]
 ##### 
294. genteel and unsurprising the execution  [ID: 5478]
 ##### 
295. the long list of renegade-cop tales  [ID: 51002]
 ##### 
296. hard to imagine any recent film , independent or otherwise , that makes as much of a mess as this one  [ID: 26857]
 ##### 
297. is the best ` old neighborhood ' project since christopher walken kinda romanced cyndi lauper in the opportunists  [ID: 52841]
 ##### 
298. mr. wollter and ms. seldhal give strong and convincing performances , but  [ID: 30561]
 ##### 
299. queen of the damned as you might have guessed , makes sorry use of aaliyah in her one and only starring role -- she does little here but point at things that explode into flame  [ID: 29517]
 ##### 
300. the very best of them  [ID: 66996]
 ##### 
301. ... keep the movie from ever reaching the comic heights it obviously desired .  [ID: 45138]
 ##### 
302. fresh good looks and  [ID: 44496]
 ##### 
303. feature-length  [ID: 5944]
 ##### 
304. up as tedious as the chatter of parrots raised on oprah  [ID: 15484]
 ##### 
305. for the most part he makes sure the salton sea works the way a good noir should , keeping it tight and nasty  [ID: 2878]
 ##### 
306. costner 's warm-milk persona is just as ill-fitting as shadyac 's perfunctory directing chops , and some of the more overtly silly dialogue would sink laurence olivier  [ID: 65419]
 ##### 
307. the graphic carnage and re-creation of war-torn croatia is uncomfortably timely , relevant , and sickeningly real .  [ID: 14669]
 ##### 
308. preposterous  [ID: 65757]
 ##### 
309. it looks like woo 's a p.o.w.  [ID: 6415]
 ##### 
310. was more diverting and thought-provoking than i 'd expected it to be .  [ID: 45124]
 ##### 
311. the only problem  [ID: 32700]
 ##### 
312. kinnear ... gives his best screen performance with an oddly winning portrayal of one of life 's ultimate losers .  [ID: 51388]
 ##### 
313. script error  [ID: 59547]
 ##### 
314. are acting horribly  [ID: 22950]
 ##### 
315. it 's simply stupid , irrelevant and deeply , truly , bottomlessly cynical .  [ID: 47211]
 ##### 
316. bother to rent this on video  [ID: 65807]
 ##### 
317. creativity  [ID: 47408]
 ##### 
318. rice never clearly defines his characters or gives us a reason to care about them .  [ID: 66099]
 ##### 
319. a dentist drill  [ID: 40044]
 ##### 
320. this movie just goes on and on and on and on  [ID: 31668]
 ##### 
321. down over 140 minutes  [ID: 23799]
 ##### 
322. the sum of all fears pretends to be a serious exploration of nuclear terrorism , but it 's really nothing more than warmed-over cold war paranoia .  [ID: 20591]
 ##### 
323. is banal in its message and the choice of material to convey it  [ID: 58564]
 ##### 
324. tepid and choppy recycling  [ID: 25107]
 ##### 
325. banal and predictable .  [ID: 45569]
 ##### 
326. a vampire soap opera that does n't make much  [ID: 16441]
 ##### 
327. be clever , amusing and unpredictable  [ID: 19809]
 ##### 
328. , almost every relationship and personality in the film yields surprises .  [ID: 52822]
 ##### 
329. mind-numbing indifference  [ID: 5035]
 ##### 
330. escapes the precious trappings of most romantic comedies , infusing into the story very real , complicated emotions .  [ID: 12334]
 ##### 
331. the script is about as interesting as a recording of conversations at the wal-mart checkout line  [ID: 52132]
 ##### 
332. introspective and entertaining  [ID: 16029]
 ##### 
333. willing to let the earnestness of its execution and skill of its cast take you down a familiar road with a few twists  [ID: 38099]
 ##### 
334. this painfully unfunny farce traffics in tired stereotypes and encumbers itself with complications  [ID: 37801]
 ##### 
335. well-conceived  [ID: 50452]
 ##### 
336. keep you interested without coming close to bowling you over  [ID: 66571]
 ##### 
337. the movie is loaded with good intentions  [ID: 2421]
 ##### 
338. actually thrilled  [ID: 52263]
 ##### 
339. an uplifting , near-masterpiece  [ID: 63360]
 ##### 
340. a sour taste in one 's mouth ,  [ID: 22450]
 ##### 
341. script is n't up to the level of the direction  [ID: 12724]
 ##### 
342. his sentimental journey of the heart  [ID: 7520]
 ##### 
343. ca n't help but get caught up in the thrill of the company 's astonishing growth  [ID: 38116]
 ##### 
344. a pretty good overall picture  [ID: 26682]
 ##### 
345. feels as if the movie is more interested in entertaining itself than in amusing us .  [ID: 12431]
 ##### 
346. most entertaining moments  [ID: 4122]
 ##### 
347. `` sorority boys '' was funnier  [ID: 55446]
 ##### 
348. fantastic  [ID: 44565]
 ##### 
349. rent those movies instead ,  [ID: 49300]
 ##### 
350. we get a stab at soccer hooliganism , a double-barreled rip-off of quentin tarantino 's climactic shootout -- and meat loaf explodes .  [ID: 21588]
 ##### 
351. notorious reputation  [ID: 26861]
 ##### 
352. ( a ) devastatingly powerful and astonishingly vivid holocaust drama .  [ID: 65545]
 ##### 
353. exhilarating new  [ID: 40392]
 ##### 
354. fixating on its body humor and reinforcement of stereotypes  [ID: 59247]
 ##### 
355. smart , savvy , compelling  [ID: 56397]
 ##### 
356. hopeless  [ID: 117]
 ##### 
357. failing , ultimately , to make something bigger out of its scrapbook of oddballs  [ID: 24806]
 ##### 
358. appreciates the art and reveals a music scene that transcends culture and race .  [ID: 16461]
 ##### 
359. enthralling aesthetic experience  [ID: 22368]
 ##### 
360. on losers in a gone-to-seed hotel  [ID: 60095]
 ##### 
361. who is in complete denial about his obsessive behavior  [ID: 61242]
 ##### 
362. dusty  [ID: 39782]
 ##### 
363. a tremendous , offbeat sense  [ID: 60636]
 ##### 
364. bad idea  [ID: 27365]
 ##### 
365. a deeply unpleasant experience  [ID: 16921]
 ##### 
366. overwrought  [ID: 7370]
 ##### 
367. writing , skewed characters ,  [ID: 2273]
 ##### 
368. falls into the trap of pretention almost every time  [ID: 8185]
 ##### 
369. pray does n't have a passion for the material .  [ID: 35157]
 ##### 
370. in favor  [ID: 43566]
 ##### 
371. 's really little more than a particularly slanted , gay s/m fantasy , enervating and deadeningly drawn-out .  [ID: 10223]
 ##### 
372. has something interesting to say  [ID: 32590]
 ##### 
373. meager weight  [ID: 24778]
 ##### 
374. i have ever seen , constantly pulling the rug from underneath us , seeing things from new sides , plunging deeper , getting more intense .  [ID: 779]
 ##### 
375. dishonest and pat  [ID: 36374]
 ##### 
376. when it is n't merely offensive  [ID: 7071]
 ##### 
377. of the finest  [ID: 58090]
 ##### 
378. flamboyant  [ID: 37627]
 ##### 
379. bolstered by exceptional performances and a clear-eyed take on the economics of dealing and the pathology of ghetto fabulousness .  [ID: 40957]
 ##### 
380. vulgar is too optimistic a title .  [ID: 38253]
 ##### 
381. that goes a long way toward keeping the picture compelling  [ID: 11428]
 ##### 
382. impish  [ID: 27143]
 ##### 
383. a bilingual charmer , just like the woman who inspired it  [ID: 18062]
 ##### 
384. makes the grade as tawdry trash .  [ID: 4446]
 ##### 
385. worked so much better dealing in only one reality  [ID: 54648]
 ##### 
386. , by the time the credits roll across the pat ending , a warm , fuzzy feeling prevails  [ID: 24184]
 ##### 
387. content merely to lionize its title character and exploit his anger -  [ID: 33023]
 ##### 
388. pity anyone who sees this  [ID: 28265]
 ##### 
389. dead production  [ID: 16802]
 ##### 
390. , funny , even punny 6  [ID: 9222]
 ##### 
391. layered , well-developed characters and  [ID: 36440]
 ##### 
392. it becomes long and tedious like a classroom play in a college history course .  [ID: 7777]
 ##### 
393. each story is built on a potentially interesting idea ,  [ID: 12832]
 ##### 
394. as glum as mr. de niro  [ID: 24111]
 ##### 
395. juicy  [ID: 51135]
 ##### 
396. is just sooooo tired  [ID: 31025]
 ##### 
397. generous , inspiring  [ID: 37554]
 ##### 
