text,label,idx,index
I might eat deep fried muffins.,1,6014,6014
Which attorney will give the closing argument hasn't been decided by them.,1,4671,4671
Amanda drove the package to New York.,1,2700,2700
Whether Agamemnon had triumphed was unknown.,1,8296,8296
She doesn't believe much of that story.,1,4165,4165
Kim alienated cats and beats his dog.,1,7027,7027
Fred talked about everything before Rusty did.,1,950,950
They investigated.,0,4867,4867
John has been chosen for the position.,1,4616,4616
Steve tossed the ball into the garden.,1,2772,2772
John believes Kim not to leave here.,1,4478,4478
I saw only the student.,1,7379,7379
I saw the physics student.,1,7387,7387
Who did you wonder what kissed?,0,6192,6192
"I divulged when Bill promised to call me, but I did so reluctantly.",1,1186,1186
A good friend is remained to me.,0,3759,3759
That's something I would have paid twice for.,1,4681,4681
I consider John the best candidate.,1,3711,3711
The eggs and the cream mixed together.,1,2321,2321
"They can't do it, can they?",1,4525,4525
Gilgamesh might have been not reading the cuneiform tablets.,0,8250,8250
Bill alleged that Roger had eaten the cake.,1,1927,1927
Kelly buttered the bread with unsalted butter.,1,2480,2480
Some of the promoters of ostrich meat compare its taste to beef tenderloin.,1,4238,4238
I mixed the eggs and cream.,1,2878,2878
Why he knows the answer!,0,1624,1624
I washed yourself.,0,4249,4249
John believes Bill to have cooked the rice.,1,7680,7680
Is John clever?,1,4738,4738
Is Bill eating his tuna?,1,5990,5990
I wanted he should leave.,0,6041,6041
John fed the baby rice up.,0,620,620
Some disgruntled old pigs in those ditches love truffles,1,8072,8072
Which language do you want to hire someone who speaks?,0,6307,6307
John would be liked to win.,0,501,501
I ran an old man down.,1,1110,1110
"Mary thinks that John said that pictures of himself, Susan likes?",1,369,369
I don't know the people present.,1,3707,3707
What Mary did with Bill was sing a song.,1,7698,7698
The door hinges squeaked.,1,3205,3205
Syntax is easy to pretend that you can teach.,1,8136,8136
Who did you say my talking to would bother Hilary?,0,7035,7035
The persons on whom we kept tabs all proved to be innocent.,0,1413,1413
Either you or I will incriminate ourselves.,1,7069,7069
Bruce loved and Kelly hated phonology class.,1,5706,5706
He coaxed his brother to give him the candy.,1,4338,4338
Fred had a snake behind the car he was sitting in.,1,1904,1904
John knows.,1,7352,7352
Gwen looked at a fire truck.,1,5920,5920
John persuaded Stephen to be more careful.,1,4307,4307
John a decidedly taller man than Bill.,1,5504,5504
Julie maintained that the barman was sober.,1,8443,8443
How many people do you wonder whether I consider intelligent?,0,400,400
This key won't open.,0,2233,2233
She could not have been working.,1,333,333
Mary talked to any student who was angry.,1,6435,6435
Mary thinks that John said that Susan likes pictures of himself?,0,368,368
I saw you there and who ate what?,0,1325,1325
Carol carved at the stone.,0,2860,2860
John carefully studies Russian.,1,7419,7419
The extremely tired students hated syntactic trees with a passion.,1,5758,5758
The ball lies in the box.,1,517,517
Dorothy needs her for her skills.,1,3007,3007
Tuesday was slept on by George Washington.,0,2440,2440
"Kim has danced, and Sandy has, too.",1,4529,4529
Bill left when I believe the bomb had just exploded.,1,1634,1634
What Alison and David did was soak their feet in a bucket,1,8500,8500
How much of the fresco did the flood damage?,1,4167,4167
Fifteen dollars in a week are not much.,0,4157,4157
Beans I don't like.,1,1499,1499
He was a bully.,1,6547,6547
It is to be gentle that John promised.,0,7218,7218
"The contestant, who is the judge's brother-in-law, who won the first prize sang dreadfully.",0,4948,4948
"Joe might wish he had, but this isn't a country he has visited.",1,942,942
The mixture funnels.,0,2563,2563
I am afraid of tigers.,1,5775,5775
Doug removed at the scratches from the tabletop.,0,2622,2622
"I noticed his car in the driveway last night, your friend from Boston.",1,1863,1863
I sent the devil the salesman.,0,2123,2123
Every man who said he would buy some salmon did.,1,899,899
We proclaimed sincerely to the public John to be a hero.,0,749,749
The cup smashed apart against the stone.,1,650,650
The inspector analyzed the building for its soundness.,1,2373,2373
There ran many people.,0,7615,7615
David constructed the house.,1,2947,2947
The model resembles Kim in nearly every detail.,1,4650,4650
He hated himself and his friends.,1,7043,7043
Jason persuaded Medea to desert her family,1,8542,8542
The electrode was left by ions.,0,515,515
few clues could be found.,1,3485,3485
Susan whispered the news to Rachel.,1,3053,3053
John likes not Mary.,0,958,958
Did he try to ever be attentive to the needs of students?,1,476,476
Which goddess might help us?,1,8210,8210
I didn't give Jack a picture of anybody.,1,1984,1984
That Sam didn't pick those packages which are to be mailed tomorrow up is possible.,0,1463,1463
The only relatives with whom I'd like to do away are my aunts.,0,1390,1390
I would hate for John to win.,1,507,507
"They said nobody would pay up, but I know a boy who did pay up.",1,1738,1738
I read every his book.,0,1001,1001
The dog caught the cat.,1,6943,6943
He said he would leave and now he's done it.,1,1609,1609
Mickey teamed up with the women.,1,439,439
The phone company billed $10 as me.,0,3419,3419
the day when I met her was sunny.,1,4875,4875
Steve tossed the wall with the ball.,0,2779,2779
There are more chemical substances involved in nerve transmission.,1,4353,4353
John danced waltzes across the room.,1,30,30
Bill examined a book.,0,7495,7495
A striped fish swam in the aquarium.,1,3316,3316
Jason persuaded Medea to desert her family.,1,7709,7709
Susan wanted to sleep.,1,7597,7597
I climbed up the tree.,1,7980,7980
I twirled the dough into a pretzel.,1,2953,2953
We put.,0,7497,7497
Celia brushed.,0,2204,2204
"They, they can't stand each other.",0,1858,1858
Louis hinted Mary stole the purse deftly.,1,5757,5757
"If so, I've lost $500.",1,1589,1589
John loves pictures of himself.,1,6337,6337
Carla poured lemonade into the pitcher.,1,2135,2135
Paula hit the sticks.,0,2801,2801
Half the doctor that Maxwell's father was sat down.,0,1696,1696
much information is needed.,1,3459,3459
"We gave him enough opportunity and, sure enough, every senator succumbed to corruption.",0,267,267
John knows whose book Mary bought and Tom talked.,0,4807,4807
Anne and Cathy met.,1,2211,2211
Which boy's guardian's employer did we elect president?.,1,1370,1370
John is more than five feet short.,0,5562,5562
"To find a new mate, go to a dating service.",1,6254,6254
The boy gave the baby the book.,1,3921,3921
Mary was visited by Bill.,1,7679,7679
Mary reported his to have loved her.,0,808,808
the person stood on my foot is heavy.,0,4889,4889
I'm more worrying than thinking.,0,5540,5540
Who are you trying to get hold of?,1,1396,1396
"The more contented the nurses began to believe that we were going to pretend to be, the more angry we grew at the doctors.",0,1754,1754
Anson thought Julie had fainted,1,8302,8302
Tom was not more reliable than a grasshopper.,1,5449,5449
Robin will eat cabbage but she won't ice cream.,1,6297,6297
Fido is a smarter dog than Spot.,1,5472,5472
Hardly any of the citizens ever say anything.,1,4600,4600
The jury seemed ready to leave.,1,3942,3942
The umpire called off the game.,1,3587,3587
The man who I gave John Ed's picture of was bald.,0,1981,1981
Jeeves sauntered into the room.,1,6636,6636
It really freaks me out that we invaded Iraq.,1,5054,5054
We believe that he is quite reasonable.,1,3694,3694
The book of poems with the bright red cover stinks.,1,5756,5756
John will have been eating cake.,1,7428,7428
Mary talked to any actual student.,0,6436,6436
Who do you think that Bill likes?,1,419,419
I think for John to like his beer.,0,5949,5949
This handsome man chased a dog.,1,3671,3671
Jack will have a hole in his pocket.,1,1884,1884
Our paycheck contributed.,0,2726,2726
The shooting of the prisoners shocked me.,1,1184,1184
I never met that man who somebody tried to kill.,1,1508,1508
It is likely Patrick to leave.,0,6118,6118
The question of whether John met Mary worries the people who support.,1,385,385
They have no TV.,1,3528,3528
I made to settle the matter my objective.,0,5064,5064
He will eats deep fried muffins.,0,6016,6016
John scratched his arm and the boy who knew Mary scratched her arm.,1,1534,1534
The ice melted.,1,3866,3866
Some sentences can go on.,1,3442,3442
Daniel became a blond.,1,8338,8338
Which rebel leader did you hear Cheney's rumor that the CIA assassinated?,0,4973,4973
placed the flute on the table.,0,5926,5926
The puppy was kissed.,1,6104,6104
Would each the men have been working?,0,5256,5256
Steve pelted at Anna with acorns.,0,2788,2788
He has a rail pass that's right for you.,1,3690,3690
Brenda chatted Molly.,0,2212,2212
"The more that John gets upset by them, the more that stories about himself seem to show up in the news.",0,258,258
I expect to soon see the results.,1,5607,5607
The more people I ask what he will give to the more he reads.,0,188,188
"It is important for the more you to eat, the more careful to be.",0,145,145
So elegant a solution as you have presented us with can elicit only admiration.,1,5499,5499
The ship's sinking was very devious.,1,988,988
What exploded when and I warned you it would?,0,1326,1326
John paid a dollar for a head of lettuce.,1,5715,5715
There were twenty students at the lecture and any student who was there said it was inspiring.,0,6456,6456
"Bill seems to be obnoxious, but I don't think that Sam happens.",0,493,493
The horse fell,1,8303,8303
Who does Phineas know a girl who is jealous of?.,0,1203,1203
Marry Mr Martin was what Harriet did.,1,6868,6868
I did it more in jest than in anger.,1,5380,5380
The pigs grunts,0,8529,8529
Smith threw the first base the ball.,0,2075,2075
They wouldn't leave soon.,1,4522,4522
He blew out the candle.,1,5734,5734
John loaded the truck with bricks.,1,616,616
Bill would be easy for for you to chat with in Moscow to become expensive.,0,1819,1819
Who did Robin visit and?,0,7041,7041
John deposited some money in the bank on Friday.,1,3899,3899
John looked up the inside of the chimney.,1,3624,3624
It is that he wants to quit school that John told us.,0,7215,7215
"Although in came Aunt Norris, Fanny continued talking.",0,6781,6781
Doug blew it up.,1,5588,5588
Carla shoveled the snow from among the bushes.,1,2647,2647
I walk.,1,6113,6113
The water melted into ice.,1,2061,2061
I both went to the store and bought some whiskey.,1,7063,7063
People like lard.,1,7942,7942
John has chosen Bill for the position.,1,4610,4610
Ann may spending her vacation in Italy.,0,4554,4554
Smith threw the ball to the first baseman.,1,2073,2073
Why don't you pick some review up of this article?,1,1485,1485
That Harry loves dancing is evidenced by his shiny tap shoes.,1,5856,5856
The toilet leaked through the floor into the kitchen below.,1,34,34
"Us, we'll go together.",1,1857,1857
He put the money where Lee told him to put it.,1,5121,5121
Brenda and Molly chatted.,1,2213,2213
For John to train his horse would be desirable.,1,4069,4069
Sincerity is an important quality.,1,5650,5650
John put carrots from his garden in the salad.,1,6388,6388
The commuters travelled by army lorry because of the strike.,1,6743,6743
Mike will sing if you will sing.,1,1561,1561
Jack is the person with whom Jenny fell in love.,1,4894,4894
I believe that the problem is not easy to be obvious.,0,5044,5044
Jack is the person whom Jenny fell in love.,0,4895,4895
Mary considers John proud of her.,1,7592,7592
They promised it to rain.,0,4330,4330
The crane loaded the truck.,1,2397,2397
It is not true that that for Herschel to throw a fit would confuse the guards was obvious.,1,1476,1476
"Louise is unhappy, isn't she?",1,325,325
We love their.,0,771,771
"Every senator seems to become more corrupt, if he talks to more lobbyists.",1,280,280
We are using their teaching material.,1,5075,5075
I saw the men all.,0,714,714
I read a statement which was about that man.,1,1188,1188
What kind cf parakeets are they investigating all people owning?,0,1452,1452
The bag is bulging with groceries.,1,3322,3322
John is eager to examine the patient.,1,5021,5021
the road blocked with a stone.,0,587,587
I consider there to be a man in that garden.,1,815,815
Heidi saw Peter's picture of her.,1,6334,6334
"Every senator becomes more corrupt, the more lobbyists he talks to.",1,276,276
No one expected that Agamemnon would win.,1,8474,8474
She slept the picture of Bill.,0,7601,7601
"John told, and Harry showed, Seymour that Sally was a virgin.",0,6598,6598
Frank gave a piano to Jane Fairfax.,1,6896,6896
We wonder whether Bill left.,1,7502,7502
No one expected Agamemnon to to win,1,8032,8032
Who protected him?,1,4825,4825
Who do you think Hobbs imagined Mary said Tom saw?,1,4754,4754
They read the book.,1,3525,3525
The hare outran the tortoise by so much that he forgot the latter was even in the race any more.,1,1775,1775
In the hallway ticked a grandfather clock.,1,3208,3208
Mary considered his to have loved her.,0,807,807
They can smile.,1,3537,3537
The school awarded a few of the girls in Miss Kim's class scholarships.,1,3840,3840
Any woman standing under that tree is Mary's friend.,0,6410,6410
John forgot.,1,492,492
There were seven people.,1,7618,7618
Mary wondered which picture of himself Bill saw?,1,366,366
Bartlett and Toni danced.,1,1913,1913
A variety of styles have been in vogue for the last year.,0,4221,4221
The Ethel was sitting at her desk.,0,6612,6612
"Near everyone Angleton did, Dulles stood.",0,919,919
Which pictures of himself did Chris see in the gallery?,1,6319,6319
The twins might have both been at the party.,1,8314,8314
"Mickey and Roger have signed, and Whitey will tomorrow.",1,1612,1612
"This is the book of which Bill approves, and this is the one of which he doesn't.",1,911,911
"Sandy will read your reports, but Harold will not.",1,4580,4580
A boy did not laugh.,1,1009,1009
Agamemnon expected Esther to seem to be happy.,1,8461,8461
I have much typing to do.,1,5411,5411
There arrived by Medea.,0,7723,7723
What Mary gave was a book to John.,0,7209,7209
Mary has more friends than just Bill and Pete are.,0,5561,5561
John tapped the bottle of some water.,1,656,656
Bill broke the bathtub.,1,16,16
Mary did not avoid Bill.,1,4396,4396
Mary drank some beer in the barn from 6 to nine.,1,7305,7305
Who do you think that Mary said that John likes?,1,356,356
Amanda carried packages.,1,2697,2697
Julie and Jenny did.,1,8028,8028
Squirrels pelt easily with acorns.,0,2793,2793
Everyone thinks he is smart.,1,7567,7567
Almost an owl hunts mice.,0,5245,5245
Felicia sent the box off the shelf.,0,2015,2015
The bed on which Tom slept was hard.,1,1379,1379
I ate deep fried muffins.,1,6009,6009
The chickens seem fond with the farmer.,0,4019,4019
Did Bill eat his dinner?,1,5991,5991
The school board leader asked a question of the students.,1,3952,3952
They made him president.,1,38,38
Gilgamesh loved Ishtar and Aphrodite did too,1,8491,8491
John drink beer last night.,1,3570,3570
That it was obvious that it would confuse the guards for Herschel to throw a fit is not true.,1,1480,1480
The captain named Seafarer to the ship.,0,2968,2968
Sue was the most likely not to say anything.,1,5215,5215
I want for nobody to hate me.,1,5231,5231
Fred tore the curtain in rolling up the wallpaper.,1,1338,1338
She always wore purple dresses.,1,3180,3180
I haven't left yet,1,8043,8043
What was Euclid interested in Plato's description of?,0,8206,8206
Cheryl stood the books next to the magazines.,1,2547,2547
She has enough a problem as it is.,0,5385,5385
Kim lives in the house Lee sold it to her.,0,3434,3434
Robert thinks that student should eat asparagus.,1,5862,5862
The men would not all have been working.,1,5263,5263
What she did was know this theory.,0,6937,6937
I wanted any cake.,0,7903,7903
I prefer.,0,7318,7318
John is afraid of dogs.,1,5801,5801
Paula swatted the cloth through the fly.,0,2809,2809
"Slamming the door, he ran down the steps.",1,6797,6797
Owners of pigs love truffles,1,8012,8012
Jessica squirted water at me.,1,2598,2598
John didn't see Mary and Bill Sue.,0,7102,7102
It was John's that I stole bike.,0,1684,1684
I disliked the boy's playing the piano loudly.,1,1432,1432
John kept behind the counter.,0,3896,3896
Carmen obtained a spare part from Diana.,1,2750,2750
"Mary claimed that eating cabbage, Holly's not.",1,865,865
That Plato loved Aster was obvious.,1,7973,7973
"Harry thinks so, although no one else thinks Sally is innocent.",0,1592,1592
That he has blood on his hands proves that John is the murderer.,1,5271,5271
They read the interesting book.,1,3544,3544
I am more angry than sad.,1,5341,5341
John bought a lot of books for his sons.,1,3820,3820
Which ode did which poet write?,1,8138,8138
That the police wanted him worried Johns but it didn't worry the boy who Mary knew.,1,1538,1538
Students enter high-level educational institutions might face many problems relating to study habits.,1,4974,4974
Which picture of himself does Mary think that John said that Susan likes?,1,367,367
The men would not enjoy that.,1,5257,5257
Mary sent a book to Bill.,1,7492,7492
The price of meat fell.,1,2385,2385
It was kissed her.,0,6124,6124
Those are the folks that you just solve this problem and you'll be able to put them on ice.,0,306,306
"They let him go yesterday, him.",0,1842,1842
Those days Bill offered Mary everything he cooked.,1,6476,6476
Ray found it frustrating that his policies made little impact on poverty.,1,5063,5063
"If Ron knows whether to wear a tuxedo, and Caspar knows whether not to, do they know different things?",1,891,891
Stephen persuaded Ben to be careful.,1,4295,4295
He might do leave.,0,4468,4468
The boy whose guardian's we elected employer president betrayed us.,0,1360,1360
Lilly should buy salmon and Mary should too.,1,903,903
Sam gave the cloak to Lee and gave the magic chalice to Matthew.,1,7993,7993
Sam gave the cloak to Lee and the magic chalice to Matthew.,1,8230,8230
John couldn't visit Sally.,1,314,314
Alexandra wants to catch a fish and Sylvia does too.,1,6315,6315
"If he has to wait, John gets angry.",1,247,247
Linda taped the label and the cover.,0,2308,2308
The rope stretched over the pulley.,1,72,72
The ball wriggled itself loose.,0,95,95
Kick John the ball.,0,6842,6842
Paula swatted the cloth into the fly.,0,2810,2810
I want to eat macaroni,1,8137,8137
"I like beer, me.",0,1844,1844
The truck spread the salt.,1,6620,6620
Bill will put a picture of her on your desk before tomorrow.,1,7137,7137
Do you know the boy whom Mary saw?,1,1090,1090
The knife that he threw into the sea had a gold handle.,1,4956,4956
It really bites that we invaded Iraq.,1,5057,5057
"Mary claimed that eating cabbage, Holly started.",0,869,869
Medea tried Medea to poison her children.,0,8488,8488
She laughed from embarrassment.,1,3135,3135
This key won't open the Jock.,1,2234,2234
The parcel reached John.,1,575,575
John heard their criticism of each other.,1,7543,7543
How do you wonder what John bought?,0,6188,6188
Kelly adores French fabrics.,1,2173,2173
I doubt that Mary reads mysteries.,1,7238,7238
Those bandits attacked Emma and Harriet yesterday.,1,6965,6965
It could be more detrimental.,1,3743,3743
That gets you so involved is the writer.,0,5111,5111
"You should always lock your door, no matter how fancy the hotel might be.",1,176,176
Andy promised if we would go.,0,6056,6056
Zeke cooked and ate the chili.,1,5631,5631
She was the nicest teacher in the Senior School.,1,3841,3841
Which goddess did help us?,1,8280,8280
"Sandy must have, too.",1,4538,4538
There is a description of Aristotle in the book.,1,8322,8322
Carla slid Dale the book.,1,2677,2677
That he has met the professor is extremely unlikely.,1,4966,4966
Anne met with Cathy.,1,3038,3038
I don't know that to agree with him or not.,0,4821,4821
I sent him that.,1,1149,1149
John believes the rice to have been cooked by Bill.,1,7681,7681
Bill wants John to leave.,1,6157,6157
Why did you say that you were leaving?,1,8047,8047
The fly fell into the soup.,1,3665,3665
"Ann is going to send a picture of Chairman Mao to her teacher, as soon as she gets home.",1,1486,1486
Sally is such a fool as people think.,0,5490,5490
The house is been remodelling.,0,4387,4387
The audience laughed.,1,6106,6106
I wonder in which pocket it was that Kim had hidden the jewels.,1,5147,5147
That stone has a hole in the tarpaulin which it is holding down.,0,1908,1908
Gene Simmons was originally named Haim Goldberg.,1,5771,5771
"It isn't because Sue said anything bad about me that I'm angry, although she did say some bad things about me.",0,5243,5243
Larry hunted the foxes all.,0,6814,6814
The critique of Plato's Republic was written from a contemporary point of view.,1,4140,4140
Gilgamesh cut the steak with a knife.,1,5748,5748
Each other's houses seem to the women to be garish.,1,1067,1067
She pinched his arm as hard as she could.,1,4058,4058
the box contains little tool.,0,3477,3477
The mixture funnels easily.,0,2562,2562
John not left the town.,0,4504,4504
Who do you believe that invited Sara?,0,4783,4783
Jack sprayed the wall with paint.,1,2271,2271
"Scientists found that the birds sang well in the evenings, but performed badly in the mornings.",1,3868,3868
I went to the store and have bought some excellent whisky.,1,1281,1281
He liked Anson.,0,8156,8156
With this chainsaw we felled the murder.,1,6649,6649
Selina touched the horse's back.,1,2360,2360
Fred offered the ball over Molly.,0,2047,2047
"The harder it rains, how much faster a flow do you see in the river?",1,122,122
The mother of the boy and the girl are arriving soon.,1,3610,3610
John is carefully studying Russian.,1,7440,7440
Robert thinks that students should eat asparagus.,1,5861,5861
We think for Bill left.,0,7500,7500
Bill reading Shakespeare and Maureen singing Schubert satisfies me,1,7848,7848
Sarah sang the anthem.,1,2476,2476
Snow is white and snow is not white.,1,6431,6431
Every student who handed in any homework will get a prize.,1,5202,5202
Paula hit the stick into the fence.,0,2796,2796
Volunteers praise easily.,0,3015,3015
Fruit at once hit the roof against the ground.,0,534,534
Harriet interconnected the pieces.,1,2883,2883
I weighed the package.,1,3412,3412
Traci gave a lollipop.,0,5876,5876
Too much vehicles are damaged by salt.,0,6705,6705
Who do you think that you saw?,1,6526,6526
I asked who Medea poisoned.,1,7735,7735
The red volume of obscene verse from Italy shocked the puritan soul of the minister with the beard quite thoroughly yesterday.,1,5815,5815
No boys will put a picture of Bill on your desk before tomorrow.,1,7158,7158
I heard John's criticism of himself.,1,7553,7553
Ellen talked with Helen.,1,3069,3069
Martina is deathly afraid of spiders.,1,6285,6285
Peter was at the party,1,8389,8389
I aren't going.,0,324,324
Neither of these men is worthy to lead Italy.,1,4204,4204
"Two ships appeared, arrived, remained, emerged.",1,7324,7324
It is vital that we will study everyday.,0,4422,4422
With which club did you hit the winning putt?,1,6610,6610
Tony broke the crystal vase.,1,3236,3236
We would prefer John to be the candidate.,1,505,505
"My father, that he's lived here all his life is well-known to the cops.",1,1833,1833
All Mr Collins has done is have praised Lady de Bourg.,0,6792,6792
We offered her with a job.,0,2729,2729
Has Henri not studied for his exam?,1,7457,7457
Mary managed John to go abroad.,0,799,799
This hat Tom said Al thought you wanted me to make Jack put on.,1,1670,1670
John wrote books.,0,347,347
"The book, including all the chapters in the first section, is very interesting.",1,3732,3732
They waltzed.,1,3394,3394
Willy is taller than Bill by more than Joe is taller than Dan.,1,1780,1780
I want she to dance.,0,6249,6249
I'm as sad as angry.,0,5544,5544
John continues to avoid the conflict.,1,4336,4336
Bill reading Shakespeare satisfied me,1,8398,8398
They read the under book.,0,3547,3547
David broke the window with a hammer.,1,2395,2395
You put which picture of Bill on his desk?,1,7602,7602
Bill will put a picture of she on your desk before tomorrow.,0,7136,7136
I gave the package to London.,0,2028,2028
Sharon shivered at the thought of the cold sea.,1,3153,3153
For John to remove the mother is undeniable.,0,4074,4074
"The more articles he reads, the fewer people he thinks that under the current circumstances will go into linguistics.",1,207,207
Do you have dry socks? claim.,1,5185,5185
Not until I was perhaps twenty-five was when I read them and enjoyed them.,0,5109,5109
"Pat wanted to go to Berne, and Chris going to Rome.",0,7105,7105
Six students got shot accidentally.,1,6970,6970
I sought for game in the woods.,0,2358,2358
Give the bottle to the baby full.,1,638,638
The press conjectured that Smith would be the appointee.,1,2973,2973
John whispered that Mary left.,1,7417,7417
The luscious chick who Billy went to the movies with will wed me ere the morn.,1,1298,1298
They lent me a bicycle.,1,2719,2719
The manager presented the foreman a gold watch.,0,6841,6841
Which professor did they meet someone who knows?,0,4965,4965
Lee is believed to not like Kim.,1,4495,4495
She swatted him.,1,6111,6111
He admires every man.,1,1020,1020
All of these cars belong to me.,1,4183,4183
Many people were dying of thirst.,1,4175,4175
I asked if Medea poisoned Jason.,1,8069,8069
Every child should have a daily glass of milk.,1,5219,5219
Aphrodite wanted to live and Ishtar tried to,1,7736,7736
We expect the dentist to examine us.,1,4364,4364
John hit the stone against the wall.,1,609,609
There is a riot in the park.,1,4031,4031
The flag waved.,1,3308,3308
This book I enjoyed.,1,5286,5286
Sarah sang an aria.,1,2474,2474
"Edward's help, you can rely on.",1,4759,4759
Cynthia devoured at the pizza .,0,3112,3112
Tessa sprained Mary 's ankle.,0,3166,3166
Fanny pulled the blanket over herself.,1,2517,2517
What Julie became was fond of Lloyd.,1,7726,7726
I destroyed there.,0,8205,8205
"Ron's likely to be on the Web, isn't he?",1,8308,8308
The man who I think chased Fido returned.,1,6520,6520
What does Calvin like.,1,6314,6314
I believe that the world is round strongly.,0,5071,5071
I blew it up.,1,6227,6227
The cat that the dog that the rat bit chased died.,0,1078,1078
She made the outrageous claim that tuna flavored milkshakes are good for you.,1,6170,6170
The jeweller inscribed the ring with the name.,1,2331,2331
The monkey seems despondent that it is in a cage.,1,4013,4013
People with boxes of old clothes lined up behind the door of the building with the leaky roof.,1,5809,5809
It wasn't as awful a picture as it first seemed.,1,5484,5484
Which student were you talking about?,1,3929,3929
This is a hat which I'm going to see to it that my wife buys.,1,1198,1198
The student knowing the answers.,0,3996,3996
That I believed that the sun was out is obvious.,1,1523,1523
When did you arrive?,1,7989,7989
Flora cooks gourmet meals.,1,6630,6630
Dana would be unlikely for Pat to be called upon.,0,4346,4346
A problem developed.,1,2445,2445
"When into the room came Aunt Norris, Fanny stopped talking.",0,6764,6764
Tom placed it under the table.,1,3959,3959
The girl he met at the departmental party will very surely call him.,1,7412,7412
What did Bill buy potatoes and?,0,1085,1085
Kim jogs under the hill.,1,3910,3910
"This boy must not go to school, and his father must not go to school either.",1,7143,7143
"David is a great artist, and when he does, his eyes squint at you.",0,954,954
"They said that Tom would pay up, and pay up he did.",1,1734,1734
Myron is making Suzie's claim that dead is better than red.,0,1243,1243
John talked to any woman at the party.,1,6414,6414
"A lot of this material can be presented in a fairly informal and accessible fashion, and often I do.",1,957,957
The fact that John is snoring is informative.,1,7240,7240
The course is jumping well.,1,6981,6981
We rummaged papers through the desk.,0,2356,2356
I screamed at some children watching me.,1,1265,1265
"After Henry had done so, Webster touched a sword.",1,1597,1597
Tony bent the rod with pliers.,1,3243,3243
Jennifer baked the potatoes in the oven.,1,3256,3256
little clue could be found.,0,3476,3476
You have presented so elegant a solution that we can only admire it.,1,5500,5500
John believes for Bill to have slept.,0,7663,7663
Phillip gave the soldier the medal.,1,5934,5934
I have often a cold.,1,8146,8146
The cost of bagels that are imported from Iceland surprised the teacher who Mike hired last week.,1,6219,6219
The man went to the store.,1,5646,5646
Jason was killed by Medea.,1,7733,7733
Did he try ever to talk to the student?,0,474,474
The boat floated down the river sank.,1,3503,3503
That gangsters had bribed him was denied by the sheriff.,1,1220,1220
A cheerful welcome was beamed by Sandra.,0,2488,2488
People are seething in the square.,0,2284,2284
The piano played a song.,1,3603,3603
"It is important the more you eat, the more careful to be.",0,140,140
One plan of which I got wind was calculated to keep us in suspense.,0,1397,1397
I gave Leah the box.,1,5675,5675
John deposited some money in the checking account on Friday and Mary did the same thing.,1,3903,3903
Mary picked any of the flowers.,0,6443,6443
John is leaving but Mary's not.,1,848,848
